"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00001","","","","30","8","7","30","30","64","41","11.1","2.7","14","4","4","2","1","2","200","60.3","13.8","27.8","105","0.1734375","0.065853659","0.131428571","3.5","3.5","2.133333333","2.133333333","0.46","0.46","0.466666667","0.466666667","60.95238095","49.64028777","100","30.15","4.1607","12.33333333","12.33333333","15.33333333","15.33333333","15.55555556","15.55555556","4.623","4.623","30.88888889","30.88888889"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00002","","","","30","6","7","17","14","14","16","2.3","1","9.4","3","2","2","2","1","200","70","3.3","12.7","30","0.164285714","0.0625","0.11","1.764705882","1","0.823529412","0.466666667","0.194117647","0.11","0.552941176","0.313333333","46.66666667","25.98425197","56.66666667","35","1.155","2.555555556","4.509803922","3.666666667","6.470588235","10.44444444","18.43137255","1.283333333","2.264705882","14.11111111","24.90196078"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00003","","","","30","3","6","28","28","50","60","10.7","5.6","5.2","4","3","3","2","3","200","32.6","16.3","21.5","110","0.214","0.093333333","0.148181818","3.928571429","3.666666667","1.785714286","1.666666667","0.582142857","0.543333333","0.185714286","0.173333333","45.45454545","75.81395349","93.33333333","16.3","2.6569","11.88888889","12.73809524","18.11111111","19.4047619","5.777777778","6.19047619","2.952111111","3.16297619","23.88888889","25.5952381"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00004","","","","30","3","8","23","18","11","30","2","1","15","2","3","2","2","1","200","86.6","3","18","41","0.181818182","0.033333333","0.073170732","1.782608696","1.366666667","0.47826087","0.366666667","0.130434783","0.1","0.652173913","0.5","26.82926829","16.66666667","76.66666667","43.3","1.299","2.222222222","2.898550725","3.333333333","4.347826087","16.66666667","21.73913043","1.443333333","1.882608696","20","26.08695652"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00005","","","","30","7","7","6","6","3","8","0.6","0.3","10.7","2","2","1","2","1","200","75.6","0.9","11.6","11","0.2","0.0375","0.081818182","1.833333333","0.366666667","0.5","0.1","0.15","0.03","1.783333333","0.356666667","27.27272727","7.75862069","20","37.8","0.3402","0.666666667","3.333333333","1","5","11.88888889","59.44444444","0.378","1.89","12.88888889","64.44444444"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00006","","","","30","2","8","26","24","26","42","4.2","2","21.6","3","3","2","2","2","200","72.3","6.2","27.8","68","0.161538462","0.047619048","0.091176471","2.615384615","2.266666667","1","0.866666667","0.238461538","0.206666667","0.830769231","0.72","38.23529412","22.30215827","86.66666667","36.15","2.2413","4.666666667","5.384615385","6.888888889","7.948717949","24","27.69230769","2.490333333","2.873461538","30.88888889","35.64102564"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00007","","","","30","2","9","24","23","10","23","2.9","1.3","12.1","2","3","2","2","1","200","69.8","4.2","16.3","33","0.29","0.056521739","0.127272727","1.375","1.1","0.416666667","0.333333333","0.175","0.14","0.504166667","0.403333333","30.3030303","25.76687117","80","34.9","1.4658","3.222222222","4.027777778","4.666666667","5.833333333","13.44444444","16.80555556","1.628666667","2.035833333","18.11111111","22.63888889"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00008","","","","30","9","2","27","24","0","76","0","0.8","2.1","1","1","1","2","1","200","78.4","0.8","2.9","76","","0.010526316","0.010526316","2.814814815","2.533333333","0","0","0.02962963","0.026666667","0.077777778","0.07","0","27.5862069","90","39.2","0.3136","0","0","0.888888889","0.987654321","2.333333333","2.592592593","0.348444444","0.387160494","3.222222222","3.580246914"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00009","","","","30","5","7","29","29","69","18","13.8","1.7","9","4","4","2","1","1","200","65.5","15.5","24.5","87","0.2","0.094444444","0.17816092","3","2.9","2.379310345","2.3","0.534482759","0.516666667","0.310344828","0.3","79.31034483","63.26530612","96.66666667","32.75","5.07625","15.33333333","15.86206897","17.22222222","17.81609195","10","10.34482759","5.640277778","5.834770115","27.22222222","28.16091954"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00010","","","","30","8","3","29","28","28","27","5.7","1","2.2","3","3","2","4","2","200","68","6.7","8.9","55","0.203571429","0.037037037","0.121818182","1.896551724","1.833333333","0.965517241","0.933333333","0.231034483","0.223333333","0.075862069","0.073333333","50.90909091","75.28089888","96.66666667","34","2.278","6.333333333","6.551724138","7.444444444","7.701149425","2.444444444","2.528735632","2.531111111","2.618390805","9.888888889","10.22988506"
