"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00001","","","","2","60","2","200","2","30","54","29","45","29","1","3","2","4","3","2.4","1.4","4.1","3.8","7.9","84","0.08","0.025925926","0.045238095","2.896551724","1.866666667","1.034482759","0.666666667","0.131034483","0.084444444","0.14137931","0.091111111","35.71428571","48.10126582","64.44444444","30","1.14","1.777777778","2.75862069","2.814814815","4.367816092","3.037037037","4.712643678","0.844444444","1.310344828","5.851851852","9.08045977"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00010","","","","3","60","2","200","3","85","89","44","45","44","2","4","4","6","3","13.5","5.3","12.8","18.8","31.6","174","0.158823529","0.059550562","0.108045977","3.954545455","3.866666667","1.931818182","1.888888889","0.427272727","0.417777778","0.290909091","0.284444444","48.85057471","59.49367089","97.77777778","30","5.64","10","10.22727273","13.92592593","14.24242424","9.481481481","9.696969697","4.177777778","4.272727273","23.40740741","23.93939394"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00011","","","","2","50","1","200","2","43","46","38","45","38","1","3","3","4","8","4","1.5","1.5","5.5","7","89","0.093023256","0.032608696","0.061797753","2.342105263","1.977777778","1.131578947","0.955555556","0.144736842","0.122222222","0.039473684","0.033333333","48.31460674","78.57142857","84.44444444","25","1.375","2.962962963","3.50877193","4.074074074","4.824561404","1.111111111","1.315789474","1.018518519","1.206140351","5.185185185","6.140350877"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00012","","","","2","60","2","200","2","29","18","35","45","26","2","3","3","8","2","3.4","0.6","21","4","25","47","0.117241379","0.033333333","0.085106383","1.342857143","1.044444444","0.828571429","0.644444444","0.114285714","0.088888889","0.6","0.466666667","61.70212766","16","77.77777778","30","1.2","2.518518519","3.238095238","2.962962963","3.80952381","15.55555556","20","0.888888889","1.142857143","18.51851852","23.80952381"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00013","","","","3","40","2","200","3","119","59","41","45","41","2","4","5","8","2","21.6","2.6","2.5","24.2","26.7","178","0.181512605","0.044067797","0.135955056","4.341463415","3.955555556","2.902439024","2.644444444","0.590243902","0.537777778","0.06097561","0.055555556","66.85393258","90.63670412","91.11111111","20","4.84","16","17.56097561","17.92592593","19.67479675","1.851851852","2.032520325","3.585185185","3.93495935","19.77777778","21.70731707"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00014","","","","3","60","2","200","2","43","25","36","45","36","2","4","4","6","7","9.4","1","3.6","10.4","14","68","0.218604651","0.04","0.152941176","1.888888889","1.511111111","1.194444444","0.955555556","0.288888889","0.231111111","0.1","0.08","63.23529412","74.28571429","80","30","3.12","6.962962963","8.703703704","7.703703704","9.62962963","2.666666667","3.333333333","2.311111111","2.888888889","10.37037037","12.96296296"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00015","","","","2","60","1","200","2","39","19","36","45","36","2","3","3","5","8","6.5","1","1.1","7.5","8.6","58","0.166666667","0.052631579","0.129310345","1.611111111","1.288888889","1.083333333","0.866666667","0.208333333","0.166666667","0.030555556","0.024444444","67.24137931","87.20930233","80","30","2.25","4.814814815","6.018518519","5.555555556","6.944444444","0.814814815","1.018518519","1.666666667","2.083333333","6.37037037","7.962962963"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00016","","","","2","50","2","200","3","7","19","20","45","13","3","3","2","6","6","1.8","1","5.6","2.8","8.4","26","0.257142857","0.052631579","0.107692308","1.3","0.577777778","0.35","0.155555556","0.14","0.062222222","0.28","0.124444444","26.92307692","33.33333333","44.44444444","25","0.7","1.333333333","3","2.074074074","4.666666667","4.148148148","9.333333333","0.518518519","1.166666667","6.222222222","14"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00017","","","","2","50","2","200","3","72","43","45","45","45","2","4","4","7","8","14.5","2.3","6.4","16.8","23.2","115","0.201388889","0.053488372","0.146086957","2.555555556","2.555555556","1.6","1.6","0.373333333","0.373333333","0.142222222","0.142222222","62.60869565","72.4137931","100","25","4.2","10.74074074","10.74074074","12.44444444","12.44444444","4.740740741","4.740740741","3.111111111","3.111111111","17.18518519","17.18518519"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00018","","","","2","75","1","200","3","3","64","27","45","27","1","2","2","3","4","0.4","1.8","0.4","2.2","2.6","67","0.133333333","0.028125","0.032835821","2.481481481","1.488888889","0.111111111","0.066666667","0.081481481","0.048888889","0.014814815","0.008888889","4.47761194","84.61538462","60","37.5","0.825","0.296296296","0.49382716","1.62962963","2.716049383","0.296296296","0.49382716","0.611111111","1.018518519","1.925925926","3.209876543"
