stock_id,uniquename
2160171,TZMRK180005_82-620
2160172,TZMRK180006_45-676
2160174,TZMRK180029_17-2862
2160175,TZMRK180003_63-335
2160178,TZMRK180079_2-5613
2160179,TZMRK180010_41-1144
2160181,TZMRK180014_36-1543
2160182,TZMRK180006_67-698
2160184,TZMRK180036_4-3338
2160187,TZMRK180031_18-3020
2160189,TZMRK180027_32-2705
2160190,TZMRK180013_59-1464
2160191,TZMRK180035_36-3325
2160192,TZMRK180001_59-59
2160193,TZMRK180064_12-5012
2160194,TZMRK180052_39-4394
2160139,TZMRK180009_95-1063
2160195,TZMRK180002_44-181
2160140,TZMRK180016_15-1703
2160196,TZMRK180027_31-2704
2160142,TZMRK180061_17-4865
2160143,TZMRK180017_30-1840
2160197,TZMRK180021_32-2199
2160144,TZMRK180043_4-3841
2160199,TZMRK180049_25-4194
2160145,TZMRK180068_15-5174
2160146,TZMRK180047_11-4078
2160254,TZMRK180004_93-501
2160148,TZMRK180055_6-4576
2160201,TZMRK180001_90-90
2160149,TZMRK180037_3-3415
2160150,TZMRK180013_68-1473
2160256,TZMRK180030_48-2990
2160258,TZMRK180070_4-5267
2160152,TZMRK180069_5-5215
2160153,TZMRK180071_16-5325
2160154,TZMRK180029_48-2893
2160259,TZMRK180074_2-5424
2160260,TZMRK180002_58-195
2160155,TZMRK180028_12-2769
2160156,TZMRK180014_73-1580
2160261,TZMRK180011_50-1248
2160157,TZMRK180070_16-5279
2160158,TZMRK180050_2-4234
2160263,TZMRK180050_29-4261
2160264,TZMRK180064_8-5008
2160159,TZMRK180028_43-2800
2160160,TZMRK180010_23-1126
2160161,TZMRK180021_43-2210
2160162,TZMRK180013_71-1476
2160265,TZMRK180022_52-2298
2160267,TZMRK180060_22-4848
2160163,TZMRK180023_32-2360
2160164,TZMRK180006_74-705
2160165,TZMRK180008_65-921
2160268,TZMRK180052_12-4367
2160269,TZMRK180011_13-1211
2160166,TZMRK180030_10-2952
2160167,TZMRK180001_13-13
