"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00001","","","","5","2","1","3","5","1","2","2","2","3","0.2","0.1","0.6","2","1","3","6","7","0","0.3","0.9","0.1","0.033333333","5","2.5","1","1","0.4","0.15","0.06","0.3","0.12","40","33.33333333","40","0.06","1.333333333","2","4","6","3.333333333","5","10","15"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00002","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00003","","","","5","5","1","2","5","1","2","2","0","2","0","0.08","0.7","2","1","3","8","7","0","0.08","0.78","","0.04","2","1","0.4","0","0","0.04","0.016","0.35","0.14","0","10.25641026","40","0.04","0","0.533333333","4.666666667","5.2","0","1.333333333","11.66666667","13"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00004","","","","5","3","1","2","5","1","1","3","0","0","0","0","0.4","","","","","","","0","0.4","","","0","0","0","0","0","0","0","0.133333333","0.08","","0","60","","0","0","2.666666667","2.666666667","0","0","4.444444444","4.444444444"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00005","","","","5","2","1","2","6","2","4","2","2","3","0.21","0.12","0.6","2","3","3","4","5","0","0.33","0.93","0.105","0.04","5","2.5","1","1","0.4","0.165","0.066","0.3","0.12","40","35.48387097","40","0.066","1.4","2.2","4","6.2","3.5","5.5","10","15.5"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00006","","","","5","2","1","2","6","1","3","2","1","3","0.2","0.08","1","2","1","2","4","5","0.12","0.28","1.28","0.2","0.026666667","4","2","0.8","0.5","0.2","0.14","0.056","0.5","0.2","25","21.875","40","0.07","1.333333333","1.866666667","6.666666667","8.533333333","3.333333333","4.666666667","16.66666667","21.33333333"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00007","","","","5","4","1","2","6","1","2","3","2","1","0.28","0.04","1.8","2","1","1","3","7","0","0.32","2.12","0.14","0.04","3","1","0.6","0.666666667","0.4","0.106666667","0.064","0.6","0.36","66.66666667","15.09433962","60","0.106666667","1.866666667","2.133333333","12","14.13333333","3.111111111","3.555555556","20","23.55555556"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00008","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00009","","","","5","3","1","3","7","1","2","2","6","8","1","0.3","1.6","2","1","1","8","5","0.12","1.3","2.9","0.166666667","0.0375","14","7","2.8","3","1.2","0.65","0.26","0.8","0.32","42.85714286","44.82758621","40","0.092857143","6.666666667","8.666666667","10.66666667","19.33333333","16.66666667","21.66666667","26.66666667","48.33333333"
"","","UGP2013NAM-OT03","","","","","","","","","UGP2013NAM-OT03-00010","","","","5","5","1","2","7","1","2","3","6","4","0.8","0.12","1.4","2","1","1","8","5","0","0.92","2.32","0.133333333","0.03","10","3.333333333","2","2","1.2","0.306666667","0.184","0.466666667","0.28","60","39.65517241","60","0.092","5.333333333","6.133333333","9.333333333","15.46666667","8.888888889","10.22222222","15.55555556","25.77777778"
