"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00001","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00002","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00003","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00004","","","","5","3","2","1","8","1","2","3","8","26","2.2","0.44","3.2","5","1","1","4","1","4.61","2.64","5.84","0.275","0.016923077","34","11.33333333","6.8","2.666666667","1.6","0.88","0.528","1.066666667","0.64","23.52941176","45.20547945","60","0.077647059","14.66666667","17.6","21.33333333","38.93333333","24.44444444","29.33333333","35.55555556","64.88888889"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00005","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00006","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00007","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00008","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00009","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00010","","","","5","2","1","2","4","1","2","2","2","2","0.24","0.1","0.04","2","3","3","4","3","0.02","0.34","0.38","0.12","0.05","4","2","0.8","1","0.4","0.17","0.068","0.02","0.008","50","89.47368421","40","0.085","1.6","2.266666667","0.266666667","2.533333333","4","5.666666667","0.666666667","6.333333333"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00011","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00012","","","","5","4","1","2","6","1","1","4","10","43","1.3","0.64","1.8","5","1","1","9","7","4.41","1.94","3.74","0.13","0.014883721","53","13.25","10.6","2.5","2","0.485","0.388","0.45","0.36","18.86792453","51.87165775","80","0.036603774","8.666666667","12.93333333","12","24.93333333","10.83333333","16.16666667","15","31.16666667"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00013","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00014","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00015","","","","5","1","1","1","6","1","2","1","3","5","0.19","0.08","2","2","2","1","8","7","0.12","0.27","2.27","0.063333333","0.016","8","8","1.6","3","0.6","0.27","0.054","2","0.4","37.5","11.89427313","20","0.03375","1.266666667","1.8","13.33333333","15.13333333","6.333333333","9","66.66666667","75.66666667"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00016","","","","5","4","1","2","2","1","1","1","17","60","2","0.44","4","2","2","2","9","5","1.74","2.44","6.44","0.117647059","0.007333333","77","77","15.4","17","3.4","2.44","0.488","4","0.8","22.07792208","37.88819876","20","0.031688312","13.33333333","16.26666667","26.66666667","42.93333333","66.66666667","81.33333333","133.3333333","214.6666667"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00017","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00018","","","","5","2","2","1","2","1","1","2","0","2","0","0.04","","5","1","3","3","9","3.96","0.04","","","0.02","2","1","0.4","0","0","0.02","0.008","","","0","","40","0.02","0","0.266666667","","","0","0.666666667","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00019","","","","5","2","2","2","9","1","2","2","0","0","0","0","0.7","","","","","","","0","0.7","","","0","0","0","0","0","0","0","0.35","0.14","","0","40","","0","0","4.666666667","4.666666667","0","0","11.66666667","11.66666667"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00020","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00021","","","","5","5","2","6","4","1","2","3","7","3","0.44","0.01","0.3","2","1","1","3","5","0.12","0.45","0.75","0.062857143","0.003333333","10","3.333333333","2","2.333333333","1.4","0.15","0.09","0.1","0.06","70","60","60","0.045","2.933333333","3","2","5","4.888888889","5","3.333333333","8.333333333"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00022","","","","5","5","1","1","6","1","2","3","9","6","1.2","0.18","0.4","2","1","1","4","3","0","1.38","1.78","0.133333333","0.03","15","5","3","3","1.8","0.46","0.276","0.133333333","0.08","60","77.52808989","60","0.092","8","9.2","2.666666667","11.86666667","13.33333333","15.33333333","4.444444444","19.77777778"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00023","","","","5","3","2","2","5","1","1","1","2","4","0.39","0.08","0.3","2","1","1","3","3","0.02","0.47","0.77","0.195","0.02","6","6","1.2","2","0.4","0.47","0.094","0.3","0.06","33.33333333","61.03896104","20","0.078333333","2.6","3.133333333","2","5.133333333","13","15.66666667","10","25.66666667"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00024","","","","5","5","1","2","6","1","1","3","3","3","0.44","0.08","0.8","2","3","2","3","3","0","0.52","1.32","0.146666667","0.026666667","6","2","1.2","1","0.6","0.173333333","0.104","0.266666667","0.16","50","39.39393939","60","0.086666667","2.933333333","3.466666667","5.333333333","8.8","4.888888889","5.777777778","8.888888889","14.66666667"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00025","","","","5","3","1","2","6","1","1","3","6","4","0.64","0.12","1.3","2","4","3","8","5","0.02","0.76","2.06","0.106666667","0.03","10","3.333333333","2","2","1.2","0.253333333","0.152","0.433333333","0.26","60","36.89320388","60","0.076","4.266666667","5.066666667","8.666666667","13.73333333","7.111111111","8.444444444","14.44444444","22.88888889"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00026","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00027","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00028","","","","5","5","1","2","8","1","2","3","9","25","3.7","0.48","26","2","3","3","9","3","0.02","4.18","30.18","0.411111111","0.0192","34","11.33333333","6.8","3","1.8","1.393333333","0.836","8.666666667","5.2","26.47058824","13.85023194","60","0.122941176","24.66666667","27.86666667","173.3333333","201.2","41.11111111","46.44444444","288.8888889","335.3333333"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00029","","","","5","4","2","2","6","1","1","3","8","13","0.37","0.24","1.4","9","3","1","9","1","0.15","0.61","2.01","0.04625","0.018461538","21","7","4.2","2.666666667","1.6","0.203333333","0.122","0.466666667","0.28","38.0952381","30.34825871","60","0.029047619","2.466666667","4.066666667","9.333333333","13.4","4.111111111","6.777777778","15.55555556","22.33333333"
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00030","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT04","","","","","","","","","UGP2013SER-OT04-00031","","","","5","5","1","1","9","1","2","5","0","40","0","0.26","1.8","2","1","1","9","9","0","0.26","2.06","","0.0065","40","8","8","0","0","0.052","0.052","0.36","0.36","0","12.62135922","100","0.0065","0","1.733333333","12","13.73333333","0","1.733333333","12","13.73333333"
