"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00001","","","","3","2","2","3","6","1","4","2","1","1","0.06","0.04","1","2","1","2","3","7","0.12","0.1","1.1","2","0.06","0.04","0.05","1","0.666666667","0.5","0.333333333","0.05","0.033333333","0.5","0.333333333","50","9.090909091","66.66666667","0.666666667","1.111111111","11.11111111","12.22222222","1","1.666666667","16.66666667","18.33333333"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00002","","","","3","3","3","3","5","4","5","3","0","4","0","0.1","0.2","6","1","1","3","9","0.12","0.1","0.3","4","","0.025","0.025","1.333333333","1.333333333","0","0","0.033333333","0.033333333","0.066666667","0.066666667","0","33.33333333","100","0","1.111111111","2.222222222","3.333333333","0","1.111111111","2.222222222","3.333333333"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00003","","","","3","3","2","2","6","3","5","2","0","0","0","0","0.4","","","","","","","0","0.4","0","","","","0","0","0","0","0","0","0.2","0.133333333","","0","66.66666667","0","0","4.444444444","4.444444444","0","0","6.666666667","6.666666667"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00004","","","","3","3","1","4","5","2","4","1","2","1","0.32","0.02","0.3","8","2","1","4","5","0","0.34","0.64","3","0.16","0.02","0.113333333","3","1","2","0.666666667","0.34","0.113333333","0.3","0.1","66.66666667","53.125","33.33333333","3.555555556","3.777777778","3.333333333","7.111111111","10.66666667","11.33333333","10","21.33333333"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00005","","","","3","2","2","3","5","1","3","2","1","2","0.06","0.01","0.2","8","1","1","3","9","0","0.07","0.27","3","0.06","0.005","0.023333333","1.5","1","0.5","0.333333333","0.035","0.023333333","0.1","0.066666667","33.33333333","25.92592593","66.66666667","0.666666667","0.777777778","2.222222222","3","1","1.166666667","3.333333333","4.5"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00006","","","","3","2","1","3","6","1","2","2","2","8","0.2","0.03","0.4","6","1","1","6","7","1.04","0.23","0.63","10","0.1","0.00375","0.023","5","3.333333333","1","0.666666667","0.115","0.076666667","0.2","0.133333333","20","36.50793651","66.66666667","2.222222222","2.555555556","4.444444444","7","3.333333333","3.833333333","6.666666667","10.5"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00007","","","","3","3","3","3","7","1","3","3","8","3","","0.1","","6","4","1","2","5","3.76","","","11","","0.033333333","","3.666666667","3.666666667","2.666666667","2.666666667","","","","","72.72727273","","100","","","","","","","",""
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00008","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00009","","","","3","3","3","2","5","2","3","1","0","0","0","0","1","","","","","","","0","1","0","","","","0","0","0","0","0","0","1","0.333333333","","0","33.33333333","0","0","11.11111111","11.11111111","0","0","33.33333333","33.33333333"
"","","UGP2014NAM-OT01","","","","","","","","","UGP2014NAM-OT01-00010","","","","3","3","2","3","7","1","2","3","1","12","0.24","0.12","0.08","2","1","1","3","7","0.12","0.36","0.44","13","0.24","0.01","0.027692308","4.333333333","4.333333333","0.333333333","0.333333333","0.12","0.12","0.026666667","0.026666667","7.692307692","81.81818182","100","2.666666667","4","0.888888889","4.888888889","2.666666667","4","0.888888889","4.888888889"
