"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00001","","","","30","30","3","4","6","1","2","29","20","20","2.2","0.5","3.4","8","3","2","3","5","0.12","2.7","6.1","0.11","0.025","40","1.379310345","1.333333333","0.689655172","0.666666667","0.093103448","0.09","0.117241379","0.113333333","50","44.26229508","96.66666667","0.0675","2.444444444","3","3.777777778","6.777777778","2.528735632","3.103448276","3.908045977","7.011494253"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00002","","","","30","26","4","4","5","2","5","22","22","28","2.6","2.5","2.3","9","2","2","5","3","0","5.1","7.4","0.118181818","0.089285714","50","2.272727273","1.666666667","1","0.733333333","0.231818182","0.17","0.104545455","0.076666667","44","68.91891892","73.33333333","0.102","2.888888889","5.666666667","2.555555556","8.222222222","3.939393939","7.727272727","3.484848485","11.21212121"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00003","","","","30","28","3","4","6","3","3","23","11","18","0.7","0.2","5.2","8","3","3","8","5","0","0.9","6.1","0.063636364","0.011111111","29","1.260869565","0.966666667","0.47826087","0.366666667","0.039130435","0.03","0.226086957","0.173333333","37.93103448","14.75409836","76.66666667","0.031034483","0.777777778","1","5.777777778","6.777777778","1.014492754","1.304347826","7.536231884","8.84057971"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00004","","","","30","27","3","3","6","2","4","25","13","14","0.9","0.16","3","5","4","3","3","7","0","1.06","4.06","0.069230769","0.011428571","27","1.08","0.9","0.52","0.433333333","0.0424","0.035333333","0.12","0.1","48.14814815","26.10837438","83.33333333","0.039259259","1","1.177777778","3.333333333","4.511111111","1.2","1.413333333","4","5.413333333"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00005","","","","30","28","4","4","5","2","5","24","21","9","1.8","0.15","0.2","2","3","4","9","5","0","1.95","2.15","0.085714286","0.016666667","30","1.25","1","0.875","0.7","0.08125","0.065","0.008333333","0.006666667","70","90.69767442","80","0.065","2","2.166666667","0.222222222","2.388888889","2.5","2.708333333","0.277777778","2.986111111"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00006","","","","30","30","2","3","8","2","2","25","13","8","0.6","0.12","7.7","2","2","2","3","5","0.12","0.72","8.42","0.046153846","0.015","21","0.84","0.7","0.52","0.433333333","0.0288","0.024","0.308","0.256666667","61.9047619","8.551068884","83.33333333","0.034285714","0.666666667","0.8","8.555555556","9.355555556","0.8","0.96","10.26666667","11.22666667"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00007","","","","30","30","2","4","8","2","3","30","20","15","2.3","0.32","8","9","3","2","6","3","0","2.62","10.62","0.115","0.021333333","35","1.166666667","1.166666667","0.666666667","0.666666667","0.087333333","0.087333333","0.266666667","0.266666667","57.14285714","24.67043315","100","0.074857143","2.555555556","2.911111111","8.888888889","11.8","2.555555556","2.911111111","8.888888889","11.8"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00008","","","","30","28","4","4","6","2","3","17","0","0","0","0","1.8","","","","","","","0","1.8","","","0","0","0","0","0","0","0","0.105882353","0.06","","0","56.66666667","","0","0","2","2","0","0","3.529411765","3.529411765"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00009","","","","30","30","3","2","7","2","3","28","11","6","1.5","0.16","7.6","2","3","2","6","5","0.15","1.66","9.26","0.136363636","0.026666667","17","0.607142857","0.566666667","0.392857143","0.366666667","0.059285714","0.055333333","0.271428571","0.253333333","64.70588235","17.92656587","93.33333333","0.097647059","1.666666667","1.844444444","8.444444444","10.28888889","1.785714286","1.976190476","9.047619048","11.02380952"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00010","","","","30","26","2","3","6","2","3","21","35","9","4.6","0.2","1.9","5","3","2","3","3","3.96","4.8","6.7","0.131428571","0.022222222","44","2.095238095","1.466666667","1.666666667","1.166666667","0.228571429","0.16","0.09047619","0.063333333","79.54545455","71.64179104","70","0.109090909","5.111111111","5.333333333","2.111111111","7.444444444","7.301587302","7.619047619","3.015873016","10.63492063"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00011","","","","30","24","4","5","6","2","3","21","31","22","4.4","0.44","3.6","8","3","3","4","3","5.46","4.84","8.44","0.141935484","0.02","53","2.523809524","1.766666667","1.476190476","1.033333333","0.23047619","0.161333333","0.171428571","0.12","58.49056604","57.34597156","70","0.091320755","4.888888889","5.377777778","4","9.377777778","6.984126984","7.682539683","5.714285714","13.3968254"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00012","","","","30","30","4","4","5","4","6","29","48","37","5","0.8","1","8","4","3","3","5","4.41","5.8","6.8","0.104166667","0.021621622","85","2.931034483","2.833333333","1.655172414","1.6","0.2","0.193333333","0.034482759","0.033333333","56.47058824","85.29411765","96.66666667","0.068235294","5.555555556","6.444444444","1.111111111","7.555555556","5.747126437","6.666666667","1.149425287","7.816091954"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00013","","","","30","30","6","6","6","2","4","30","32","20","2.5","0.28","2","8","3","2","9","5","0","2.78","4.78","0.078125","0.014","52","1.733333333","1.733333333","1.066666667","1.066666667","0.092666667","0.092666667","0.066666667","0.066666667","61.53846154","58.15899582","100","0.053461538","2.777777778","3.088888889","2.222222222","5.311111111","2.777777778","3.088888889","2.222222222","5.311111111"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00014","","","","30","28","2","3","6","2","4","24","23","28","3.3","0.5","2.4","2","3","3","5","3","0","3.8","6.2","0.143478261","0.017857143","51","2.125","1.7","0.958333333","0.766666667","0.158333333","0.126666667","0.1","0.08","45.09803922","61.29032258","80","0.074509804","3.666666667","4.222222222","2.666666667","6.888888889","4.583333333","5.277777778","3.333333333","8.611111111"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00015","","","","30","27","3","3","5","2","5","24","45","27","5.4","0.5","0.5","2","4","3","9","5","7.76","5.9","6.4","0.12","0.018518519","72","3","2.4","1.875","1.5","0.245833333","0.196666667","0.020833333","0.016666667","62.5","92.1875","80","0.081944444","6","6.555555556","0.555555556","7.111111111","7.5","8.194444444","0.694444444","8.888888889"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00016","","","","30","30","2","2","5","1","3","28","0","35","0","0.28","0.16","2","4","2","9","9","6.12","0.28","0.44","","0.008","35","1.25","1.166666667","0","0","0.01","0.009333333","0.005714286","0.005333333","0","63.63636364","93.33333333","0.008","0","0.311111111","0.177777778","0.488888889","0","0.333333333","0.19047619","0.523809524"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00017","","","","30","20","3","3","5","2","3","17","45","58","5.4","1","2.5","2","3","3","5","3","0.12","6.4","8.9","0.12","0.017241379","103","6.058823529","3.433333333","2.647058824","1.5","0.376470588","0.213333333","0.147058824","0.083333333","43.68932039","71.91011236","56.66666667","0.062135922","6","7.111111111","2.777777778","9.888888889","10.58823529","12.54901961","4.901960784","17.45098039"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00018","","","","30","29","3","3","8","3","3","24","48","29","5.6","0.5","11","2","2","2","5","3","0.12","6.1","17.1","0.116666667","0.017241379","77","3.208333333","2.566666667","2","1.6","0.254166667","0.203333333","0.458333333","0.366666667","62.33766234","35.67251462","80","0.079220779","6.222222222","6.777777778","12.22222222","19","7.777777778","8.472222222","15.27777778","23.75"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00019","","","","30","30","2","3","7","2","3","23","35","13","5.7","0.2","8","2","2","3","5","3","4.41","5.9","13.9","0.162857143","0.015384615","48","2.086956522","1.6","1.52173913","1.166666667","0.256521739","0.196666667","0.347826087","0.266666667","72.91666667","42.44604317","76.66666667","0.122916667","6.333333333","6.555555556","8.888888889","15.44444444","8.260869565","8.550724638","11.5942029","20.14492754"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00020","","","","30","27","2","3","6","3","3","27","81","35","7.4","0.6","1.8","2","2","2","6","3","0","8","9.8","0.091358025","0.017142857","116","4.296296296","3.866666667","3","2.7","0.296296296","0.266666667","0.066666667","0.06","69.82758621","81.63265306","90","0.068965517","8.222222222","8.888888889","2","10.88888889","9.135802469","9.87654321","2.222222222","12.09876543"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00021","","","","30","30","5","7","7","4","6","29","24","23","2.5","0.3","2","2","4","4","4","5","0.15","2.8","4.8","0.104166667","0.013043478","47","1.620689655","1.566666667","0.827586207","0.8","0.096551724","0.093333333","0.068965517","0.066666667","51.06382979","58.33333333","96.66666667","0.059574468","2.777777778","3.111111111","2.222222222","5.333333333","2.873563218","3.218390805","2.298850575","5.517241379"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00022","","","","30","30","2","2","7","2","2","30","8","13","0.64","0.24","5.8","9","1","3","3","7","0","0.88","6.68","0.08","0.018461538","21","0.7","0.7","0.266666667","0.266666667","0.029333333","0.029333333","0.193333333","0.193333333","38.0952381","13.17365269","100","0.041904762","0.711111111","0.977777778","6.444444444","7.422222222","0.711111111","0.977777778","6.444444444","7.422222222"
"","","UGP2014NAM-PT05","","","","","","","","","UGP2014NAM-PT05-00023","","","","30","30","2","3","8","2","4","28","62","64","5.5","1.1","7.5","2","3","5","5","5","0","6.6","14.1","0.088709677","0.0171875","126","4.5","4.2","2.214285714","2.066666667","0.235714286","0.22","0.267857143","0.25","49.20634921","46.80851064","93.33333333","0.052380952","6.111111111","7.333333333","8.333333333","15.66666667","6.547619048","7.857142857","8.928571429","16.78571429"
