"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00001","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00002","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00003","","","","5","3","2","3","8","","2","2","9","0","2.5","0","9.8","9","4","2","1","3","0.12","2.5","12.3","0.277777778","","9","4.5","1.8","4.5","1.8","1.25","0.5","4.9","1.96","100","20.32520325","40","16.66666667","16.66666667","65.33333333","82","0.277777778","41.66666667","41.66666667","163.3333333","205"
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00004","","","","5","5","3","3","5","1","2","2","0","0","0","0","3","","","","","","","0","3","","","0","0","0","0","0","0","0","1.5","0.6","","0","40","0","0","20","20","","0","0","50","50"
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00005","","","","5","5","2","3","5","1","2","1","2","0","0.28","0","0.7","2","2","3","2","5","0.15","0.28","0.98","0.14","","2","2","0.4","2","0.4","0.28","0.056","0.7","0.14","100","28.57142857","20","1.866666667","1.866666667","4.666666667","6.533333333","0.14","9.333333333","9.333333333","23.33333333","32.66666667"
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00006","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00007","","","","5","3","2","2","6","1","2","2","2","0","0.28","0","0.1","5","4","6","5","5","0.02","0.28","0.38","0.14","","2","1","0.4","1","0.4","0.14","0.056","0.05","0.02","100","73.68421053","40","1.866666667","1.866666667","0.666666667","2.533333333","0.14","4.666666667","4.666666667","1.666666667","6.333333333"
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00008","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00009","","","","5","","","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-PT08","","","","","","","","","UGP2014SER-PT08-00010","","","","5","5","1","4","5","1","2","4","6","10","0.56","0.24","2.5","6","6","2","2","7","0","0.8","3.3","0.093333333","0.024","16","4","3.2","1.5","1.2","0.2","0.16","0.625","0.5","37.5","24.24242424","80","3.733333333","5.333333333","16.66666667","22","0.05","4.666666667","6.666666667","20.83333333","27.5"
