"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00001","","","","20","20","1","2","7","2","2","20","12","6","15.6","0.3","14.2","","1","1","2","1","1.17","15.9","30.1","18","1.3","0.05","0.883333333","0.9","0.9","0.6","0.6","0.795","0.795","0.71","0.71","66.66666667","52.82392027","100","26","26.5","23.66666667","50.16666667","26","26.5","23.66666667","50.16666667"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00002","","","","20","5","3","2","6","1","1","5","3","4","0.27","0.08","1.2","3","1","1","4","6","1.76","0.35","1.55","7","0.09","0.02","0.05","1.4","0.35","0.6","0.15","0.07","0.0175","0.24","0.06","42.85714286","22.58064516","25","0.45","0.583333333","2","2.583333333","1.8","2.333333333","8","10.33333333"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00003","","","","20","20","1","2","7","2","2","18","20","5","8.8","0.8","15.2","3","7","6","1","1","","9.6","24.8","25","0.44","0.16","0.384","1.388888889","1.25","1.111111111","1","0.533333333","0.48","0.844444444","0.76","80","38.70967742","90","14.66666667","16","25.33333333","41.33333333","16.2962963","17.77777778","28.14814815","45.92592593"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00004","","","","20","16","1","1","8","1","2","15","12","9","4.5","0.6","10.5","3","5","9","1","1","","5.1","15.6","21","0.375","0.066666667","0.242857143","1.4","1.05","0.8","0.6","0.34","0.255","0.7","0.525","57.14285714","32.69230769","75","7.5","8.5","17.5","26","10","11.33333333","23.33333333","34.66666667"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00005","","","","20","12","2","2","7","2","2","12","7","4","0.62","0.07","7","3","1","1","3","5","0","0.69","7.69","11","0.088571429","0.0175","0.062727273","0.916666667","0.55","0.583333333","0.35","0.0575","0.0345","0.583333333","0.35","63.63636364","8.972691808","60","1.033333333","1.15","11.66666667","12.81666667","1.722222222","1.916666667","19.44444444","21.36111111"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00006","","","","20","14","1","2","9","1","2","14","9","7","0.62","0.06","2.2","6","2","1","4","7","1.76","0.68","2.88","16","0.068888889","0.008571429","0.0425","1.142857143","0.8","0.642857143","0.45","0.048571429","0.034","0.157142857","0.11","56.25","23.61111111","70","1.033333333","1.133333333","3.666666667","4.8","1.476190476","1.619047619","5.238095238","6.857142857"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00007","","","","20","10","3","3","7","1","1","10","3","3","0.4","0.03","4.2","9","1","1","8","5","0","0.43","4.63","6","0.133333333","0.01","0.071666667","0.6","0.3","0.3","0.15","0.043","0.0215","0.42","0.21","50","9.287257019","50","0.666666667","0.716666667","7","7.716666667","1.333333333","1.433333333","14","15.43333333"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00008","","","","20","18","1","2","7","2","2","18","22","20","10.3","0.4","12","8","3","5","1","1","","10.7","22.7","42","0.468181818","0.02","0.254761905","2.333333333","2.1","1.222222222","1.1","0.594444444","0.535","0.666666667","0.6","52.38095238","47.13656388","90","17.16666667","17.83333333","20","37.83333333","19.07407407","19.81481481","22.22222222","42.03703704"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00009","","","","20","12","3","3","7","1","1","12","6","15","0.4","0.23","0.8","4","1","1","3","7","10.5","0.63","1.43","21","0.066666667","0.015333333","0.03","1.75","1.05","0.5","0.3","0.0525","0.0315","0.066666667","0.04","28.57142857","44.05594406","60","0.666666667","1.05","1.333333333","2.383333333","1.111111111","1.75","2.222222222","3.972222222"
"","","UGP2015KAC-ST01","","","","","","","","","UGP2015KAC-ST01-00010","","","","20","12","1","2","7","2","3","12","8","","14","0.6","10.1","7","","","","","11.03","14.6","24.7","","1.75","","","","","0.666666667","0.4","1.216666667","0.73","0.841666667","0.505","","59.10931174","60","23.33333333","24.33333333","16.83333333","41.16666667","38.88888889","40.55555556","28.05555556","68.61111111"
