"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00001","","","","20","18","1","4","8","1","2","18","28","14","10","0.2","10","9","3","1","1","1","0","10.2","20.2","0.357142857","0.014285714","42","2.333333333","2.1","1.555555556","1.4","0.566666667","0.51","0.555555556","0.5","66.66666667","50.4950495","90","16.66666667","17","16.66666667","33.66666667","0.242857143","18.51851852","18.88888889","18.51851852","37.40740741"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00002","","","","20","20","1","2","9","1","2","20","30","4","5.6","0.1","9.6","3","3","2","1","1","0.12","5.7","15.3","0.186666667","0.025","34","1.7","1.7","1.5","1.5","0.285","0.285","0.48","0.48","88.23529412","37.25490196","100","9.333333333","9.5","16","25.5","0.167647059","9.333333333","9.5","16","25.5"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00003","","","","20","20","2","2","8","1","2","20","28","10","3","0.16","10","3","","3","1","1","0","3.16","13.16","0.107142857","0.016","38","1.9","1.9","1.4","1.4","0.158","0.158","0.5","0.5","73.68421053","24.01215805","100","5","5.266666667","16.66666667","21.93333333","0.083157895","5","5.266666667","16.66666667","21.93333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00004","","","","20","20","2","3","9","1","2","20","8","10","1.2","0.16","7","3","3","3","1","1","0.12","1.36","8.36","0.15","0.016","18","0.9","0.9","0.4","0.4","0.068","0.068","0.35","0.35","44.44444444","16.26794258","100","2","2.266666667","11.66666667","13.93333333","0.075555556","2","2.266666667","11.66666667","13.93333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00005","","","","20","20","1","3","8","1","3","20","56","22","13.6","0.4","7","4","2","2","4","1","1.38","14","21","0.242857143","0.018181818","78","3.9","3.9","2.8","2.8","0.7","0.7","0.35","0.35","71.79487179","66.66666667","100","22.66666667","23.33333333","11.66666667","35","0.179487179","22.66666667","23.33333333","11.66666667","35"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00006","","","","20","14","2","3","7","1","2","14","10","6","2","0.16","8","3","4","4","1","3","0","2.16","10.16","0.2","0.026666667","16","1.142857143","0.8","0.714285714","0.5","0.154285714","0.108","0.571428571","0.4","62.5","21.25984252","70","3.333333333","3.6","13.33333333","16.93333333","0.135","4.761904762","5.142857143","19.04761905","24.19047619"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00007","","","","20","20","1","3","9","1","2","20","54","40","6","0.56","12","3","4","3","1","1","0","6.56","18.56","0.111111111","0.014","94","4.7","4.7","2.7","2.7","0.328","0.328","0.6","0.6","57.44680851","35.34482759","100","10","10.93333333","20","30.93333333","0.069787234","10","10.93333333","20","30.93333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00008","","","","20","18","2","3","7","1","2","18","4","4","0.18","0.06","10","5","3","7","1","1","7.23","0.24","10.24","0.045","0.015","8","0.444444444","0.4","0.222222222","0.2","0.013333333","0.012","0.555555556","0.5","50","2.34375","90","0.3","0.4","16.66666667","17.06666667","0.03","0.333333333","0.444444444","18.51851852","18.96296296"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00009","","","","20","10","2","3","5","1","2","10","6","8","0.38","0.16","0.4","6","3","6","1","1","0.12","0.54","0.94","0.063333333","0.02","14","1.4","0.7","0.6","0.3","0.054","0.027","0.04","0.02","42.85714286","57.44680851","50","0.633333333","0.9","0.666666667","1.566666667","0.038571429","1.266666667","1.8","1.333333333","3.133333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00010","","","","20","14","1","2","7","1","2","14","24","12","6","0.34","4","5","6","2","1","1","0","6.34","10.34","0.25","0.028333333","36","2.571428571","1.8","1.714285714","1.2","0.452857143","0.317","0.285714286","0.2","66.66666667","61.31528046","70","10","10.56666667","6.666666667","17.23333333","0.176111111","14.28571429","15.0952381","9.523809524","24.61904762"
