"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00001","","","","20","16","2","2","6","1","1","12","2","3","0.18","0.17","3.5","4","7","4","1","1","0.02","0.35","3.85","0.09","0.056666667","5","0.416666667","0.25","0.166666667","0.1","0.029166667","0.0175","0.291666667","0.175","40","9.090909091","60","0.07","0.3","0.583333333","5.833333333","6.416666667","0.5","0.972222222","9.722222222","10.69444444"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00002","","","","20","15","2","3","6","1","2","15","13","0","2.4","0","6","9","3","8","1","4","0.15","2.4","8.4","0.184615385","","13","0.866666667","0.65","0.866666667","0.65","0.16","0.12","0.4","0.3","100","28.57142857","75","0.184615385","4","4","10","14","5.333333333","5.333333333","13.33333333","18.66666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00003","","","","20","18","1","1","8","1","1","18","8","4","2","0.2","28.4","3","2","4","1","1","0","2.2","30.6","0.25","0.05","12","0.666666667","0.6","0.444444444","0.4","0.122222222","0.11","1.577777778","1.42","66.66666667","7.189542484","90","0.183333333","3.333333333","3.666666667","47.33333333","51","3.703703704","4.074074074","52.59259259","56.66666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00004","","","","20","17","1","2","7","2","2","14","16","9","3.2","0.4","3.5","9","2","2","1","1","0","3.6","7.1","0.2","0.044444444","25","1.785714286","1.25","1.142857143","0.8","0.257142857","0.18","0.25","0.175","64","50.70422535","70","0.144","5.333333333","6","5.833333333","11.83333333","7.619047619","8.571428571","8.333333333","16.9047619"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00005","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00006","","","","20","18","1","2","5","1","2","18","0","2","0","0.05","1","8","8","3","1","1","0.02","0.05","1.05","","0.025","2","0.111111111","0.1","0","0","0.002777778","0.0025","0.055555556","0.05","0","4.761904762","90","0.025","0","0.083333333","1.666666667","1.75","0","0.092592593","1.851851852","1.944444444"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00007","","","","20","17","1","1","6","1","1","16","9","8","1.6","0.3","9.2","9","4","3","1","1","0.02","1.9","11.1","0.177777778","0.0375","17","1.0625","0.85","0.5625","0.45","0.11875","0.095","0.575","0.46","52.94117647","17.11711712","80","0.111764706","2.666666667","3.166666667","15.33333333","18.5","3.333333333","3.958333333","19.16666667","23.125"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00008","","","","20","4","2","2","4","3","1","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00009","","","","20","17","2","2","5","2","2","17","6","11","0.6","0.2","6","5","6","3","1","1","5.46","0.8","6.8","0.1","0.018181818","17","1","0.85","0.352941176","0.3","0.047058824","0.04","0.352941176","0.3","35.29411765","11.76470588","85","0.047058824","1","1.333333333","10","11.33333333","1.176470588","1.568627451","11.76470588","13.33333333"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00010","","","","20","17","1","2","5","2","2","12","8","6","1","0.16","1.8","8","5","6","1","3","0","1.16","2.96","0.125","0.026666667","14","1.166666667","0.7","0.666666667","0.4","0.096666667","0.058","0.15","0.09","57.14285714","39.18918919","60","0.082857143","1.666666667","1.933333333","3","4.933333333","2.777777778","3.222222222","5","8.222222222"
