"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00001","","","","20","20","3","4","6","2","3","16","11","22","1.1","0.42","4.2","2","3","3","5","5","0.12","1.52","5.72","33","0.1","0.019090909","0.046060606","2.0625","1.65","0.6875","0.55","0.095","0.076","0.2625","0.21","33.33333333","26.57342657","80","1.833333333","2.533333333","7","9.533333333","2.291666667","3.166666667","8.75","11.91666667"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00002","","","","20","20","2","3","6","2","2","20","28","59","2.8","1.8","2.6","6","3","1","2","5","1.17","4.6","7.2","87","0.1","0.030508475","0.052873563","4.35","4.35","1.4","1.4","0.23","0.23","0.13","0.13","32.18390805","63.88888889","100","4.666666667","7.666666667","4.333333333","12","4.666666667","7.666666667","4.333333333","12"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00003","","","","20","20","1","3","4","2","2","10","0","2","0","0.08","0.2","8","1","1","2","9","0.12","0.08","0.28","2","","0.04","0.04","0.2","0.1","0","0","0.008","0.004","0.02","0.01","0","28.57142857","50","0","0.133333333","0.333333333","0.466666667","0","0.266666667","0.666666667","0.933333333"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00004","","","","20","9","3","3","5","1","2","7","7","25","0.4","0.41","0.6","6","1","1","5","5","12.39","0.81","1.41","32","0.057142857","0.0164","0.0253125","4.571428571","1.6","1","0.35","0.115714286","0.0405","0.085714286","0.03","21.875","57.44680851","35","0.666666667","1.35","1","2.35","1.904761905","3.857142857","2.857142857","6.714285714"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00005","","","","20","20","2","3","5","1","3","13","5","6","0.23","0.03","2.1","8","3","3","5","7","0.12","0.26","2.36","11","0.046","0.005","0.023636364","0.846153846","0.55","0.384615385","0.25","0.02","0.013","0.161538462","0.105","45.45454545","11.01694915","65","0.383333333","0.433333333","3.5","3.933333333","0.58974359","0.666666667","5.384615385","6.051282051"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00006","","","","20","20","2","2","5","1","2","12","2","7","0.12","0.05","0.8","8","1","1","2","7","0.15","0.17","0.97","9","0.06","0.007142857","0.018888889","0.75","0.45","0.166666667","0.1","0.014166667","0.0085","0.066666667","0.04","22.22222222","17.5257732","60","0.2","0.283333333","1.333333333","1.616666667","0.333333333","0.472222222","2.222222222","2.694444444"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00007","","","","20","20","2","2","6","1","2","19","52","95","4.3","2.1","4.1","9","1","3","5","5","0","6.4","10.5","147","0.082692308","0.022105263","0.043537415","7.736842105","7.35","2.736842105","2.6","0.336842105","0.32","0.215789474","0.205","35.37414966","60.95238095","95","7.166666667","10.66666667","6.833333333","17.5","7.543859649","11.22807018","7.192982456","18.42105263"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00008","","","","20","17","1","2","6","1","2","17","37","23","5.5","0.48","4.5","2","1","3","4","3","0.12","5.98","10.48","60","0.148648649","0.020869565","0.099666667","3.529411765","3","2.176470588","1.85","0.351764706","0.299","0.264705882","0.225","61.66666667","57.0610687","85","9.166666667","9.966666667","7.5","17.46666667","10.78431373","11.7254902","8.823529412","20.54901961"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00009","","","","20","19","4","4","5","1","2","10","1","0","0.08","0","1.7","8","1","1","4","5","0.12","0.08","1.78","1","0.08","","0.08","0.1","0.05","0.1","0.05","0.008","0.004","0.17","0.085","100","4.494382022","50","0.133333333","0.133333333","2.833333333","2.966666667","0.266666667","0.266666667","5.666666667","5.933333333"
"","","UGP2016KAC-PT03","","","","","","","","","UGP2016KAC-PT03-00010","","","","20","19","3","3","5","1","2","13","5","11","0.23","0.2","0.6","8","3","3","5","7","0","0.43","1.03","16","0.046","0.018181818","0.026875","1.230769231","0.8","0.384615385","0.25","0.033076923","0.0215","0.046153846","0.03","31.25","41.74757282","65","0.383333333","0.716666667","1","1.716666667","0.58974359","1.102564103","1.538461538","2.641025641"
