"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00001","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00002","","","","20","12","1","1","9","1","1","12","10","10","4","0.4","32","3","2","6","1","1","0","4.4","36.4","0.4","0.04","20","1.666666667","1","0.833333333","0.5","0.366666667","0.22","2.666666667","1.6","50","12.08791209","60","6.666666667","7.333333333","53.33333333","60.66666667","0.22","11.11111111","12.22222222","88.88888889","101.1111111"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00003","","","","20","8","1","","","1","","8","12","12","1.2","0.04","10","","","","","","","1.24","11.24","0.1","0.003333333","24","3","1.2","1.5","0.6","0.155","0.062","1.25","0.5","50","11.03202847","40","2","2.066666667","16.66666667","18.73333333","0.051666667","5","5.166666667","41.66666667","46.83333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00004","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00005","","","","20","12","1","2","8","1","2","12","8","10","1.2","0.4","6","8","4","4","1","1","0","1.6","7.6","0.15","0.04","18","1.5","0.9","0.666666667","0.4","0.133333333","0.08","0.5","0.3","44.44444444","21.05263158","60","2","2.666666667","10","12.66666667","0.088888889","3.333333333","4.444444444","16.66666667","21.11111111"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00006","","","","20","10","1","2","4","1","3","10","10","13","12.3","0.5","11","3","3","6","1","1","1.38","12.8","23.8","1.23","0.038461538","23","2.3","1.15","1","0.5","1.28","0.64","1.1","0.55","43.47826087","53.78151261","50","20.5","21.33333333","18.33333333","39.66666667","0.556521739","41","42.66666667","36.66666667","79.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00007","","","","20","4","1","2","8","1","2","4","8","4","0.6","0.02","6","8","4","6","1","1","0","0.62","6.62","0.075","0.005","12","3","0.6","2","0.4","0.155","0.031","1.5","0.3","66.66666667","9.365558912","20","1","1.033333333","10","11.03333333","0.051666667","5","5.166666667","50","55.16666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00008","","","","20","6","1","2","8","1","2","6","6","0","2","0","4","3","3","3","1","1","4.92","2","6","0.333333333","","6","1","0.3","1","0.3","0.333333333","0.1","0.666666667","0.2","100","33.33333333","30","3.333333333","3.333333333","6.666666667","10","0.333333333","11.11111111","11.11111111","22.22222222","33.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00009","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00010","","","","14","8","1","9","1","1","7","8","6","12","0.08","6","6","2","4","1","1","1","0","6.08","12.08","0.013333333","0.5","18","2.25","1.285714286","0.75","0.428571429","0.76","0.434285714","0.75","0.428571429","33.33333333","50.33112583","57.14285714","0.19047619","14.47619048","14.28571429","28.76190476","0.337777778","0.333333333","25.33333333","25","50.33333333"
