"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00001","","","","30","12","2","","4","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00002","","","","30","27","2","2","8","2","2","27","30","30","7","0.8","25","8","1","1","3","7","5.46","7.8","32.8","0.233333333","0.026666667","60","2.222222222","2","1.111111111","1","0.288888889","0.26","0.925925926","0.833333333","50","23.7804878","90","0.13","7.777777778","8.666666667","27.77777778","36.44444444","8.641975309","9.62962963","30.86419753","40.49382716"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00003","","","","30","25","2","2","7","1","2","25","40","36","8","2.3","20","9","1","1","3","4","7.23","10.3","30.3","0.2","0.063888889","76","3.04","2.533333333","1.6","1.333333333","0.412","0.343333333","0.8","0.666666667","52.63157895","33.99339934","83.33333333","0.135526316","8.888888889","11.44444444","22.22222222","33.66666667","10.66666667","13.73333333","26.66666667","40.4"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00004","","","","30","23","1","1","8","1","2","23","20","50","2","1.9","10","3","1","1","3","6","0","3.9","13.9","0.1","0.038","70","3.043478261","2.333333333","0.869565217","0.666666667","0.169565217","0.13","0.434782609","0.333333333","28.57142857","28.05755396","76.66666667","0.055714286","2.222222222","4.333333333","11.11111111","15.44444444","2.898550725","5.652173913","14.49275362","20.14492754"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00005","","","","30","20","1","1","8","1","2","20","20","32","3","0.82","3","9","1","1","3","3","4.61","3.82","6.82","0.15","0.025625","52","2.6","1.733333333","1","0.666666667","0.191","0.127333333","0.15","0.1","38.46153846","56.01173021","66.66666667","0.073461538","3.333333333","4.244444444","3.333333333","7.577777778","5","6.366666667","5","11.36666667"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00006","","","","30","24","1","2","7","2","2","24","38","45","5.2","0.8","8","3","1","1","3","6","1.04","6","14","0.136842105","0.017777778","83","3.458333333","2.766666667","1.583333333","1.266666667","0.25","0.2","0.333333333","0.266666667","45.78313253","42.85714286","80","0.072289157","5.777777778","6.666666667","8.888888889","15.55555556","7.222222222","8.333333333","11.11111111","19.44444444"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00007","","","","30","27","1","2","8","2","2","27","32","48","4.5","0.6","14.5","5","1","1","2","3","11.03","5.1","19.6","0.140625","0.0125","80","2.962962963","2.666666667","1.185185185","1.066666667","0.188888889","0.17","0.537037037","0.483333333","40","26.02040816","90","0.06375","5","5.666666667","16.11111111","21.77777778","5.555555556","6.296296296","17.90123457","24.19753086"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00008","","","","30","22","1","1","9","1","2","22","40","35","4.7","2","13","3","1","4","7","6","11.03","6.7","19.7","0.1175","0.057142857","75","3.409090909","2.5","1.818181818","1.333333333","0.304545455","0.223333333","0.590909091","0.433333333","53.33333333","34.01015228","73.33333333","0.089333333","5.222222222","7.444444444","14.44444444","21.88888889","7.121212121","10.15151515","19.6969697","29.84848485"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00009","","","","30","26","1","1","7","2","2","26","41","35","6.2","2.1","20.1","3","1","1","3","3","7.23","8.3","28.4","0.151219512","0.06","76","2.923076923","2.533333333","1.576923077","1.366666667","0.319230769","0.276666667","0.773076923","0.67","53.94736842","29.22535211","86.66666667","0.109210526","6.888888889","9.222222222","22.33333333","31.55555556","7.948717949","10.64102564","25.76923077","36.41025641"
"","","UGP2017KAC-AT02","","","","","","","","","UGP2017KAC-AT02-00010","","","","30","27","1","1","6","1","2","27","19","20","3.7","1.3","30.5","8","1","1","3","3","3.96","5","35.5","0.194736842","0.065","39","1.444444444","1.3","0.703703704","0.633333333","0.185185185","0.166666667","1.12962963","1.016666667","48.71794872","14.08450704","90","0.128205128","4.111111111","5.555555556","33.88888889","39.44444444","4.567901235","6.172839506","37.65432099","43.82716049"
