"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00001","","","","30","24","3","7","6","1","2","24","19","5","2","0.1","1","5","5","4","4","4","7.76","2.1","3.1","24","0.105263158","0.02","0.0875","1","0.8","0.791666667","0.633333333","0.0875","0.07","0.041666667","0.033333333","79.16666667","67.74193548","80","2.222222222","2.333333333","1.111111111","3.444444444","2.777777778","2.916666667","1.388888889","4.305555556"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00002","","","","30","23","2","8","6","2","6","23","22","10","2","0.2","1.5","4","4","4","3","3","11.03","2.2","3.7","32","0.090909091","0.02","0.06875","1.391304348","1.066666667","0.956521739","0.733333333","0.095652174","0.073333333","0.065217391","0.05","68.75","59.45945946","76.66666667","2.222222222","2.444444444","1.666666667","4.111111111","2.898550725","3.188405797","2.173913043","5.362318841"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00003","","","","30","29","1","2","8","1","4","29","1","0","0.1","0","30","8","2","1","2","6","0","0.1","30.1","1","0.1","","0.1","0.034482759","0.033333333","0.034482759","0.033333333","0.003448276","0.003333333","1.034482759","1","100","0.332225914","96.66666667","0.111111111","0.111111111","33.33333333","33.44444444","0.114942529","0.114942529","34.48275862","34.59770115"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00004","","","","30","22","1","3","7","1","2","22","28","9","4","0.1","9","3","3","1","8","3","0","4.1","13.1","37","0.142857143","0.011111111","0.110810811","1.681818182","1.233333333","1.272727273","0.933333333","0.186363636","0.136666667","0.409090909","0.3","75.67567568","31.29770992","73.33333333","4.444444444","4.555555556","10","14.55555556","6.060606061","6.212121212","13.63636364","19.84848485"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00005","","","","30","18","4","7","6","1","2","18","8","0","1","0","1","3","2","1","4","3","3.03","1","2","8","0.125","","0.125","0.444444444","0.266666667","0.444444444","0.266666667","0.055555556","0.033333333","0.055555556","0.033333333","100","50","60","1.111111111","1.111111111","1.111111111","2.222222222","1.851851852","1.851851852","1.851851852","3.703703704"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00006","","","","30","13","2","4","6","1","2","13","16","0","3","0","3.5","3","3","4","4","2","0","3","6.5","16","0.1875","","0.1875","1.230769231","0.533333333","1.230769231","0.533333333","0.230769231","0.1","0.269230769","0.116666667","100","46.15384615","43.33333333","3.333333333","3.333333333","3.888888889","7.222222222","7.692307692","7.692307692","8.974358974","16.66666667"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00007","","","","30","19","4","7","6","1","2","19","11","0","1.6","0","3.5","3","2","3","3","3","7.23","1.6","5.1","11","0.145454545","","0.145454545","0.578947368","0.366666667","0.578947368","0.366666667","0.084210526","0.053333333","0.184210526","0.116666667","100","31.37254902","63.33333333","1.777777778","1.777777778","3.888888889","5.666666667","2.807017544","2.807017544","6.140350877","8.947368421"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00008","","","","30","16","3","6","6","1","2","16","16","0","2","0","2.5","5","3","2","2","4","10.5","2","4.5","16","0.125","","0.125","1","0.533333333","1","0.533333333","0.125","0.066666667","0.15625","0.083333333","100","44.44444444","53.33333333","2.222222222","2.222222222","2.777777778","5","4.166666667","4.166666667","5.208333333","9.375"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00009","","","","30","29","1","6","7","2","2","29","42","6","5","0.1","3","8","3","4","3","3","7.23","5.1","8.1","48","0.119047619","0.016666667","0.10625","1.655172414","1.6","1.448275862","1.4","0.175862069","0.17","0.103448276","0.1","87.5","62.96296296","96.66666667","5.555555556","5.666666667","3.333333333","9","5.747126437","5.862068966","3.448275862","9.310344828"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00010","","","","30","26","2","3","8","1","2","26","29","0","5.5","0","28","8","2","1","3","2","0","5.5","33.5","29","0.189655172","","0.189655172","1.115384615","0.966666667","1.115384615","0.966666667","0.211538462","0.183333333","1.076923077","0.933333333","100","16.41791045","86.66666667","6.111111111","6.111111111","31.11111111","37.22222222","7.051282051","7.051282051","35.8974359","42.94871795"
