"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00001","","","","30","27","3","2","9","4","2","27","130","44","36","0.08","10.2","6","7","4","3","3","0.15","36.08","46.28","0.276923077","4.814814815","4.333333333","1.336296296","1.202666667","0.377777778","0.34","77.96024201","90","40","40.08888889","11.33333333","51.42222222","174","0.001818182","0.207356322","6.444444444","5.8","74.71264368","44.44444444","44.54320988","12.59259259","57.13580247"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00002","","","","30","30","2","1","8","2","2","30","60","26","11.2","0.7","5.6","8","8","2","4","6","0.15","11.9","17.5","0.186666667","2","2","0.396666667","0.396666667","0.186666667","0.186666667","68","100","12.44444444","13.22222222","6.222222222","19.44444444","86","0.026923077","0.138372093","2.866666667","2.866666667","69.76744186","12.44444444","13.22222222","6.222222222","19.44444444"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00003","","","","30","29","4","2","8","4","2","29","60","10","30","0.5","12.4","6","3","2","2","7","0.03","30.5","42.9","0.5","2.068965517","2","1.051724138","1.016666667","0.427586207","0.413333333","71.0955711","96.66666667","33.33333333","33.88888889","13.77777778","47.66666667","70","0.05","0.435714286","2.413793103","2.333333333","85.71428571","34.48275862","35.05747126","14.25287356","49.31034483"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00004","","","","30","26","2","2","7","3","2","26","57","47","4.3","1.4","12","4","6","7","6","3","0.15","5.7","17.7","0.075438596","2.192307692","1.9","0.219230769","0.19","0.461538462","0.4","32.20338983","86.66666667","4.777777778","6.333333333","13.33333333","19.66666667","104","0.029787234","0.054807692","4","3.466666667","54.80769231","5.512820513","7.307692308","15.38461538","22.69230769"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00005","","","","30","28","5","2","8","6","2","28","96","36","11","0.35","8","4","8","3","4","4","0.15","11.35","19.35","0.114583333","3.428571429","3.2","0.405357143","0.378333333","0.285714286","0.266666667","58.65633075","93.33333333","12.22222222","12.61111111","8.888888889","21.5","132","0.009722222","0.085984848","4.714285714","4.4","72.72727273","13.0952381","13.51190476","9.523809524","23.03571429"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00006","","","","30","28","4","2","7","4","2","28","36","16","0.45","4.9","6","5","6","4","4","3","1.65","5.35","11.35","0.0125","1.285714286","1.2","0.191071429","0.178333333","0.214285714","0.2","47.13656388","93.33333333","0.5","5.944444444","6.666666667","12.61111111","52","0.30625","0.102884615","1.857142857","1.733333333","69.23076923","0.535714286","6.369047619","7.142857143","13.51190476"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00007","","","","30","30","2","2","8","2","2","30","70","9","18","0.4","11.3","8","3","3","2","3","0.15","18.4","29.7","0.257142857","2.333333333","2.333333333","0.613333333","0.613333333","0.376666667","0.376666667","61.95286195","100","20","20.44444444","12.55555556","33","79","0.044444444","0.232911392","2.633333333","2.633333333","88.60759494","20","20.44444444","12.55555556","33"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00008","","","","30","27","2","1","7","2","2","27","50","10","13","0.35","9","8","5","3","2","2","0.15","13.35","22.35","0.26","1.851851852","1.666666667","0.494444444","0.445","0.333333333","0.3","59.73154362","90","14.44444444","14.83333333","10","24.83333333","60","0.035","0.2225","2.222222222","2","83.33333333","16.04938272","16.48148148","11.11111111","27.59259259"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00009","","","","30","29","2","1","8","2","2","29","93","29","23","1.4","14","2","4","6","3","3","0.02","24.4","38.4","0.247311828","3.206896552","3.1","0.84137931","0.813333333","0.482758621","0.466666667","63.54166667","96.66666667","25.55555556","27.11111111","15.55555556","42.66666667","122","0.048275862","0.2","4.206896552","4.066666667","76.2295082","26.43678161","28.04597701","16.09195402","44.13793103"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00010","","","","30","27","2","1","8","2","2","27","103","61","19","2.5","26","9","2","3","2","2","0.15","21.5","47.5","0.184466019","3.814814815","3.433333333","0.796296296","0.716666667","0.962962963","0.866666667","45.26315789","90","21.11111111","23.88888889","28.88888889","52.77777778","164","0.040983607","0.131097561","6.074074074","5.466666667","62.80487805","23.45679012","26.54320988","32.09876543","58.64197531"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00011","","","","30","28","1","1","9","2","2","28","140","42","34","3","43.5","4","3","3","2","2","1.65","37","80.5","0.242857143","5","4.666666667","1.321428571","1.233333333","1.553571429","1.45","45.96273292","93.33333333","37.77777778","41.11111111","48.33333333","89.44444444","182","0.071428571","0.203296703","6.5","6.066666667","76.92307692","40.47619048","44.04761905","51.78571429","95.83333333"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00012","","","","30","30","4","2","7","4","3","30","58","37","8","1.45","15","5","3","2","5","2","0.02","9.45","24.45","0.137931034","1.933333333","1.933333333","0.315","0.315","0.5","0.5","38.65030675","100","8.888888889","10.5","16.66666667","27.16666667","95","0.039189189","0.099473684","3.166666667","3.166666667","61.05263158","8.888888889","10.5","16.66666667","27.16666667"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00013","","","","30","28","3","2","8","4","2","26","74","48","15","2.8","28","5","3","5","4","3","0.15","17.8","45.8","0.202702703","2.846153846","2.466666667","0.684615385","0.593333333","1.076923077","0.933333333","38.86462882","86.66666667","16.66666667","19.77777778","31.11111111","50.88888889","122","0.058333333","0.145901639","4.692307692","4.066666667","60.6557377","19.23076923","22.82051282","35.8974359","58.71794872"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00014","","","","30","26","3","1","9","3","2","26","40","6","18.2","0.28","9","6","7","6","4","2","1.65","18.48","27.48","0.455","1.538461538","1.333333333","0.710769231","0.616","0.346153846","0.3","67.2489083","86.66666667","20.22222222","20.53333333","10","30.53333333","46","0.046666667","0.40173913","1.769230769","1.533333333","86.95652174","23.33333333","23.69230769","11.53846154","35.23076923"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00015","","","","30","26","3","1","9","3","2","26","103","74","23","4.5","25","4","4","3","3","4","1.65","27.5","52.5","0.223300971","3.961538462","3.433333333","1.057692308","0.916666667","0.961538462","0.833333333","52.38095238","86.66666667","25.55555556","30.55555556","27.77777778","58.33333333","177","0.060810811","0.155367232","6.807692308","5.9","58.1920904","29.48717949","35.25641026","32.05128205","67.30769231"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00016","","","","30","28","3","1","8","3","2","28","90","21","25","1.2","18","5","7","2","3","3","0.15","26.2","44.2","0.277777778","3.214285714","3","0.935714286","0.873333333","0.642857143","0.6","59.2760181","93.33333333","27.77777778","29.11111111","20","49.11111111","111","0.057142857","0.236036036","3.964285714","3.7","81.08108108","29.76190476","31.19047619","21.42857143","52.61904762"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00017","","","","30","29","2","1","9","2","2","29","123","32","24","1.4","37.4","4","5","3","3","2","1.65","25.4","62.8","0.195121951","4.24137931","4.1","0.875862069","0.846666667","1.289655172","1.246666667","40.44585987","96.66666667","26.66666667","28.22222222","41.55555556","69.77777778","155","0.04375","0.163870968","5.344827586","5.166666667","79.35483871","27.5862069","29.1954023","42.98850575","72.18390805"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00018","","","","30","27","2","2","8","3","2","27","53","12","19","0.8","24","6","4","6","3","4","0.15","19.8","43.8","0.358490566","1.962962963","1.766666667","0.733333333","0.66","0.888888889","0.8","45.20547945","90","21.11111111","22","26.66666667","48.66666667","65","0.066666667","0.304615385","2.407407407","2.166666667","81.53846154","23.45679012","24.44444444","29.62962963","54.07407407"
