"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-04988","","","","3","8","1","8","6","2","3","4","0","1","0","1.2","4","3","4","3","2","5.49","1","2.2","4","0.25","","0.25","1.333333333","1.333333333","1.333333333","1.333333333","0.333333333","0.333333333","0.4","0.4","100","45.45454545","100","11.11111111","11.11111111","13.33333333","24.44444444","11.11111111","11.11111111","13.33333333","24.44444444"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-07356","","","","3","8","1","6","5","2","3","4","3","0.3","0.05","0.6","4","3","7","3","1","7.23","0.35","0.95","7","0.075","0.016666667","0.05","2.333333333","2.333333333","1.333333333","1.333333333","0.116666667","0.116666667","0.2","0.2","57.14285714","36.84210526","100","3.333333333","3.888888889","6.666666667","10.55555556","3.333333333","3.888888889","6.666666667","10.55555556"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-00439","","","","3","3","1","9","2","2","3","45","52","9.7","2.6","27.2","3","2","3","3","1","0.12","12.3","39.5","97","0.215555556","0.05","0.126804124","32.33333333","32.33333333","15","15","4.1","4.1","9.066666667","9.066666667","46.39175258","31.13924051","100","107.7777778","136.6666667","302.2222222","438.8888889","107.7777778","136.6666667","302.2222222","438.8888889"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-04196","","","","3","2","2","7","3","2","3","0","0","0","0","0.5","","","","","","","0","0.5","0","","","","0","0","0","0","0","0","0.166666667","0.166666667","","0","100","0","0","5.555555556","5.555555556","0","0","5.555555556","5.555555556"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-04301","","","","3","1","1","9","2","1","3","8","18","3","0.8","17","2","3","2","7","2","0","3.8","20.8","26","0.375","0.044444444","0.146153846","8.666666667","8.666666667","2.666666667","2.666666667","1.266666667","1.266666667","5.666666667","5.666666667","30.76923077","18.26923077","100","33.33333333","42.22222222","188.8888889","231.1111111","33.33333333","42.22222222","188.8888889","231.1111111"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-04325","","","","3","2","1","8","5","2","3","8","1","1.5","0.02","1.9","5","4","4","7","2","0.12","1.52","3.42","9","0.1875","0.02","0.168888889","3","3","2.666666667","2.666666667","0.506666667","0.506666667","0.633333333","0.633333333","88.88888889","44.44444444","100","16.66666667","16.88888889","21.11111111","38","16.66666667","16.88888889","21.11111111","38"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-01565","","","","3","1","1","9","3","2","3","12","8","2.7","0.24","18.1","2","2","2","8","1","0.12","2.94","21.04","20","0.225","0.03","0.147","6.666666667","6.666666667","4","4","0.98","0.98","6.033333333","6.033333333","60","13.97338403","100","30","32.66666667","201.1111111","233.7777778","30","32.66666667","201.1111111","233.7777778"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-08427","","","","3","3","1","9","3","2","3","9","8","8.3","0.35","10","3","5","6","2","1","0","8.65","18.65","17","0.922222222","0.04375","0.508823529","5.666666667","5.666666667","3","3","2.883333333","2.883333333","3.333333333","3.333333333","52.94117647","46.38069705","100","92.22222222","96.11111111","111.1111111","207.2222222","92.22222222","96.11111111","111.1111111","207.2222222"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-10344","","","","3","5","2","7","6","2","3","0","0","0","0","5","","","","","","","0","5","0","","","","0","0","0","0","0","0","1.666666667","1.666666667","","0","100","0","0","55.55555556","55.55555556","0","0","55.55555556","55.55555556"
"","","UGP2018NAM-OT01","","","","","","","","","UGP2018NAM-OT01-06877","","","","3","3","1","9","2","1","2","11","0","10","0","35","9","3","1","3","1","0.02","10","45","11","0.909090909","","0.909090909","5.5","3.666666667","5.5","3.666666667","5","3.333333333","17.5","11.66666667","100","22.22222222","66.66666667","111.1111111","111.1111111","388.8888889","500","166.6666667","166.6666667","583.3333333","750"
