"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01066","","","","10","10","7","5","2","2","4","10","32","23","0.67","1.6","0.5","1.17","2.27","2.77","55","0.069565217","0.0209375","0.041272727","5.5","5.5","2.3","2.3","0.227","0.227","0.05","0.05","41.81818182","81.94945848","100","5.333333333","7.566666667","1.666666667","9.233333333","5.333333333","7.566666667","1.666666667","9.233333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01626","","","","10","10","7","3","2","5","2","10","4","6","0.1","1.5","2.7","0","1.6","4.3","10","0.25","0.025","0.16","1","1","0.6","0.6","0.16","0.16","0.27","0.27","60","37.20930233","100","5","5.333333333","9","14.33333333","5","5.333333333","9","14.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00012","","","","10","10","1","2","1","7","3","10","19","34","0.8","8.2","2.5","3.03","9","11.5","53","0.241176471","0.042105263","0.169811321","5.3","5.3","3.4","3.4","0.9","0.9","0.25","0.25","64.1509434","78.26086957","100","27.33333333","30","8.333333333","38.33333333","27.33333333","30","8.333333333","38.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00034","","","","10","10","1","1","1","4","3","9","66","23","1.5","6","3.9","7.76","7.5","11.4","89","0.260869565","0.022727273","0.084269663","9.888888889","8.9","2.555555556","2.3","0.833333333","0.75","0.433333333","0.39","25.84269663","65.78947368","90","20","25","13","38","22.22222222","27.77777778","14.44444444","42.22222222"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00056","","","","10","10","1","2","1","7","2","10","32","24","1.7","7.4","5.2","7.76","9.1","14.3","56","0.308333333","0.053125","0.1625","5.6","5.6","2.4","2.4","0.91","0.91","0.52","0.52","42.85714286","63.63636364","100","24.66666667","30.33333333","17.33333333","47.66666667","24.66666667","30.33333333","17.33333333","47.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00057","","","","10","10","2","3","2","6","3","9","21","15","0.4","1.6","2","3.76","2","4","36","0.106666667","0.019047619","0.055555556","4","3.6","1.666666667","1.5","0.222222222","0.2","0.222222222","0.2","41.66666667","50","90","5.333333333","6.666666667","6.666666667","13.33333333","5.925925926","7.407407407","7.407407407","14.81481481"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00079","","","","10","10","1","2","1","7","3","10","40","27","1.3","7","3","7.76","8.3","11.3","67","0.259259259","0.0325","0.123880597","6.7","6.7","2.7","2.7","0.83","0.83","0.3","0.3","40.29850746","73.45132743","100","23.33333333","27.66666667","10","37.66666667","23.33333333","27.66666667","10","37.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00101","","","","10","10","1","1","1","7","4","10","7","22","0.48","4.1","7","10.5","4.58","11.58","29","0.186363636","0.068571429","0.157931034","2.9","2.9","2.2","2.2","0.458","0.458","0.7","0.7","75.86206897","39.55094991","100","13.66666667","15.26666667","23.33333333","38.6","13.66666667","15.26666667","23.33333333","38.6"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00124","","","","10","10","2","1","1","7","4","10","12","20","0.4","5.4","2","7.76","5.8","7.8","32","0.27","0.033333333","0.18125","3.2","3.2","2","2","0.58","0.58","0.2","0.2","62.5","74.35897436","100","18","19.33333333","6.666666667","26","18","19.33333333","6.666666667","26"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00146","","","","10","10","1","1","1","7","4","9","20","26","0.8","7","5.8","5.49","7.8","13.6","46","0.269230769","0.04","0.169565217","5.111111111","4.6","2.888888889","2.6","0.866666667","0.78","0.644444444","0.58","56.52173913","57.35294118","90","23.33333333","26","19.33333333","45.33333333","25.92592593","28.88888889","21.48148148","50.37037037"
