"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00001","","","","30","30","2","2","2","8","2","27","25","10","1.08","0.4","0.2","5","6","5","3","5","4","1.48","1.68","0.0432","0.04","35","1.296296296","0.925925926","0.054814815","0.007407407","71.42857143","88.0952381","0.042285714","1.2","1.644444444","0.222222222","1.866666667","1.166666667","0.833333333","0.049333333","0.006666667","90","1.333333333","1.827160494","0.24691358","2.074074074"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00002","","","","30","26","3","2","4","7","2","26","5","5","0.75","0.1","0.5","3","7","3","3","5","4","0.85","1.35","0.15","0.02","10","0.384615385","0.192307692","0.032692308","0.019230769","50","62.96296296","0.085","0.833333333","0.944444444","0.555555556","1.5","0.333333333","0.166666667","0.028333333","0.016666667","86.66666667","0.961538462","1.08974359","0.641025641","1.730769231"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00003","","","","30","30","2","1","2","8","1","29","40","10","6.2","0.6","0.4","8","6","4","2","4","5","6.8","7.2","0.155","0.06","50","1.724137931","1.379310345","0.234482759","0.013793103","80","94.44444444","0.136","6.888888889","7.555555556","0.444444444","8","1.666666667","1.333333333","0.226666667","0.013333333","96.66666667","7.126436782","7.816091954","0.459770115","8.275862069"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00004","","","","30","26","2","1","2","7","2","26","28","2","1.75","0.02","2.4","3","7","2","3","5","3","1.77","4.17","0.0625","0.01","30","1.153846154","1.076923077","0.068076923","0.092307692","93.33333333","42.44604317","0.059","1.944444444","1.966666667","2.666666667","4.633333333","1","0.933333333","0.059","0.08","86.66666667","2.243589744","2.269230769","3.076923077","5.346153846"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00005","","","","30","25","1","1","2","9","1","25","30","0","4.23","0","6.6","3","5","3","3","4","1","4.23","10.83","0.141","","30","1.2","1.2","0.1692","0.264","100","39.05817175","0.141","4.7","4.7","7.333333333","12.03333333","1","1","0.141","0.22","83.33333333","5.64","5.64","8.8","14.44"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00006","","","","30","23","2","1","2","9","2","23","2","22","","1","0.75","5","6","1","3","7","1","","","","0.045454545","24","1.043478261","0.086956522","","0.032608696","8.333333333","","","","","0.833333333","","0.8","0.066666667","","0.025","76.66666667","","","1.086956522",""
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00007","","","","30","24","2","1","2","8","2","24","0","3","0","0.05","0.65","5","8","1","3","7","1","0.05","0.7","","0.016666667","3","0.125","0","0.002083333","0.027083333","0","7.142857143","0.016666667","0","0.055555556","0.722222222","0.777777778","0.1","0","0.001666667","0.021666667","80","0","0.069444444","0.902777778","0.972222222"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00008","","","","30","22","2","2","2","7","2","22","24","0","0.35","0","1.7","5","6","3","2","4","6","0.35","2.05","0.014583333","","24","1.090909091","1.090909091","0.015909091","0.077272727","100","17.07317073","0.014583333","0.388888889","0.388888889","1.888888889","2.277777778","0.8","0.8","0.011666667","0.056666667","73.33333333","0.53030303","0.53030303","2.575757576","3.106060606"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00009","","","","30","25","2","1","2","8","2","25","48","5","3.55","0.12","7.85","8","6","7","6","3","3","3.67","11.52","0.073958333","0.024","53","2.12","1.92","0.1468","0.314","90.56603774","31.85763889","0.069245283","3.944444444","4.077777778","8.722222222","12.8","1.766666667","1.6","0.122333333","0.261666667","83.33333333","4.733333333","4.893333333","10.46666667","15.36"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00010","","","","30","30","2","2","2","8","2","27","7","3","1.05","0.05","4","8","2","3","6","3","6","1.1","5.1","0.15","0.016666667","10","0.37037037","0.259259259","0.040740741","0.148148148","70","21.56862745","0.11","1.166666667","1.222222222","4.444444444","5.666666667","0.333333333","0.233333333","0.036666667","0.133333333","90","1.296296296","1.358024691","4.938271605","6.296296296"
