"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-02061","","","","10","8","2","3","2","2","2","8","3","4","0.6","0.1","3","3","6","1","1","3","6","0.7","3.7","7","0.2","0.025","0.1","0.875","0.7","0.375","0.3","0.0875","0.07","0.375","0.3","42.85714286","18.91891892","80","2","2.333333333","10","12.33333333","2.5","2.916666667","12.5","15.41666667"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00833","","","","10","9","2","2","2","2","3","9","2","4","0.5","0.15","6.7","2","4","1","1","2","4","0.65","7.35","6","0.25","0.0375","0.108333333","0.666666667","0.6","0.222222222","0.2","0.072222222","0.065","0.744444444","0.67","33.33333333","8.843537415","90","1.666666667","2.166666667","22.33333333","24.5","1.851851852","2.407407407","24.81481481","27.22222222"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00001","","","","10","9","5","2","2","3","2","8","9","10","1.75","0.25","2.95","4","6","3","1","8","2","2","4.95","19","0.194444444","0.025","0.105263158","2.375","1.9","1.125","0.9","0.25","0.2","0.36875","0.295","47.36842105","40.4040404","80","5.833333333","6.666666667","9.833333333","16.5","7.291666667","8.333333333","12.29166667","20.625"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00023","","","","10","10","2","3","3","3","2","9","27","4","6.4","0.1","11.4","4","7","3","1","8","1","6.5","17.9","31","0.237037037","0.025","0.209677419","3.444444444","3.1","3","2.7","0.722222222","0.65","1.266666667","1.14","87.09677419","36.31284916","90","21.33333333","21.66666667","38","59.66666667","23.7037037","24.07407407","42.22222222","66.2962963"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00045","","","","10","10","2","4","2","3","2","6","6","4","0.5","0.1","0.7","4","7","4","3","8","5","0.6","1.3","10","0.083333333","0.025","0.06","1.666666667","1","1","0.6","0.1","0.06","0.116666667","0.07","60","46.15384615","60","1.666666667","2","2.333333333","4.333333333","2.777777778","3.333333333","3.888888889","7.222222222"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00067","","","","10","8","2","3","1","3","2","8","20","12","4.45","0.3","4.1","4","7","5","4","8","2","4.75","8.85","32","0.2225","0.025","0.1484375","4","3.2","2.5","2","0.59375","0.475","0.5125","0.41","62.5","53.67231638","80","14.83333333","15.83333333","13.66666667","29.5","18.54166667","19.79166667","17.08333333","36.875"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00090","","","","10","10","2","4","3","4","2","8","12","20","1.55","0.25","0.85","4","7","5","4","8","6","1.8","2.65","32","0.129166667","0.0125","0.05625","4","3.2","1.5","1.2","0.225","0.18","0.10625","0.085","37.5","67.9245283","80","5.166666667","6","2.833333333","8.833333333","6.458333333","7.5","3.541666667","11.04166667"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00112","","","","10","10","1","2","2","3","2","10","7","13","1.2","0.35","2.45","4","7","3","1","8","3","1.55","4","20","0.171428571","0.026923077","0.0775","2","2","0.7","0.7","0.155","0.155","0.245","0.245","35","38.75","100","4","5.166666667","8.166666667","13.33333333","4","5.166666667","8.166666667","13.33333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00134","","","","10","10","1","1","1","3","3","10","28","16","5.15","0.35","11.6","4","7","4","4","8","2","5.5","17.1","44","0.183928571","0.021875","0.125","4.4","4.4","2.8","2.8","0.55","0.55","1.16","1.16","63.63636364","32.16374269","100","17.16666667","18.33333333","38.66666667","57","17.16666667","18.33333333","38.66666667","57"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00156","","","","10","10","2","2","2","3","2","10","11","14","1.8","0.4","5.1","4","7","4","1","8","5","2.2","7.3","25","0.163636364","0.028571429","0.088","2.5","2.5","1.1","1.1","0.22","0.22","0.51","0.51","44","30.1369863","100","6","7.333333333","17","24.33333333","6","7.333333333","17","24.33333333"
