"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00001","","","","54","49","1","1","1","87","28.2","26","1.4","18","2","9","1","8","1.65","29.6","47.6","113","0.324137931","0.053846154","0.261946903","2.306122449","2.092592593","1.775510204","1.611111111","0.604081633","0.548148148","0.367346939","0.333333333","76.99115044","62.18487395","90.74074074","17.40740741","18.27160494","11.11111111","29.38271605","19.18367347","20.13605442","12.24489796","32.38095238"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00002","","","","54","44","1","1","1","58","9.2","84","4","30","2","9","1","2","1.65","13.2","43.2","142","0.15862069","0.047619048","0.092957746","3.227272727","2.62962963","1.318181818","1.074074074","0.3","0.244444444","0.681818182","0.555555556","40.84507042","30.55555556","81.48148148","5.679012346","8.148148148","18.51851852","26.66666667","6.96969697","10","22.72727273","32.72727273"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00003","","","","54","49","1","3","3","97","21.1","77","4.2","20","2","4","1","8","1.65","25.3","45.3","174","0.217525773","0.054545455","0.145402299","3.551020408","3.222222222","1.979591837","1.796296296","0.516326531","0.468518519","0.408163265","0.37037037","55.74712644","55.84988962","90.74074074","13.02469136","15.61728395","12.34567901","27.96296296","14.3537415","17.21088435","13.60544218","30.81632653"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00004","","","","54","50","1","3","1","30","8","53","2.8","27","2","9","1","2","1.65","10.8","37.8","83","0.266666667","0.052830189","0.130120482","1.66","1.537037037","0.6","0.555555556","0.216","0.2","0.54","0.5","36.14457831","28.57142857","92.59259259","4.938271605","6.666666667","16.66666667","23.33333333","5.333333333","7.2","18","25.2"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00005","","","","54","53","1","1","1","80","22","39","3.8","23.4","2","9","1","8","1.65","25.8","49.2","119","0.275","0.097435897","0.216806723","2.245283019","2.203703704","1.509433962","1.481481481","0.486792453","0.477777778","0.441509434","0.433333333","67.22689076","52.43902439","98.14814815","13.58024691","15.92592593","14.44444444","30.37037037","13.83647799","16.22641509","14.71698113","30.94339623"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00006","","","","54","54","1","3","1","33","5.8","64","3.8","33.6","2","9","1","2","1.65","9.6","43.2","97","0.175757576","0.059375","0.098969072","1.796296296","1.796296296","0.611111111","0.611111111","0.177777778","0.177777778","0.622222222","0.622222222","34.02061856","22.22222222","100","3.580246914","5.925925926","20.74074074","26.66666667","3.580246914","5.925925926","20.74074074","26.66666667"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00007","","","","54","53","1","3","1","81","17","78","4.6","23","2","4","1","8","1.65","21.6","44.6","159","0.209876543","0.058974359","0.135849057","3","2.944444444","1.528301887","1.5","0.40754717","0.4","0.433962264","0.425925926","50.94339623","48.43049327","98.14814815","10.49382716","13.33333333","14.19753086","27.5308642","10.6918239","13.58490566","14.46540881","28.05031447"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00008","","","","54","51","1","4","1","68","10.2","45","2.6","25","2","9","1","2","1.65","12.8","37.8","113","0.15","0.057777778","0.113274336","2.215686275","2.092592593","1.333333333","1.259259259","0.250980392","0.237037037","0.490196078","0.462962963","60.17699115","33.86243386","94.44444444","6.296296296","7.901234568","15.43209877","23.33333333","6.666666667","8.366013072","16.33986928","24.70588235"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00009","","","","54","51","1","1","1","102","30.2","65","3.6","25","2","9","1","8","1.65","33.8","58.8","167","0.296078431","0.055384615","0.20239521","3.274509804","3.092592593","2","1.888888889","0.662745098","0.625925926","0.490196078","0.462962963","61.07784431","57.4829932","94.44444444","18.64197531","20.86419753","15.43209877","36.2962963","19.73856209","22.09150327","16.33986928","38.43137255"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00010","","","","54","50","1","1","1","56","8.4","58","2.8","34.5","2","9","1","2","1.65","11.2","45.7","114","0.15","0.048275862","0.098245614","2.28","2.111111111","1.12","1.037037037","0.224","0.207407407","0.69","0.638888889","49.12280702","24.50765864","92.59259259","5.185185185","6.913580247","21.2962963","28.20987654","5.6","7.466666667","23","30.46666667"
