"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00001","","","","54","49","4","2","1","30","6","50","2.4","13.6","3","9","1","8","8.4","22","80","0.2","0.048","0.105","1.632653061","1.481481481","0.612244898","0.555555556","0.171428571","0.155555556","0.27755102","0.251851852","37.5","38.18181818","90.74074074","3.703703704","5.185185185","8.395061728","13.58024691","4.081632653","5.714285714","9.25170068","14.96598639"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00002","","","","54","52","3","4","1","22","5","82","4.4","32.5","2","9","1","2","9.4","41.9","104","0.227272727","0.053658537","0.090384615","2","1.925925926","0.423076923","0.407407407","0.180769231","0.174074074","0.625","0.601851852","21.15384615","22.43436754","96.2962963","3.086419753","5.802469136","20.0617284","25.86419753","3.205128205","6.025641026","20.83333333","26.85897436"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00003","","","","54","50","3","4","1","82","14","77","4.4","28","2","4","6","8","18.4","46.4","159","0.170731707","0.057142857","0.11572327","3.18","2.944444444","1.64","1.518518519","0.368","0.340740741","0.56","0.518518519","51.57232704","39.65517241","92.59259259","8.641975309","11.35802469","17.28395062","28.64197531","9.333333333","12.26666667","18.66666667","30.93333333"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00004","","","","54","52","2","2","1","35","6.8","55","3","23","3","9","4","2","9.8","32.8","90","0.194285714","0.054545455","0.108888889","1.730769231","1.666666667","0.673076923","0.648148148","0.188461538","0.181481481","0.442307692","0.425925926","38.88888889","29.87804878","96.2962963","4.197530864","6.049382716","14.19753086","20.24691358","4.358974359","6.282051282","14.74358974","21.02564103"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00005","","","","54","50","2","4","1","51","16","64","3.8","40","5","9","1","8","19.8","59.8","115","0.31372549","0.059375","0.172173913","2.3","2.12962963","1.02","0.944444444","0.396","0.366666667","0.8","0.740740741","44.34782609","33.11036789","92.59259259","9.87654321","12.22222222","24.69135802","36.91358025","10.66666667","13.2","26.66666667","39.86666667"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00006","","","","54","32","2","5","1","47","13.3","57","2.9","48.8","2","9","1","2","16.2","65","104","0.282978723","0.050877193","0.155769231","3.25","1.925925926","1.46875","0.87037037","0.50625","0.3","1.525","0.903703704","45.19230769","24.92307692","59.25925926","8.209876543","10","30.12345679","40.12345679","13.85416667","16.875","50.83333333","67.70833333"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00007","","","","54","48","1","6","1","161","40.2","93","3.8","40","4","4","7","8","44","84","254","0.249689441","0.040860215","0.173228346","5.291666667","4.703703704","3.354166667","2.981481481","0.916666667","0.814814815","0.833333333","0.740740741","63.38582677","52.38095238","88.88888889","24.81481481","27.16049383","24.69135802","51.85185185","27.91666667","30.55555556","27.77777778","58.33333333"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00008","","","","54","52","1","4","1","76","25.2","65","3.4","44","2","9","1","2","28.6","72.6","141","0.331578947","0.052307692","0.202836879","2.711538462","2.611111111","1.461538462","1.407407407","0.55","0.52962963","0.846153846","0.814814815","53.90070922","39.39393939","96.2962963","15.55555556","17.65432099","27.16049383","44.81481481","16.15384615","18.33333333","28.20512821","46.53846154"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00009","","","","54","45","3","2","1","41","7.2","64","4","8.8","4","9","1","8","11.2","20","105","0.175609756","0.0625","0.106666667","2.333333333","1.944444444","0.911111111","0.759259259","0.248888889","0.207407407","0.195555556","0.162962963","39.04761905","56","83.33333333","4.444444444","6.913580247","5.432098765","12.34567901","5.333333333","8.296296296","6.518518519","14.81481481"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00010","","","","54","48","2","3","1","39","7","27","2.8","20.2","4","9","1","2","9.8","30","66","0.179487179","0.103703704","0.148484848","1.375","1.222222222","0.8125","0.722222222","0.204166667","0.181481481","0.420833333","0.374074074","59.09090909","32.66666667","88.88888889","4.320987654","6.049382716","12.4691358","18.51851852","4.861111111","6.805555556","14.02777778","20.83333333"
