"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00001","","","","3","3","1","1","1","3","3","2","0.68","0.15","1.4","9","2","1","1","0.03","0.83","2.23","5","0.226666667","0.075","0.166","1.666666667","1.666666667","1","1","0.276666667","0.276666667","0.466666667","0.466666667","60","37.21973094","100","7.555555556","9.222222222","15.55555556","24.77777778","7.555555556","9.222222222","15.55555556","24.77777778"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00002","","","","3","3","6","1","7","3","0","13","0","0.44","1","2","2","1","1","0","0.44","1.44","13","","0.033846154","0.033846154","4.333333333","4.333333333","0","0","0.146666667","0.146666667","0.333333333","0.333333333","0","30.55555556","100","0","4.888888889","11.11111111","16","0","4.888888889","11.11111111","16"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00003","","","","3","1","2","2","6","1","2","6","0.24","0.38","0.5","6","2","1","1","0","0.62","1.12","8","0.12","0.063333333","0.0775","8","2.666666667","2","0.666666667","0.62","0.206666667","0.5","0.166666667","25","55.35714286","33.33333333","2.666666667","6.888888889","5.555555556","12.44444444","8","20.66666667","16.66666667","37.33333333"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00004","","","","3","3","1","1","8","3","0","2","0","0.08","3","6","9","1","1","0.03","0.08","3.08","2","","0.04","0.04","0.666666667","0.666666667","0","0","0.026666667","0.026666667","1","1","0","2.597402597","100","0","0.888888889","33.33333333","34.22222222","0","0.888888889","33.33333333","34.22222222"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00005","","","","3","1","1","2","7","1","3","2","0.32","0.04","0.5","2","4","1","1","0.12","0.36","0.86","5","0.106666667","0.02","0.072","5","1.666666667","3","1","0.36","0.12","0.5","0.166666667","60","41.86046512","33.33333333","3.555555556","4","5.555555556","9.555555556","10.66666667","12","16.66666667","28.66666667"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00006","","","","3","3","3","4","8","3","4","7","0.32","0.2","2.4","2","4","1","1","0","0.52","2.92","11","0.08","0.028571429","0.047272727","3.666666667","3.666666667","1.333333333","1.333333333","0.173333333","0.173333333","0.8","0.8","36.36363636","17.80821918","100","3.555555556","5.777777778","26.66666667","32.44444444","3.555555556","5.777777778","26.66666667","32.44444444"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00007","","","","3","0","","","","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00008","","","","3","1","3","2","6","1","0","0","0","0","1.2","","","","","","0","1.2","0","","","","0","0","0","0","0","0","1.2","0.4","","0","33.33333333","0","0","13.33333333","13.33333333","0","0","40","40"
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00009","","","","3","1","3","3","6","","7","5","0.75","0.16","2","3","5","1","1","1.38","0.91","2.91","12","0.107142857","0.032","0.075833333","","4","","2.333333333","","0.303333333","","0.666666667","58.33333333","31.27147766","","8.333333333","10.11111111","22.22222222","32.33333333","","","",""
"","","UGP2012SER-OT01","","","","","","","","","UGP2012SER-OT01-00010","","","","3","1","3","6","6","1","2","1","0.72","0.08","4.6","6","9","1","1","0.03","0.8","5.4","3","0.36","0.08","0.266666667","3","1","2","0.666666667","0.8","0.266666667","4.6","1.533333333","66.66666667","14.81481481","33.33333333","8","8.888888889","51.11111111","60","24","26.66666667","153.3333333","180"
