"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00001","","","","30","29","1","4","6","1","5","19","15","8","3.3","0.3","8","8","3","2","4","3","0.12","3.6","11.6","0.22","0.0375","23","1.210526316","0.766666667","0.789473684","0.5","0.189473684","0.12","0.421052632","0.266666667","65.2173913","31.03448276","63.33333333","0.156521739","3.666666667","4","8.888888889","12.88888889","5.789473684","6.315789474","14.03508772","20.35087719"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00002","","","","30","13","1","2","4","1","3","13","8","7","2","0.24","0.7","6","3","4","5","4","4.41","2.24","2.94","0.25","0.034285714","15","1.153846154","0.5","0.615384615","0.266666667","0.172307692","0.074666667","0.053846154","0.023333333","53.33333333","76.19047619","43.33333333","0.149333333","2.222222222","2.488888889","0.777777778","3.266666667","5.128205128","5.743589744","1.794871795","7.538461538"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00003","","","","30","24","2","4","6","1","3","21","46","12","9.4","0.6","14.6","8","3","8","3","3","0.12","10","24.6","0.204347826","0.05","58","2.761904762","1.933333333","2.19047619","1.533333333","0.476190476","0.333333333","0.695238095","0.486666667","79.31034483","40.6504065","70","0.172413793","10.44444444","11.11111111","16.22222222","27.33333333","14.92063492","15.87301587","23.17460317","39.04761905"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00004","","","","30","17","2","2","6","1","2","7","10","5","3.2","0.04","2.4","6","3","4","4","3","0.12","3.24","5.64","0.32","0.008","15","2.142857143","0.5","1.428571429","0.333333333","0.462857143","0.108","0.342857143","0.08","66.66666667","57.44680851","23.33333333","0.216","3.555555556","3.6","2.666666667","6.266666667","15.23809524","15.42857143","11.42857143","26.85714286"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00005","","","","30","26","2","2","9","1","4","16","99","55","22.1","1.2","28.2","8","3","5","3","2","0","23.3","51.5","0.223232323","0.021818182","154","9.625","5.133333333","6.1875","3.3","1.45625","0.776666667","1.7625","0.94","64.28571429","45.24271845","53.33333333","0.151298701","24.55555556","25.88888889","31.33333333","57.22222222","46.04166667","48.54166667","58.75","107.2916667"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00006","","","","30","20","2","3","8","1","3","20","24","39","5.8","1.18","14.1","2","3","2","3","1","0","6.98","21.08","0.241666667","0.03025641","63","3.15","2.1","1.2","0.8","0.349","0.232666667","0.705","0.47","38.0952381","33.11195446","66.66666667","0.110793651","6.444444444","7.755555556","15.66666667","23.42222222","9.666666667","11.63333333","23.5","35.13333333"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00007","","","","30","16","2","4","8","1","2","6","28","24","3","0.6","10.6","8","5","2","1","1","0","3.6","14.2","0.107142857","0.025","52","8.666666667","1.733333333","4.666666667","0.933333333","0.6","0.12","1.766666667","0.353333333","53.84615385","25.35211268","20","0.069230769","3.333333333","4","11.77777778","15.77777778","16.66666667","20","58.88888889","78.88888889"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00008","","","","30","6","2","2","6","1","2","2","0","0","0","0","2.1","","","","","","","0","2.1","","","0","0","0","0","0","0","0","1.05","0.07","","0","6.666666667","","0","0","2.333333333","2.333333333","0","0","35","35"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00009","","","","30","16","2","4","4","2","3","16","17","11","2.7","0.36","1.9","6","3","2","3","4","0","3.06","4.96","0.158823529","0.032727273","28","1.75","0.933333333","1.0625","0.566666667","0.19125","0.102","0.11875","0.063333333","60.71428571","61.69354839","53.33333333","0.109285714","3","3.4","2.111111111","5.511111111","5.625","6.375","3.958333333","10.33333333"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00010","","","","30","24","2","2","2","2","2","14","12","65","1.3","0.8","2.6","2","7","4","2","1","0","2.1","4.7","0.108333333","0.012307692","77","5.5","2.566666667","0.857142857","0.4","0.15","0.07","0.185714286","0.086666667","15.58441558","44.68085106","46.66666667","0.027272727","1.444444444","2.333333333","2.888888889","5.222222222","3.095238095","5","6.19047619","11.19047619"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00011","","","","30","14","2","3","6","1","2","12","10","10","2.5","0.2","6.8","8","3","1","1","1","1.38","2.7","9.5","0.25","0.02","20","1.666666667","0.666666667","0.833333333","0.333333333","0.225","0.09","0.566666667","0.226666667","50","28.42105263","40","0.135","2.777777778","3","7.555555556","10.55555556","6.944444444","7.5","18.88888889","26.38888889"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00012","","","","30","13","1","3","3","1","4","13","28","7","6.3","0.18","1.8","2","3","4","3","5","0.15","6.48","8.28","0.225","0.025714286","35","2.692307692","1.166666667","2.153846154","0.933333333","0.498461538","0.216","0.138461538","0.06","80","78.26086957","43.33333333","0.185142857","7","7.2","2","9.2","16.15384615","16.61538462","4.615384615","21.23076923"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00014","","","","30","16","2","5","6","1","2","16","34","18","4.7","0.28","7.7","6","3","4","2","3","0.12","4.98","12.68","0.138235294","0.015555556","52","3.25","1.733333333","2.125","1.133333333","0.31125","0.166","0.48125","0.256666667","65.38461538","39.27444795","53.33333333","0.095769231","5.222222222","5.533333333","8.555555556","14.08888889","9.791666667","10.375","16.04166667","26.41666667"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00015","","","","30","18","2","5","4","2","2","18","17","16","2.8","0.24","4.5","8","3","3","2","2","3.96","3.04","7.54","0.164705882","0.015","33","1.833333333","1.1","0.944444444","0.566666667","0.168888889","0.101333333","0.25","0.15","51.51515152","40.31830239","60","0.092121212","3.111111111","3.377777778","5","8.377777778","5.185185185","5.62962963","8.333333333","13.96296296"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00016","","","","30","23","1","3","6","1","5","13","20","11","8","0.3","9.2","2","3","1","3","2","0","8.3","17.5","0.4","0.027272727","31","2.384615385","1.033333333","1.538461538","0.666666667","0.638461538","0.276666667","0.707692308","0.306666667","64.51612903","47.42857143","43.33333333","0.267741935","8.888888889","9.222222222","10.22222222","19.44444444","20.51282051","21.28205128","23.58974359","44.87179487"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00017","","","","30","16","2","2","7","2","2","16","30","7","1","0.32","4.6","8","1","5","5","5","0.02","1.32","5.92","0.033333333","0.045714286","37","2.3125","1.233333333","1.875","1","0.0825","0.044","0.2875","0.153333333","81.08108108","22.2972973","53.33333333","0.035675676","1.111111111","1.466666667","5.111111111","6.577777778","2.083333333","2.75","9.583333333","12.33333333"
