"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00005","","","","5","5","2","1","8","2","1","","5","","","0.16","8.6","2","1","1","9","9","0","","","","","","","","","1","","","","1.72","","","","","","","57.33333333","","","","",""
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00007","","","","5","4","2","1","6","2","1","1","","0","0.1","0","1.6","2","1","2","4","5","0.12","0.1","1.7","","","","","","","","0.1","0.02","1.6","0.32","","5.882352941","20","","0.666666667","0.666666667","10.66666667","11.33333333","3.333333333","3.333333333","53.33333333","56.66666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00008","","","","5","2","2","2","4","1","2","","1","0","0.12","0","2","2","1","3","4","5","0.12","0.12","2.12","0.12","","1","","0.2","","0.2","","0.024","","0.4","100","5.660377358","","0.12","0.8","0.8","13.33333333","14.13333333","","","",""
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00013","","","","5","4","2","2","9","2","2","4","","0","2.08","0","17.5","2","1","2","4","1","0","2.08","19.58","","","","","","","","0.52","0.416","4.375","3.5","","10.62308478","80","","13.86666667","13.86666667","116.6666667","130.5333333","17.33333333","17.33333333","145.8333333","163.1666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00015","","","","5","1","1","2","8","2","1","1","1","1","0.84","0.02","4.9","2","1","2","7","3","0.12","0.86","5.76","0.84","0.02","2","2","0.4","1","0.2","0.86","0.172","4.9","0.98","50","14.93055556","20","0.43","5.6","5.733333333","32.66666667","38.4","28","28.66666667","163.3333333","192"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00016","","","","5","2","1","2","7","2","2","2","","0","0.3","0","1.6","2","1","1","4","3","0.12","0.3","1.9","","","","","","","","0.15","0.06","0.8","0.32","","15.78947368","40","","2","2","10.66666667","12.66666667","5","5","26.66666667","31.66666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00018","","","","5","2","1","2","7","2","2","2","","0","1.44","0","1.5","2","1","1","1","1","0.12","1.44","2.94","","","","","","","","0.72","0.288","0.75","0.3","","48.97959184","40","","9.6","9.6","10","19.6","24","24","25","49"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00019","","","","5","2","1","2","8","1","2","2","","0","0.44","0","4.5","2","1","1","2","3","0.12","0.44","4.94","","","","","","","","0.22","0.088","2.25","0.9","","8.906882591","40","","2.933333333","2.933333333","30","32.93333333","7.333333333","7.333333333","75","82.33333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00020","","","","5","2","","2","4","","2","2","2","2","0.34","0.08","0.6","2","1","2","6","3","0","0.42","1.02","0.17","0.04","4","2","0.8","1","0.4","0.21","0.084","0.3","0.12","50","41.17647059","40","0.105","2.266666667","2.8","4","6.8","5.666666667","7","10","17"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00021","","","","5","4","1","3","9","1","2","3","","0","1.18","0","6.8","2","1","2","4","3","0.12","1.18","7.98","","","","","","","","0.393333333","0.236","2.266666667","1.36","","14.78696742","60","","7.866666667","7.866666667","45.33333333","53.2","13.11111111","13.11111111","75.55555556","88.66666667"
