"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00001","","","","30","28","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00002","","","","30","27","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00003","","","","30","26","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00004","","","","30","24","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00005","","","","30","26","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00006","","","","30","28","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00007","","","","30","26","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00008","","","","30","30","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00009","","","","30","24","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00010","","","","30","23","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00011","","","","30","20","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00012","","","","30","10","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00013","","","","30","19","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00014","","","","30","26","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00015","","","","30","26","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00016","","","","30","16","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00017","","","","30","22","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00018","","","","30","23","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00019","","","","30","19","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00020","","","","30","14","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
