"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00001","","","","3","3","1","2","5","1","2","2","4","2","1.6","0.8","0.1","2","2","1","6","1","0","2.4","2.5","6","0.4","0.4","0.4","3","2","2","1.333333333","1.2","0.8","0.05","0.033333333","66.66666667","96","66.66666667","17.77777778","26.66666667","1.111111111","27.77777778","26.66666667","40","1.666666667","41.66666667"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00002","","","","3","3","2","3","8","1","2","3","5","0","1.5","0","1.8","2","1","1","7","1","0","1.5","3.3","5","0.3","","0.3","1.666666667","1.666666667","1.666666667","1.666666667","0.5","0.5","0.6","0.6","100","45.45454545","100","16.66666667","16.66666667","20","36.66666667","16.66666667","16.66666667","20","36.66666667"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00003","","","","3","2","1","2","7","1","2","2","4","0","0.5","0","0.5","6","3","1","4","3","0.15","0.5","1","4","0.125","","0.125","2","1.333333333","2","1.333333333","0.25","0.166666667","0.25","0.166666667","100","50","66.66666667","5.555555556","5.555555556","5.555555556","11.11111111","8.333333333","8.333333333","8.333333333","16.66666667"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00004","","","","3","3","3","5","6","1","2","3","2","3","0.2","0.06","2.7","2","1","1","3","5","0","0.26","2.96","5","0.1","0.02","0.052","1.666666667","1.666666667","0.666666667","0.666666667","0.086666667","0.086666667","0.9","0.9","40","8.783783784","100","2.222222222","2.888888889","30","32.88888889","2.222222222","2.888888889","30","32.88888889"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00005","","","","3","3","2","4","8","1","2","3","9","3","3","0.1","3","6","4","3","3","1","0","3.1","6.1","12","0.333333333","0.033333333","0.258333333","4","4","3","3","1.033333333","1.033333333","1","1","75","50.81967213","100","33.33333333","34.44444444","33.33333333","67.77777778","33.33333333","34.44444444","33.33333333","67.77777778"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00006","","","","3","2","1","2","8","1","2","2","4","7","0.48","0.1","0.8","8","2","2","4","5","1.74","0.58","1.38","11","0.12","0.014285714","0.052727273","5.5","3.666666667","2","1.333333333","0.29","0.193333333","0.4","0.266666667","36.36363636","42.02898551","66.66666667","5.333333333","6.444444444","8.888888889","15.33333333","8","9.666666667","13.33333333","23"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00007","","","","3","2","3","6","7","1","2","2","2","0","0.24","0","1.5","2","2","2","7","5","0.02","0.24","1.74","2","0.12","","0.12","1","0.666666667","1","0.666666667","0.12","0.08","0.75","0.5","100","13.79310345","66.66666667","2.666666667","2.666666667","16.66666667","19.33333333","4","4","25","29"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00008","","","","3","3","2","3","7","1","2","1","0","3","0","0.1","0.3","5","4","2","3","9","1.65","0.1","0.4","3","","0.033333333","0.033333333","3","1","0","0","0.1","0.033333333","0.3","0.1","0","25","33.33333333","0","1.111111111","3.333333333","4.444444444","0","3.333333333","10","13.33333333"
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00009","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2014NAM-OT02","","","","","","","","","UGP2014NAM-OT02-00010","","","","3","2","1","2","6","1","2","1","4","7","1.1","0.12","0.6","5","2","2","7","1","4.41","1.22","1.82","11","0.275","0.017142857","0.110909091","11","3.666666667","4","1.333333333","1.22","0.406666667","0.6","0.2","36.36363636","67.03296703","33.33333333","12.22222222","13.55555556","6.666666667","20.22222222","36.66666667","40.66666667","20","60.66666667"
