"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00001","","","","30","28","2","3","8","1","2","25","20","2","3.2","0.04","5.5","2","2","1","2","3","0.15","3.24","8.74","22","0.16","0.02","0.147272727","0.88","0.733333333","0.8","0.666666667","0.1296","0.108","0.22","0.183333333","90.90909091","37.07093822","83.33333333","3.555555556","3.6","6.111111111","9.711111111","4.266666667","4.32","7.333333333","11.65333333"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00002","","","","30","25","3","3","5","2","3","20","1","3","0.06","0.08","1","2","1","1","2","9","0.12","0.14","1.14","4","0.06","0.026666667","0.035","0.2","0.133333333","0.05","0.033333333","0.007","0.004666667","0.05","0.033333333","25","12.28070175","66.66666667","0.066666667","0.155555556","1.111111111","1.266666667","0.1","0.233333333","1.666666667","1.9"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00003","","","","30","28","2","2","6","1","4","21","0","0","0","0","1.6","","","","","","","0","1.6","0","","","","0","0","0","0","0","0","0.076190476","0.053333333","","0","70","0","0","1.777777778","1.777777778","0","0","2.53968254","2.53968254"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00004","","","","30","26","3","4","5","2","6","24","6","7","0.34","0.12","2.2","9","3","1","3","7","0","0.46","2.66","13","0.056666667","0.017142857","0.035384615","0.541666667","0.433333333","0.25","0.2","0.019166667","0.015333333","0.091666667","0.073333333","46.15384615","17.29323308","80","0.377777778","0.511111111","2.444444444","2.955555556","0.472222222","0.638888889","3.055555556","3.694444444"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00005","","","","30","24","3","3","7","2","2","18","1","0","0.08","0","2.4","5","1","1","2","7","0","0.08","2.48","1","0.08","","0.08","0.055555556","0.033333333","0.055555556","0.033333333","0.004444444","0.002666667","0.133333333","0.08","100","3.225806452","60","0.088888889","0.088888889","2.666666667","2.755555556","0.148148148","0.148148148","4.444444444","4.592592593"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00006","","","","30","20","3","3","6","2","3","18","6","5","0.52","0.1","1.2","9","3","1","3","7","0","0.62","1.82","11","0.086666667","0.02","0.056363636","0.611111111","0.366666667","0.333333333","0.2","0.034444444","0.020666667","0.066666667","0.04","54.54545455","34.06593407","60","0.577777778","0.688888889","1.333333333","2.022222222","0.962962963","1.148148148","2.222222222","3.37037037"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00007","","","","30","23","2","3","6","2","3","19","6","20","0.4","0.24","1.3","2","1","2","2","7","0","0.64","1.94","26","0.066666667","0.012","0.024615385","1.368421053","0.866666667","0.315789474","0.2","0.033684211","0.021333333","0.068421053","0.043333333","23.07692308","32.98969072","63.33333333","0.444444444","0.711111111","1.444444444","2.155555556","0.701754386","1.122807018","2.280701754","3.403508772"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00008","","","","30","26","3","3","6","2","3","22","39","15","4.8","0.21","4.1","2","3","2","3","5","0.12","5.01","9.11","54","0.123076923","0.014","0.092777778","2.454545455","1.8","1.772727273","1.3","0.227727273","0.167","0.186363636","0.136666667","72.22222222","54.99451153","73.33333333","5.333333333","5.566666667","4.555555556","10.12222222","7.272727273","7.590909091","6.212121212","13.8030303"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00009","","","","30","30","3","4","8","2","3","23","8","7","0.72","0.12","7.5","5","2","1","6","7","0.12","0.84","8.34","15","0.09","0.017142857","0.056","0.652173913","0.5","0.347826087","0.266666667","0.036521739","0.028","0.326086957","0.25","53.33333333","10.07194245","76.66666667","0.8","0.933333333","8.333333333","9.266666667","1.043478261","1.217391304","10.86956522","12.08695652"
"","","UGP2014NAM-PT04","","","","","","","","","UGP2014NAM-PT04-00010","","","","30","30","2","3","6","1","4","24","33","13","4","0.28","3","6","3","1","3","5","0.12","4.28","7.28","46","0.121212121","0.021538462","0.093043478","1.916666667","1.533333333","1.375","1.1","0.178333333","0.142666667","0.125","0.1","71.73913043","58.79120879","80","4.444444444","4.755555556","3.333333333","8.088888889","5.555555556","5.944444444","4.166666667","10.11111111"
