"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00001","","","","5","5","3","4","5","2","3","3","4","11","0.32","0.16","0.32","5","1","2","3","5","0.12","0.48","0.8","0.08","0.014545455","15","5","3","1.333333333","0.8","0.16","0.096","0.106666667","0.064","26.66666667","60","60","0.032","2.133333333","3.2","2.133333333","5.333333333","3.555555556","5.333333333","3.555555556","8.888888889"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00002","","","","5","4","3","5","5","2","2","2","0","2","0","0.05","0.12","3","1","1","9","9","0.15","0.05","0.17","","0.025","2","1","0.4","0","0","0.025","0.01","0.06","0.024","0","29.41176471","40","0.025","0","0.333333333","0.8","1.133333333","0","0.833333333","2","2.833333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00003","","","","5","5","4","7","4","2","2","2","0","0","0","0","0.04","","","","","","","0","0.04","","","0","0","0","0","0","0","0","0.02","0.008","","0","40","","0","0","0.266666667","0.266666667","0","0","0.666666667","0.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00004","","","","5","5","4","6","5","1","2","2","0","0","0","0","0.08","","","","","","","0","0.08","","","0","0","0","0","0","0","0","0.04","0.016","","0","40","","0","0","0.533333333","0.533333333","0","0","1.333333333","1.333333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00005","","","","5","4","2","2","5","1","3","3","0","1","0","0.04","0.2","2","1","1","2","9","0","0.04","0.24","","0.04","1","0.333333333","0.2","0","0","0.013333333","0.008","0.066666667","0.04","0","16.66666667","60","0.04","0","0.266666667","1.333333333","1.6","0","0.444444444","2.222222222","2.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00006","","","","5","4","2","2","4","4","3","2","0","0","0","0","0.09","","","","","","","0","0.09","","","0","0","0","0","0","0","0","0.045","0.018","","0","40","","0","0","0.6","0.6","0","0","1.5","1.5"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00007","","","","5","4","3","3","6","2","5","3","","","1","0.04","0.08","2","2","1","3","9","0.12","1.04","1.12","","","","","","","","0.346666667","0.208","0.026666667","0.016","","92.85714286","60","","6.666666667","6.933333333","0.533333333","7.466666667","11.11111111","11.55555556","0.888888889","12.44444444"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00008","","","","5","4","4","5","4","2","2","4","0","0","0","0","0.68","","","","","","","0","0.68","","","0","0","0","0","0","0","0","0.17","0.136","","0","80","","0","0","4.533333333","4.533333333","0","0","5.666666667","5.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00009","","","","5","4","2","2","4","1","5","3","0","3","0","0.01","0.04","2","2","1","3","9","0.12","0.01","0.05","","0.003333333","3","1","0.6","0","0","0.003333333","0.002","0.013333333","0.008","0","20","60","0.003333333","0","0.066666667","0.266666667","0.333333333","0","0.111111111","0.444444444","0.555555556"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00010","","","","5","5","3","5","5","1","4","5","5","9","0.2","0.08","0.05","5","2","3","2","7","0","0.28","0.33","0.04","0.008888889","14","2.8","2.8","1","1","0.056","0.056","0.01","0.01","35.71428571","84.84848485","100","0.02","1.333333333","1.866666667","0.333333333","2.2","1.333333333","1.866666667","0.333333333","2.2"
