"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00001","","","","30","22","1","2","9","1","2","16","22","4","11","0.1","67.1","5","3","4","2","2","0.12","11.1","78.2","26","0.5","0.025","0.426923077","1.625","0.866666667","1.375","0.733333333","0.69375","0.37","4.19375","2.236666667","84.61538462","14.1943734","53.33333333","12.22222222","12.33333333","74.55555556","86.88888889","22.91666667","23.125","139.7916667","162.9166667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00002","","","","30","9","2","4","6","1","3","4","0","0","0","0","1.7","","","","","","","0","1.7","0","","","","0","0","0","0","0","0","0.425","0.056666667","","0","13.33333333","0","0","1.888888889","1.888888889","0","0","14.16666667","14.16666667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00003","","","","30","12","1","6","4","1","2","8","1","0","0.09","0","1","2","5","4","1","1","0.12","0.09","1.09","1","0.09","","0.09","0.125","0.033333333","0.125","0.033333333","0.01125","0.003","0.125","0.033333333","100","8.256880734","26.66666667","0.1","0.1","1.111111111","1.211111111","0.375","0.375","4.166666667","4.541666667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00004","","","","30","19","1","4","8","1","3","13","72","32","14.2","1","27.5","9","3","2","4","2","0","15.2","42.7","104","0.197222222","0.03125","0.146153846","8","3.466666667","5.538461538","2.4","1.169230769","0.506666667","2.115384615","0.916666667","69.23076923","35.5971897","43.33333333","15.77777778","16.88888889","30.55555556","47.44444444","36.41025641","38.97435897","70.51282051","109.4871795"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00005","","","","30","7","3","6","9","1","2","7","3","3","0.64","0.06","19.5","6","3","1","1","1","0","0.7","20.2","6","0.213333333","0.02","0.116666667","0.857142857","0.2","0.428571429","0.1","0.1","0.023333333","2.785714286","0.65","50","3.465346535","23.33333333","0.711111111","0.777777778","21.66666667","22.44444444","3.047619048","3.333333333","92.85714286","96.19047619"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00006","","","","30","9","1","5","7","1","4","9","13","4","4","0.15","4.5","8","3","9","1","1","0.12","4.15","8.65","17","0.307692308","0.0375","0.244117647","1.888888889","0.566666667","1.444444444","0.433333333","0.461111111","0.138333333","0.5","0.15","76.47058824","47.97687861","30","4.444444444","4.611111111","5","9.611111111","14.81481481","15.37037037","16.66666667","32.03703704"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00007","","","","30","13","1","6","9","1","2","13","53","26","5.5","0.4","20","2","5","1","1","2","0.12","5.9","25.9","79","0.103773585","0.015384615","0.074683544","6.076923077","2.633333333","4.076923077","1.766666667","0.453846154","0.196666667","1.538461538","0.666666667","67.08860759","22.77992278","43.33333333","6.111111111","6.555555556","22.22222222","28.77777778","14.1025641","15.12820513","51.28205128","66.41025641"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00008","","","","30","17","1","3","8","1","2","17","55","17","15.2","0.24","19.5","2","3","1","3","2","0.12","15.44","34.94","72","0.276363636","0.014117647","0.214444444","4.235294118","2.4","3.235294118","1.833333333","0.908235294","0.514666667","1.147058824","0.65","76.38888889","44.19004007","56.66666667","16.88888889","17.15555556","21.66666667","38.82222222","29.80392157","30.2745098","38.23529412","68.50980392"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00009","","","","30","10","3","5","9","1","2","10","26","30","2.5","0.32","26","8","5","2","1","1","0.12","2.82","28.82","56","0.096153846","0.010666667","0.050357143","5.6","1.866666667","2.6","0.866666667","0.282","0.094","2.6","0.866666667","46.42857143","9.784871617","33.33333333","2.777777778","3.133333333","28.88888889","32.02222222","8.333333333","9.4","86.66666667","96.06666667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00010","","","","30","4","1","5","7","1","3","4","8","10","1.5","0.12","2.5","6","3","4","1","3","0.12","1.62","4.12","18","0.1875","0.012","0.09","4.5","0.6","2","0.266666667","0.405","0.054","0.625","0.083333333","44.44444444","39.32038835","13.33333333","1.666666667","1.8","2.777777778","4.577777778","12.5","13.5","20.83333333","34.33333333"
