"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00001","","","","30","0","","","","","","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00002","","","","30","19","1","1","9","1","1","10","","6","5","4.1","0.08","28.2","2","1","5","3","2","0.12","4.18","32.38","0.683333333","0.016","11","1.1","0.366666667","0.6","0.2","0.418","0.139333333","2.82","0.94","54.54545455","12.90920321","33.33333333","0.38","4.555555556","4.644444444","31.33333333","35.97777778","13.66666667","13.93333333","94","107.9333333"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00003","","","","30","12","1","2","8","1","2","5","","0","1","0","0.02","16","6","9","6","1","1","0.12","0.02","16.02","","0.02","1","0.2","0.033333333","0","0","0.004","0.000666667","3.2","0.533333333","0","0.124843945","16.66666667","0.02","0","0.022222222","17.77777778","17.8","0","0.133333333","106.6666667","106.8"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00004","","","","30","20","1","3","9","1","1","12","","6","9","1.6","0.24","31","8","3","3","1","1","0","1.84","32.84","0.266666667","0.026666667","15","1.25","0.5","0.5","0.2","0.153333333","0.061333333","2.583333333","1.033333333","40","5.602923264","40","0.122666667","1.777777778","2.044444444","34.44444444","36.48888889","4.444444444","5.111111111","86.11111111","91.22222222"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00005","","","","30","18","1","3","9","1","1","14","0","0","0","0","0","33","","","","","","","0","33","","","0","0","0","0","0","0","0","2.357142857","1.1","","0","46.66666667","","0","0","36.66666667","36.66666667","0","0","78.57142857","78.57142857"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00006","","","","30","21","1","1","6","2","2","10","","15","0","7","0","20","9","3","9","2","1","0","7","27","0.466666667","","15","1.5","0.5","1.5","0.5","0.7","0.233333333","2","0.666666667","100","25.92592593","33.33333333","0.466666667","7.777777778","7.777777778","22.22222222","30","23.33333333","23.33333333","66.66666667","90"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00007","","","","30","9","2","2","3","1","2","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00008","","","","30","18","1","2","5","1","2","5","","1","0","0.08","0","1.7","2","7","9","2","2","0.12","0.08","1.78","0.08","","1","0.2","0.033333333","0.2","0.033333333","0.016","0.002666667","0.34","0.056666667","100","4.494382022","16.66666667","0.08","0.088888889","0.088888889","1.888888889","1.977777778","0.533333333","0.533333333","11.33333333","11.86666667"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00009","","","","30","6","1","2","5","1","2","2","0","0","0","0","0","0.5","","","","","","","0","0.5","","","0","0","0","0","0","0","0","0.25","0.016666667","","0","6.666666667","","0","0","0.555555556","0.555555556","0","0","8.333333333","8.333333333"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00010","","","","30","15","1","2","5","1","2","5","","2","2","0.48","0.1","0.7","9","3","1","2","1","0","0.58","1.28","0.24","0.05","4","0.8","0.133333333","0.4","0.066666667","0.116","0.019333333","0.14","0.023333333","50","45.3125","16.66666667","0.145","0.533333333","0.644444444","0.777777778","1.422222222","3.2","3.866666667","4.666666667","8.533333333"
