"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00001","","","","30","21","2","2","9","1","2","9","23","5","16.2","0.2","50","9","1","1","2","1","0.12","16.4","66.4","0.704347826","0.04","28","3.111111111","0.933333333","2.555555556","0.766666667","1.822222222","0.546666667","5.555555556","1.666666667","82.14285714","24.69879518","30","0.585714286","18","18.22222222","55.55555556","73.77777778","60","60.74074074","185.1851852","245.9259259"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00002","","","","30","12","2","3","7","1","2","4","9","2","10","0.1","0.2","9","3","8","2","1","0.02","10.1","10.3","1.111111111","0.05","11","2.75","0.366666667","2.25","0.3","2.525","0.336666667","0.05","0.006666667","81.81818182","98.05825243","13.33333333","0.918181818","11.11111111","11.22222222","0.222222222","11.44444444","83.33333333","84.16666667","1.666666667","85.83333333"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00003","","","","30","20","3","4","9","2","6","12","39","3","3.1","0.06","24","8","1","3","3","1","0","3.16","27.16","0.079487179","0.02","42","3.5","1.4","3.25","1.3","0.263333333","0.105333333","2","0.8","92.85714286","11.634757","40","0.075238095","3.444444444","3.511111111","26.66666667","30.17777778","8.611111111","8.777777778","66.66666667","75.44444444"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00004","","","","30","9","4","5","7","2","2","2","4","1","2","0.02","4.2","8","1","3","4","1","0","2.02","6.22","0.5","0.02","5","2.5","0.166666667","2","0.133333333","1.01","0.067333333","2.1","0.14","80","32.47588424","6.666666667","0.404","2.222222222","2.244444444","4.666666667","6.911111111","33.33333333","33.66666667","70","103.6666667"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00005","","","","30","17","3","7","8","1","2","6","39","7","8.2","0.4","4.7","2","3","1","4","2","0.12","8.6","13.3","0.21025641","0.057142857","46","7.666666667","1.533333333","6.5","1.3","1.433333333","0.286666667","0.783333333","0.156666667","84.7826087","64.66165414","20","0.186956522","9.111111111","9.555555556","5.222222222","14.77777778","45.55555556","47.77777778","26.11111111","73.88888889"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00006","","","","30","21","1","2","9","1","2","17","16","47","3","0.7","63","9","3","3","1","1","0","3.7","66.7","0.1875","0.014893617","63","3.705882353","2.1","0.941176471","0.533333333","0.217647059","0.123333333","3.705882353","2.1","25.3968254","5.547226387","56.66666667","0.058730159","3.333333333","4.111111111","70","74.11111111","5.882352941","7.254901961","123.5294118","130.7843137"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00007","","","","30","19","3","4","7","1","3","13","15","5","6.7","0.2","6.7","9","3","2","4","2","0","6.9","13.6","0.446666667","0.04","20","1.538461538","0.666666667","1.153846154","0.5","0.530769231","0.23","0.515384615","0.223333333","75","50.73529412","43.33333333","0.345","7.444444444","7.666666667","7.444444444","15.11111111","17.17948718","17.69230769","17.17948718","34.87179487"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00008","","","","30","28","2","2","8","1","6","23","2","6","4.8","0.05","6","2","1","3","6","1","0","4.85","10.85","2.4","0.008333333","8","0.347826087","0.266666667","0.086956522","0.066666667","0.210869565","0.161666667","0.260869565","0.2","25","44.70046083","76.66666667","0.60625","5.333333333","5.388888889","6.666666667","12.05555556","6.956521739","7.028985507","8.695652174","15.72463768"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00009","","","","30","20","1","2","9","2","2","10","2","2","6.2","0.01","23","2","3","8","1","1","0","6.21","29.21","3.1","0.005","4","0.4","0.133333333","0.2","0.066666667","0.621","0.207","2.3","0.766666667","50","21.25984252","33.33333333","1.5525","6.888888889","6.9","25.55555556","32.45555556","20.66666667","20.7","76.66666667","97.36666667"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00010","","","","30","24","2","2","7","3","4","16","20","11","7.2","0.2","22","2","3","8","2","1","7.76","7.4","29.4","0.36","0.018181818","31","1.9375","1.033333333","1.25","0.666666667","0.4625","0.246666667","1.375","0.733333333","64.51612903","25.17006803","53.33333333","0.238709677","8","8.222222222","24.44444444","32.66666667","15","15.41666667","45.83333333","61.25"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00011","","","","30","14","1","1","6","1","1","4","15","3","5","0.06","20","","3","2","3","2","","5.06","25.06","0.333333333","0.02","18","4.5","0.6","3.75","0.5","1.265","0.168666667","5","0.666666667","83.33333333","20.1915403","13.33333333","0.281111111","5.555555556","5.622222222","22.22222222","27.84444444","41.66666667","42.16666667","166.6666667","208.8333333"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00012","","","","30","19","1","2","5","1","2","10","52","42","9.1","1.2","2.8","8","3","3","3","1","4.61","10.3","13.1","0.175","0.028571429","94","9.4","3.133333333","5.2","1.733333333","1.03","0.343333333","0.28","0.093333333","55.31914894","78.6259542","33.33333333","0.109574468","10.11111111","11.44444444","3.111111111","14.55555556","30.33333333","34.33333333","9.333333333","43.66666667"
