"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00001","","","","30","28","2","3","7","1","2","27","2","1","0.12","0.4","33.8","6","5","1","1","7","0","0.52","34.32","0.06","0.4","3","0.111111111","0.1","0.074074074","0.066666667","0.019259259","0.017333333","1.251851852","1.126666667","66.66666667","1.515151515","90","0.173333333","0.133333333","0.577777778","37.55555556","38.13333333","0.148148148","0.641975309","41.72839506","42.37037037"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00002","","","","30","27","2","3","7","1","4","25","18","0","5.3","0","21.5","2","5","2","1","1","0.02","5.3","26.8","0.294444444","","18","0.72","0.6","0.72","0.6","0.212","0.176666667","0.86","0.716666667","100","19.7761194","83.33333333","0.294444444","5.888888889","5.888888889","23.88888889","29.77777778","7.066666667","7.066666667","28.66666667","35.73333333"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00003","","","","30","29","2","4","8","1","2","27","15","5","6.4","0.2","51.2","6","4","3","5","3","0.02","6.6","57.8","0.426666667","0.04","20","0.740740741","0.666666667","0.555555556","0.5","0.244444444","0.22","1.896296296","1.706666667","75","11.41868512","90","0.33","7.111111111","7.333333333","56.88888889","64.22222222","7.901234568","8.148148148","63.20987654","71.35802469"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00004","","","","30","26","2","2","8","2","2","26","7","18","2.5","0.6","26.8","2","5","6","4","5","0","3.1","29.9","0.357142857","0.033333333","25","0.961538462","0.833333333","0.269230769","0.233333333","0.119230769","0.103333333","1.030769231","0.893333333","28","10.36789298","86.66666667","0.124","2.777777778","3.444444444","29.77777778","33.22222222","3.205128205","3.974358974","34.35897436","38.33333333"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00005","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00006","","","","30","25","2","2","8","3","2","22","0","0","0","0","70","","","","","","","0","70","","","0","0","0","0","0","0","0","3.181818182","2.333333333","","0","73.33333333","","0","0","77.77777778","77.77777778","0","0","106.0606061","106.0606061"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00007","","","","30","22","4","5","7","1","2","20","8","0","1","0","29","6","6","5","5","5","0","1","30","0.125","","8","0.4","0.266666667","0.4","0.266666667","0.05","0.033333333","1.45","0.966666667","100","3.333333333","66.66666667","0.125","1.111111111","1.111111111","32.22222222","33.33333333","1.666666667","1.666666667","48.33333333","50"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00008","","","","30","24","3","2","7","1","3","23","10","3","1.4","0.12","17","5","5","3","5","7","0","1.52","18.52","0.14","0.04","13","0.565217391","0.433333333","0.434782609","0.333333333","0.066086957","0.050666667","0.739130435","0.566666667","76.92307692","8.207343413","76.66666667","0.116923077","1.555555556","1.688888889","18.88888889","20.57777778","2.028985507","2.202898551","24.63768116","26.84057971"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00009","","","","30","25","3","2","7","1","2","25","13","0","1.4","0","34.7","2","6","7","3","7","0","1.4","36.1","0.107692308","","13","0.52","0.433333333","0.52","0.433333333","0.056","0.046666667","1.388","1.156666667","100","3.878116343","83.33333333","0.107692308","1.555555556","1.555555556","38.55555556","40.11111111","1.866666667","1.866666667","46.26666667","48.13333333"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00010","","","","30","27","2","3","7","1","2","27","5","0","0.8","0","26","5","4","3","1","5","0","0.8","26.8","0.16","","5","0.185185185","0.166666667","0.185185185","0.166666667","0.02962963","0.026666667","0.962962963","0.866666667","100","2.985074627","90","0.16","0.888888889","0.888888889","28.88888889","29.77777778","0.987654321","0.987654321","32.09876543","33.08641975"
