"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-01001","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-02001","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-03001","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-01002","","","","10","8","1","1","7","1","1","2","1","5","0.06","0.08","2","8","1","1","9","7","0.12","0.14","2.14","0.06","0.016","6","3","0.6","0.5","0.1","0.07","0.014","1","0.2","16.66666667","6.542056075","20","0.2","0.466666667","6.666666667","7.133333333","0.023333333","1","2.333333333","33.33333333","35.66666667"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-02002","","","","10","8","1","1","7","1","1","2","0","4","0","0.06","1.4","8","1","1","9","9","0.12","0.06","1.46","","0.015","4","2","0.4","0","0","0.03","0.006","0.7","0.14","0","4.109589041","20","0","0.2","4.666666667","4.866666667","0.015","0","1","23.33333333","24.33333333"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-03002","","","","10","8","1","1","7","1","1","2","0","2","0","0.04","2.1","8","1","1","9","9","0.12","0.04","2.14","","0.02","2","1","0.2","0","0","0.02","0.004","1.05","0.21","0","1.869158879","20","0","0.133333333","7","7.133333333","0.02","0","0.666666667","35","35.66666667"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-01003","","","","10","4","1","1","6","1","1","3","1","6","0.06","0.06","2","8","1","1","8","7","0","0.12","2.12","0.06","0.01","7","2.333333333","0.7","0.333333333","0.1","0.04","0.012","0.666666667","0.2","14.28571429","5.660377358","30","0.2","0.4","6.666666667","7.066666667","0.017142857","0.666666667","1.333333333","22.22222222","23.55555556"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-02003","","","","10","4","1","1","6","1","1","1","1","2","0.12","0.06","0.2","8","1","1","8","7","0","0.18","0.38","0.12","0.03","3","3","0.3","1","0.1","0.18","0.018","0.2","0.02","33.33333333","47.36842105","10","0.4","0.6","0.666666667","1.266666667","0.06","4","6","6.666666667","12.66666667"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-03003","","","","10","4","1","1","6","1","1","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-01004","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-02004","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-03004","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-01005","","","","10","10","1","2","7","1","1","4","2","3","0.18","0.04","1.5","9","1","1","8","5","1.5","0.22","1.72","0.09","0.013333333","5","1.25","0.5","0.5","0.2","0.055","0.022","0.375","0.15","40","12.79069767","40","0.6","0.733333333","5","5.733333333","0.044","1.5","1.833333333","12.5","14.33333333"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-02005","","","","10","10","1","2","7","1","1","3","5","3","0.28","0.08","1.6","9","1","1","8","5","1.5","0.36","1.96","0.056","0.026666667","8","2.666666667","0.8","1.666666667","0.5","0.12","0.036","0.533333333","0.16","62.5","18.36734694","30","0.933333333","1.2","5.333333333","6.533333333","0.045","3.111111111","4","17.77777778","21.77777778"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-03005","","","","10","10","1","2","7","1","1","3","2","1","0.18","0.02","2","9","1","1","8","7","1.5","0.2","2.2","0.09","0.02","3","1","0.3","0.666666667","0.2","0.066666667","0.02","0.666666667","0.2","66.66666667","9.090909091","30","0.6","0.666666667","6.666666667","7.333333333","0.066666667","2","2.222222222","22.22222222","24.44444444"
"","","UGP2015KAC-PT02","","","","","","","","","UGP2015KAC-PT02-01006","","","","10","9","1","2","7","1","2","3","2","6","0.24","0.16","4.2","6","1","1","8","5","1.17","0.4","4.6","0.12","0.026666667","8","2.666666667","0.8","0.666666667","0.2","0.133333333","0.04","1.4","0.42","25","8.695652174","30","0.8","1.333333333","14","15.33333333","0.05","2.666666667","4.444444444","46.66666667","51.11111111"
