"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00001","","","","30","26","3","2","8","1","3","22","3","2","0.27","0.01","45","8","1","1","3","6","0","0.28","45.28","0.09","0.005","5","0.227272727","0.166666667","0.136363636","0.1","0.012727273","0.009333333","2.045454545","1.5","60","0.618374558","73.33333333","0.3","0.311111111","50","50.31111111","0.056","0.409090909","0.424242424","68.18181818","68.60606061"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00002","","","","30","29","1","3","9","2","2","24","60","12","20.4","0.41","32","8","1","4","8","1","0","20.81","52.81","0.34","0.034166667","72","3","2.4","2.5","2","0.867083333","0.693666667","1.333333333","1.066666667","83.33333333","39.40541564","80","22.66666667","23.12222222","35.55555556","58.67777778","0.289027778","28.33333333","28.90277778","44.44444444","73.34722222"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00003","","","","30","30","1","2","9","1","1","22","80","13","15.4","0.38","35","3","1","1","3","5","0","15.78","50.78","0.1925","0.029230769","93","4.227272727","3.1","3.636363636","2.666666667","0.717272727","0.526","1.590909091","1.166666667","86.02150538","31.07522647","73.33333333","17.11111111","17.53333333","38.88888889","56.42222222","0.169677419","23.33333333","23.90909091","53.03030303","76.93939394"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00004","","","","30","30","1","2","9","1","3","27","20","3","8.5","0.02","31.4","4","1","3","2","2","1.38","8.52","39.92","0.425","0.006666667","23","0.851851852","0.766666667","0.740740741","0.666666667","0.315555556","0.284","1.162962963","1.046666667","86.95652174","21.34268537","90","9.444444444","9.466666667","34.88888889","44.35555556","0.370434783","10.49382716","10.51851852","38.7654321","49.28395062"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00005","","","","30","30","1","2","9","1","2","17","79","38","15","1.3","38","8","3","1","6","5","0","16.3","54.3","0.189873418","0.034210526","117","6.882352941","3.9","4.647058824","2.633333333","0.958823529","0.543333333","2.235294118","1.266666667","67.52136752","30.01841621","56.66666667","16.66666667","18.11111111","42.22222222","60.33333333","0.139316239","29.41176471","31.96078431","74.50980392","106.4705882"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00006","","","","30","28","1","3","8","1","2","24","2","14","0.41","0.22","33.5","9","1","1","3","6","0","0.63","34.13","0.205","0.015714286","16","0.666666667","0.533333333","0.083333333","0.066666667","0.02625","0.021","1.395833333","1.116666667","12.5","1.845883387","80","0.455555556","0.7","37.22222222","37.92222222","0.039375","0.569444444","0.875","46.52777778","47.40277778"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00007","","","","30","28","3","4","7","1","2","17","27","3","6.9","0.04","4","5","7","1","2","4","0","6.94","10.94","0.255555556","0.013333333","30","1.764705882","1","1.588235294","0.9","0.408235294","0.231333333","0.235294118","0.133333333","90","63.4369287","56.66666667","7.666666667","7.711111111","4.444444444","12.15555556","0.231333333","13.52941176","13.60784314","7.843137255","21.45098039"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00008","","","","30","27","2","6","7","1","2","23","14","22","0.9","0.73","10","4","1","1","3","7","1.76","1.63","11.63","0.064285714","0.033181818","36","1.565217391","1.2","0.608695652","0.466666667","0.070869565","0.054333333","0.434782609","0.333333333","38.88888889","14.01547721","76.66666667","1","1.811111111","11.11111111","12.92222222","0.045277778","1.304347826","2.362318841","14.49275362","16.85507246"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00009","","","","30","30","1","2","8","1","3","25","66","6","20.4","0.18","11.2","6","6","1","6","4","0","20.58","31.78","0.309090909","0.03","72","2.88","2.4","2.64","2.2","0.8232","0.686","0.448","0.373333333","91.66666667","64.75770925","83.33333333","22.66666667","22.86666667","12.44444444","35.31111111","0.285833333","27.2","27.44","14.93333333","42.37333333"
"","","UGP2015NAM-PT05","","","","","","","","","UGP2015NAM-PT05-00010","","","","30","30","1","3","8","1","2","25","73","20","20.4","0.79","13","9","4","1","4","2","0","21.19","34.19","0.279452055","0.0395","93","3.72","3.1","2.92","2.433333333","0.8476","0.706333333","0.52","0.433333333","78.49462366","61.97718631","83.33333333","22.66666667","23.54444444","14.44444444","37.98888889","0.227849462","27.2","28.25333333","17.33333333","45.58666667"
