"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00001","","","","30","23","3","8","6","2","2","18","7","2","0.2","","0.8","5","2","1","3","5","4.61","","","0.028571429","","9","0.5","0.3","0.388888889","0.233333333","","","0.044444444","0.026666667","77.77777778","","60","0.222222222","","0.888888889","","","0.37037037","","1.481481481",""
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00002","","","","30","26","4","3","7","2","2","10","6","2","0.5","0.07","0.4","5","2","3","2","5","7.76","0.57","0.97","0.083333333","0.035","8","0.8","0.266666667","0.6","0.2","0.057","0.019","0.04","0.013333333","75","58.7628866","33.33333333","0.555555556","0.633333333","0.444444444","1.077777778","0.07125","1.666666667","1.9","1.333333333","3.233333333"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00003","","","","30","13","4","5","5","1","2","9","4","2","0.3","0.02","0.3","5","3","3","4","6","3.03","0.32","0.62","0.075","0.01","6","0.666666667","0.2","0.444444444","0.133333333","0.035555556","0.010666667","0.033333333","0.01","66.66666667","51.61290323","30","0.333333333","0.355555556","0.333333333","0.688888889","0.053333333","1.111111111","1.185185185","1.111111111","2.296296296"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00004","","","","30","10","4","4","5","1","2","5","1","2","0.4","0.01","0.5","5","2","1","3","5","7.76","0.41","0.91","0.4","0.005","3","0.6","0.1","0.2","0.033333333","0.082","0.013666667","0.1","0.016666667","33.33333333","45.05494505","16.66666667","0.444444444","0.455555556","0.555555556","1.011111111","0.136666667","2.666666667","2.733333333","3.333333333","6.066666667"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00005","","","","30","30","3","2","9","1","1","18","0","0","0","0","3.8","","","","","","","0","3.8","","","0","0","0","0","0","0","0","0.211111111","0.126666667","","0","60","0","0","4.222222222","4.222222222","","0","0","7.037037037","7.037037037"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00006","","","","30","30","3","7","6","2","2","18","3","9","0.5","0.5","1.2","2","4","4","3","8","3.96","1","2.2","0.166666667","0.055555556","12","0.666666667","0.4","0.166666667","0.1","0.055555556","0.033333333","0.066666667","0.04","25","45.45454545","60","0.555555556","1.111111111","1.333333333","2.444444444","0.083333333","0.925925926","1.851851852","2.222222222","4.074074074"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00007","","","","30","28","3","7","6","2","2","17","3","1","0.56","0.56","1","2","2","1","9","6","3.03","1.12","2.12","0.186666667","0.56","4","0.235294118","0.133333333","0.176470588","0.1","0.065882353","0.037333333","0.058823529","0.033333333","75","52.83018868","56.66666667","0.622222222","1.244444444","1.111111111","2.355555556","0.28","1.098039216","2.196078431","1.960784314","4.156862745"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00008","","","","30","25","4","6","5","2","2","13","1","3","0.4","0.4","0.3","5","3","1","2","8","4.61","0.8","1.1","0.4","0.133333333","4","0.307692308","0.133333333","0.076923077","0.033333333","0.061538462","0.026666667","0.023076923","0.01","25","72.72727273","43.33333333","0.444444444","0.888888889","0.333333333","1.222222222","0.2","1.025641026","2.051282051","0.769230769","2.820512821"
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00009","","","","30","6","3","2","6","2","2","6","1","0","","0","","9","4","1","3","6","","","","","","1","0.166666667","0.033333333","0.166666667","0.033333333","","","","","100","","20","","","","","","","","",""
"","","UGP2015SER-PT03","","","","","","","","","UGP2015SER-PT03-00010","","","","30","30","1","3","9","1","2","17","18","","6","6","25","8","2","1","4","3","0.12","12","37","0.333333333","","","","","1.058823529","0.6","0.705882353","0.4","1.470588235","0.833333333","","32.43243243","56.66666667","6.666666667","13.33333333","27.77777778","41.11111111","","11.76470588","23.52941176","49.01960784","72.54901961"
