"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00001","","","","20","16","1","2","7","1","2","12","","10","4","6","0.04","","","","","","","10","10.04","","0.6","","","","","","0.833333333","0.5","0.003333333","0.002","","99.60159363","60","6.666666667","16.66666667","0.066666667","16.73333333","","11.11111111","27.77777778","0.111111111","27.88888889"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00002","","","","20","20","2","1","8","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00003","","","","20","16","1","2","8","1","2","16","0","8","0","4","","","","","","","","4","","","0.5","8","0.5","0.4","0","0","0.25","0.2","","","0","","80","0","6.666666667","","","0.5","0","8.333333333","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00004","","","","20","12","2","3","7","2","1","12","0","0","0","0","0.2","","","","","","","0","0.2","","","0","0","0","0","0","0","0","0.016666667","0.01","","0","60","0","0","0.333333333","0.333333333","","0","0","0.555555556","0.555555556"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00005","","","","20","14","2","2","8","1","1","14","6","4","0.16","0.16","16","3","5","4","3","1","0","0.32","16.32","0.026666667","0.04","10","0.714285714","0.5","0.428571429","0.3","0.022857143","0.016","1.142857143","0.8","60","1.960784314","70","0.266666667","0.533333333","26.66666667","27.2","0.032","0.380952381","0.761904762","38.0952381","38.85714286"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00006","","","","20","20","1","1","8","1","2","20","15","2","23","1.6","13.5","7","5","4","2","1","0","24.6","38.1","1.533333333","0.8","17","0.85","0.85","0.75","0.75","1.23","1.23","0.675","0.675","88.23529412","64.56692913","100","38.33333333","41","22.5","63.5","1.447058824","38.33333333","41","22.5","63.5"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00007","","","","20","20","1","2","7","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00008","","","","20","16","2","2","8","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00009","","","","20","14","2","2","7","1","2","14","10","6","1","0.12","2","2","4","3","4","3","0.12","1.12","3.12","0.1","0.02","16","1.142857143","0.8","0.714285714","0.5","0.08","0.056","0.142857143","0.1","62.5","35.8974359","70","1.666666667","1.866666667","3.333333333","5.2","0.07","2.380952381","2.666666667","4.761904762","7.428571429"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00010","","","","20","20","1","1","7","1","2","20","12","8","12.4","0.02","16","3","2","5","2","1","7.76","12.42","28.42","1.033333333","0.0025","20","1","1","0.6","0.6","0.621","0.621","0.8","0.8","60","43.70161858","100","20.66666667","20.7","26.66666667","47.36666667","0.621","20.66666667","20.7","26.66666667","47.36666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00011","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00012","","","","20","20","2","2","6","1","2","12","0","2","0","0.4","0.16","","","7","1","1","10.5","0.4","0.56","","0.2","2","0.166666667","0.1","0","0","0.033333333","0.02","0.013333333","0.008","0","71.42857143","60","0","0.666666667","0.266666667","0.933333333","0.2","0","1.111111111","0.444444444","1.555555556"
