"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00001","","","","5","4","1","2","7","1","2","4","6","15","0.6","0.5","2.5","2","1","1","4","5","0.12","1.1","3.6","0.1","0.033333333","21","5.25","4.2","1.5","1.2","0.275","0.22","0.625","0.5","28.57142857","30.55555556","80","4","7.333333333","16.66666667","24","0.052380952","5","9.166666667","20.83333333","30"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00002","","","","5","4","1","2","6","1","2","3","3","1","0.5","0.04","4.2","3","1","1","6","3","0.12","0.54","4.74","0.166666667","0.04","4","1.333333333","0.8","1","0.6","0.18","0.108","1.4","0.84","75","11.39240506","60","3.333333333","3.6","28","31.6","0.135","5.555555556","6","46.66666667","52.66666667"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00003","","","","5","5","1","2","6","1","2","5","0","3","0","0.12","2.3","5","1","1","2","7","0.12","0.12","2.42","","0.04","3","0.6","0.6","0","0","0.024","0.024","0.46","0.46","0","4.958677686","100","0","0.8","15.33333333","16.13333333","0.04","0","0.8","15.33333333","16.13333333"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00004","","","","5","5","2","2","5","1","2","5","1","0","0.3","0","2.3","3","1","1","8","3","0.12","0.3","2.6","0.3","","1","0.2","0.2","0.2","0.2","0.06","0.06","0.46","0.46","100","11.53846154","100","2","2","15.33333333","17.33333333","0.3","2","2","15.33333333","17.33333333"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00005","","","","5","4","1","2","5","1","2","4","4","27","0.5","0.4","2.1","3","1","1","8","5","0","0.9","3","0.125","0.014814815","31","7.75","6.2","1","0.8","0.225","0.18","0.525","0.42","12.90322581","30","80","3.333333333","6","14","20","0.029032258","4.166666667","7.5","17.5","25"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00006","","","","5","5","2","4","4","1","2","2","0","0","0","0","0.2","","","","","","","0","0.2","","","0","0","0","0","0","0","0","0.1","0.04","","0","40","0","0","1.333333333","1.333333333","","0","0","3.333333333","3.333333333"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00007","","","","5","4","1","2","4","3","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00008","","","","5","4","2","2","5","1","2","4","0","0","0","0","1.4","","","","","","","0","1.4","","","0","0","0","0","0","0","0","0.35","0.28","","0","80","0","0","9.333333333","9.333333333","","0","0","11.66666667","11.66666667"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00009","","","","5","5","2","2","5","1","2","4","0","3","0","0.08","3","2","1","1","3","9","0.12","0.08","3.08","","0.026666667","3","0.75","0.6","0","0","0.02","0.016","0.75","0.6","0","2.597402597","80","0","0.533333333","20","20.53333333","0.026666667","0","0.666666667","25","25.66666667"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00010","","","","5","4","2","2","5","1","2","4","0","0","0","0","0.8","","","","","","","0","0.8","","","0","0","0","0","0","0","0","0.2","0.16","","0","80","0","0","5.333333333","5.333333333","","0","0","6.666666667","6.666666667"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00011","","","","5","5","1","2","6","1","2","5","0","0","0","0","0.9","","","","","","","0","0.9","","","0","0","0","0","0","0","0","0.18","0.18","","0","100","0","0","6","6","","0","0","6","6"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00012","","","","5","2","2","3","4","3","2","1","4","11","0.3","0.2","0.1","3","1","1","5","7","0","0.5","0.6","0.075","0.018181818","15","15","3","4","0.8","0.5","0.1","0.1","0.02","26.66666667","83.33333333","20","2","3.333333333","0.666666667","4","0.033333333","10","16.66666667","3.333333333","20"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00013","","","","5","5","2","3","4","1","2","5","0","3","0","0.08","0.5","3","4","3","5","9","0.02","0.08","0.58","","0.026666667","3","0.6","0.6","0","0","0.016","0.016","0.1","0.1","0","13.79310345","100","0","0.533333333","3.333333333","3.866666667","0.026666667","0","0.533333333","3.333333333","3.866666667"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00014","","","","5","4","3","2","5","1","2","4","3","11","0.3","0.3","0.3","9","1","1","5","5","0","0.6","0.9","0.1","0.027272727","14","3.5","2.8","0.75","0.6","0.15","0.12","0.075","0.06","21.42857143","66.66666667","80","2","4","2","6","0.042857143","2.5","5","2.5","7.5"
"","","UGP2016KAC-AT02","","","","","","","","","UGP2016KAC-AT02-00015","","","","5","5","2","2","5","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
