"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00001","","","","30","29","2","3","7","2","2","28","7","7","0.8","0.19","15.2","9","3","1","3","6","3","0.12","0.99","16.19","0.114285714","0.027142857","14","0.5","0.466666667","0.25","0.233333333","0.035357143","0.033","0.542857143","0.506666667","50","6.114885732","93.33333333","0.888888889","1.1","16.88888889","17.98888889","0.070714286","0.952380952","1.178571429","18.0952381","19.27380952"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00002","","","","30","27","2","2","7","1","2","27","42","22","5.5","0.46","8.2","8","3","1","3","4","3","0.12","5.96","14.16","0.130952381","0.020909091","64","2.37037037","2.133333333","1.555555556","1.4","0.220740741","0.198666667","0.303703704","0.273333333","65.625","42.09039548","90","6.111111111","6.622222222","9.111111111","15.73333333","0.093125","6.790123457","7.358024691","10.12345679","17.48148148"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00003","","","","30","29","2","2","6","1","2","29","33","87","3.2","1.2","12.2","2","3","1","1","9","5","0.12","4.4","16.6","0.096969697","0.013793103","120","4.137931034","4","1.137931034","1.1","0.151724138","0.146666667","0.420689655","0.406666667","27.5","26.5060241","96.66666667","3.555555556","4.888888889","13.55555556","18.44444444","0.036666667","3.67816092","5.057471264","14.02298851","19.08045977"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00004","","","","30","30","2","2","6","1","2","28","15","7","2","0.2","5.6","3","5","1","1","6","3","0","2.2","7.8","0.133333333","0.028571429","22","0.785714286","0.733333333","0.535714286","0.5","0.078571429","0.073333333","0.2","0.186666667","68.18181818","28.20512821","93.33333333","2.222222222","2.444444444","6.222222222","8.666666667","0.1","2.380952381","2.619047619","6.666666667","9.285714286"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00005","","","","30","30","1","2","6","1","2","30","34","25","2.4","0.4","5.7","8","3","3","1","4","5","0.12","2.8","8.5","0.070588235","0.016","59","1.966666667","1.966666667","1.133333333","1.133333333","0.093333333","0.093333333","0.19","0.19","57.62711864","32.94117647","100","2.666666667","3.111111111","6.333333333","9.444444444","0.047457627","2.666666667","3.111111111","6.333333333","9.444444444"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00006","","","","30","30","1","2","6","1","2","29","26","47","2.5","1.22","12.1","9","3","1","1","9","5","0.12","3.72","15.82","0.096153846","0.025957447","73","2.517241379","2.433333333","0.896551724","0.866666667","0.128275862","0.124","0.417241379","0.403333333","35.61643836","23.51453856","96.66666667","2.777777778","4.133333333","13.44444444","17.57777778","0.050958904","2.873563218","4.275862069","13.90804598","18.18390805"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00007","","","","30","28","4","5","5","2","2","20","18","13","1.8","0.2","3.4","5","5","1","1","3","3","0","2","5.4","0.1","0.015384615","31","1.55","1.033333333","0.9","0.6","0.1","0.066666667","0.17","0.113333333","58.06451613","37.03703704","66.66666667","2","2.222222222","3.777777778","6","0.064516129","3","3.333333333","5.666666667","9"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00008","","","","30","29","4","3","6","2","2","24","25","118","2.2","2.4","14.8","2","9","1","1","9","5","1.5","4.6","19.4","0.088","0.020338983","143","5.958333333","4.766666667","1.041666667","0.833333333","0.191666667","0.153333333","0.616666667","0.493333333","17.48251748","23.71134021","80","2.444444444","5.111111111","16.44444444","21.55555556","0.032167832","3.055555556","6.388888889","20.55555556","26.94444444"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00009","","","","30","30","1","2","7","1","2","29","95","91","10.4","2.2","10.4","5","3","1","1","4","5","0.12","12.6","23","0.109473684","0.024175824","186","6.413793103","6.2","3.275862069","3.166666667","0.434482759","0.42","0.35862069","0.346666667","51.07526882","54.7826087","96.66666667","11.55555556","14","11.55555556","25.55555556","0.067741935","11.95402299","14.48275862","11.95402299","26.43678161"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00010","","","","30","30","2","2","6","1","2","29","60","41","10","0.8","11","9","5","4","1","6","3","0","10.8","21.8","0.166666667","0.019512195","101","3.482758621","3.366666667","2.068965517","2","0.372413793","0.36","0.379310345","0.366666667","59.40594059","49.5412844","96.66666667","11.11111111","12","12.22222222","24.22222222","0.106930693","11.49425287","12.4137931","12.64367816","25.05747126"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00011","","","","30","30","3","3","6","2","3","28","40","39","4.8","0.8","10","9","2","3","1","6","3","0","5.6","15.6","0.12","0.020512821","79","2.821428571","2.633333333","1.428571429","1.333333333","0.2","0.186666667","0.357142857","0.333333333","50.63291139","35.8974359","93.33333333","5.333333333","6.222222222","11.11111111","17.33333333","0.070886076","5.714285714","6.666666667","11.9047619","18.57142857"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00012","","","","30","30","2","2","6","1","2","27","35","31","2.8","0.8","10.4","9","2","1","1","5","5","0","3.6","14","0.08","0.025806452","66","2.444444444","2.2","1.296296296","1.166666667","0.133333333","0.12","0.385185185","0.346666667","53.03030303","25.71428571","90","3.111111111","4","11.55555556","15.55555556","0.054545455","3.456790123","4.444444444","12.83950617","17.28395062"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00013","","","","30","30","2","3","5","1","2","27","12","13","1.2","0.4","6.4","5","3","1","1","4","5","0.12","1.6","8","0.1","0.030769231","25","0.925925926","0.833333333","0.444444444","0.4","0.059259259","0.053333333","0.237037037","0.213333333","48","20","90","1.333333333","1.777777778","7.111111111","8.888888889","0.064","1.481481481","1.975308642","7.901234568","9.87654321"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00014","","","","30","30","3","3","6","2","2","28","10","13","1.5","0.39","14.9","9","3","1","3","4","3","0.12","1.89","16.79","0.15","0.03","23","0.821428571","0.766666667","0.357142857","0.333333333","0.0675","0.063","0.532142857","0.496666667","43.47826087","11.25670042","93.33333333","1.666666667","2.1","16.55555556","18.65555556","0.082173913","1.785714286","2.25","17.73809524","19.98809524"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00015","","","","30","30","2","2","7","1","2","29","44","50","5.2","1.6","7.2","8","3","3","3","5","3","0.12","6.8","14","0.118181818","0.032","94","3.24137931","3.133333333","1.517241379","1.466666667","0.234482759","0.226666667","0.248275862","0.24","46.80851064","48.57142857","96.66666667","5.777777778","7.555555556","8","15.55555556","0.072340426","5.977011494","7.816091954","8.275862069","16.09195402"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00016","","","","30","29","1","2","5","1","2","29","35","61","2.9","2.2","12","3","3","1","1","5","5","0.12","5.1","17.1","0.082857143","0.036065574","96","3.310344828","3.2","1.206896552","1.166666667","0.175862069","0.17","0.413793103","0.4","36.45833333","29.8245614","96.66666667","3.222222222","5.666666667","13.33333333","19","0.053125","3.333333333","5.862068966","13.79310345","19.65517241"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00017","","","","30","30","2","2","6","1","2","30","43","65","5.8","1.8","9","8","5","3","1","4","5","0","7.6","16.6","0.134883721","0.027692308","108","3.6","3.6","1.433333333","1.433333333","0.253333333","0.253333333","0.3","0.3","39.81481481","45.78313253","100","6.444444444","8.444444444","10","18.44444444","0.07037037","6.444444444","8.444444444","10","18.44444444"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00018","","","","30","28","1","3","6","1","2","28","15","15","2.4","0.21","7.4","3","5","3","3","4","3","0","2.61","10.01","0.16","0.014","30","1.071428571","1","0.535714286","0.5","0.093214286","0.087","0.264285714","0.246666667","50","26.07392607","93.33333333","2.666666667","2.9","8.222222222","11.12222222","0.087","2.857142857","3.107142857","8.80952381","11.91666667"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00019","","","","30","30","1","3","5","1","2","27","9","17","1.3","0.24","10.1","9","3","1","1","9","5","0.12","1.54","11.64","0.144444444","0.014117647","26","0.962962963","0.866666667","0.333333333","0.3","0.057037037","0.051333333","0.374074074","0.336666667","34.61538462","13.23024055","90","1.444444444","1.711111111","11.22222222","12.93333333","0.059230769","1.604938272","1.901234568","12.4691358","14.37037037"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00020","","","","30","27","3","2","6","1","2","27","25","47","2.5","1.2","8.1","2","3","1","1","5","5","0.12","3.7","11.8","0.1","0.025531915","72","2.666666667","2.4","0.925925926","0.833333333","0.137037037","0.123333333","0.3","0.27","34.72222222","31.3559322","90","2.777777778","4.111111111","9","13.11111111","0.051388889","3.086419753","4.567901235","10","14.56790123"
"","","UGP2016KAC-PT02","","","","","","","","","UGP2016KAC-PT02-00021","","","","30","28","3","3","6","1","2","26","21","29","3.1","0.8","4.6","9","5","3","1","4","3","0","3.9","8.5","0.147619048","0.027586207","50","1.923076923","1.666666667","0.807692308","0.7","0.15","0.13","0.176923077","0.153333333","42","45.88235294","86.66666667","3.444444444","4.333333333","5.111111111","9.444444444","0.078","3.974358974","5","5.897435897","10.8974359"
