"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00001","","","","10","10","6","7","7","1","2","10","14","6","2","0.2","1.6","3","1","1","5","3","0.12","2.2","3.8","0.142857143","0.033333333","20","2","2","1.4","1.4","0.22","0.22","0.16","0.16","70","57.89473684","100","6.666666667","7.333333333","5.333333333","12.66666667","0.11","6.666666667","7.333333333","5.333333333","12.66666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00002","","","","10","10","2","2","8","1","2","9","0","5","0","0.07","7","2","1","1","5","1","0.12","0.07","7.07","","0.014","5","0.555555556","0.5","0","0","0.007777778","0.007","0.777777778","0.7","0","0.99009901","90","0","0.233333333","23.33333333","23.56666667","0.014","0","0.259259259","25.92592593","26.18518519"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00003","","","","10","10","2","3","8","1","2","9","23","3","5.2","0.06","7.3","5","1","1","8","1","0.12","5.26","12.56","0.226086957","0.02","26","2.888888889","2.6","2.555555556","2.3","0.584444444","0.526","0.811111111","0.73","88.46153846","41.87898089","90","17.33333333","17.53333333","24.33333333","41.86666667","0.202307692","19.25925926","19.48148148","27.03703704","46.51851852"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00004","","","","10","10","1","2","8","1","2","10","17","12","3.3","0.24","4.5","3","1","1","6","3","0","3.54","8.04","0.194117647","0.02","29","2.9","2.9","1.7","1.7","0.354","0.354","0.45","0.45","58.62068966","44.02985075","100","11","11.8","15","26.8","0.122068966","11","11.8","15","26.8"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00005","","","","10","9","1","2","7","1","1","8","3","0","0.41","0","6.3","2","1","1","5","5","0.02","0.41","6.71","0.136666667","","3","0.375","0.3","0.375","0.3","0.05125","0.041","0.7875","0.63","100","6.110283159","80","1.366666667","1.366666667","21","22.36666667","0.136666667","1.708333333","1.708333333","26.25","27.95833333"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00006","","","","10","6","1","","","1","","","0","0","0","0","0.2","","","","","","","0","0.2","","","0","","0","","0","","0","","0.02","","0","","0","0","0.666666667","0.666666667","","","","",""
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00007","","","","10","6","2","","5","1","","","0","0","0","0","0.3","","","","","","","0","0.3","","","0","","0","","0","","0","","0.03","","0","","0","0","1","1","","","","",""
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00008","","","","10","10","1","2","7","1","2","10","15","3","4","0.04","2.2","5","1","1","6","1","0.12","4.04","6.24","0.266666667","0.013333333","18","1.8","1.8","1.5","1.5","0.404","0.404","0.22","0.22","83.33333333","64.74358974","100","13.33333333","13.46666667","7.333333333","20.8","0.224444444","13.33333333","13.46666667","7.333333333","20.8"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00009","","","","10","8","1","2","6","1","2","8","18","9","2.3","0.02","2","3","1","1","4","3","0","2.32","4.32","0.127777778","0.002222222","27","3.375","2.7","2.25","1.8","0.29","0.232","0.25","0.2","66.66666667","53.7037037","80","7.666666667","7.733333333","6.666666667","14.4","0.085925926","9.583333333","9.666666667","8.333333333","18"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00010","","","","10","10","1","2","7","1","2","10","12","2","2","0.01","4.3","2","1","1","5","3","0.12","2.01","6.31","0.166666667","0.005","14","1.4","1.4","1.2","1.2","0.201","0.201","0.43","0.43","85.71428571","31.85419968","100","6.666666667","6.7","14.33333333","21.03333333","0.143571429","6.666666667","6.7","14.33333333","21.03333333"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00011","","","","10","10","1","2","8","1","2","9","27","8","6","0.3","6","9","1","1","6","3","0.12","6.3","12.3","0.222222222","0.0375","35","3.888888889","3.5","3","2.7","0.7","0.63","0.666666667","0.6","77.14285714","51.2195122","90","20","21","20","41","0.18","22.22222222","23.33333333","22.22222222","45.55555556"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00012","","","","10","10","3","3","7","1","2","6","6","2","0.8","0.01","0.8","6","1","1","2","3","3.96","0.81","1.61","0.133333333","0.005","8","1.333333333","0.8","1","0.6","0.135","0.081","0.133333333","0.08","75","50.31055901","60","2.666666667","2.7","2.666666667","5.366666667","0.10125","4.444444444","4.5","4.444444444","8.944444444"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00013","","","","10","10","2","3","7","2","2","8","14","3","3","0.02","2.3","2","1","1","8","3","0.12","3.02","5.32","0.214285714","0.006666667","17","2.125","1.7","1.75","1.4","0.3775","0.302","0.2875","0.23","82.35294118","56.76691729","80","10","10.06666667","7.666666667","17.73333333","0.177647059","12.5","12.58333333","9.583333333","22.16666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00014","","","","10","10","8","5","6","1","2","8","0","2","0","0.02","0.23","9","1","1","3","9","0.12","0.02","0.25","","0.01","2","0.25","0.2","0","0","0.0025","0.002","0.02875","0.023","0","8","80","0","0.066666667","0.766666667","0.833333333","0.01","0","0.083333333","0.958333333","1.041666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00015","","","","10","10","2","2","7","1","2","9","21","7","3.3","0.2","5","5","1","1","8","3","3.96","3.5","8.5","0.157142857","0.028571429","28","3.111111111","2.8","2.333333333","2.1","0.388888889","0.35","0.555555556","0.5","75","41.17647059","90","11","11.66666667","16.66666667","28.33333333","0.125","12.22222222","12.96296296","18.51851852","31.48148148"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00016","","","","10","9","3","2","7","1","2","9","9","2","2.2","0.01","2","6","1","1","6","3","5.49","2.21","4.21","0.244444444","0.005","11","1.222222222","1.1","1","0.9","0.245555556","0.221","0.222222222","0.2","81.81818182","52.49406176","90","7.333333333","7.366666667","6.666666667","14.03333333","0.200909091","8.148148148","8.185185185","7.407407407","15.59259259"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00017","","","","10","10","1","2","8","1","1","10","7","7","1.22","0.17","8.2","2","1","1","6","3","0.12","1.39","9.59","0.174285714","0.024285714","14","1.4","1.4","0.7","0.7","0.139","0.139","0.82","0.82","50","14.49426486","100","4.066666667","4.633333333","27.33333333","31.96666667","0.099285714","4.066666667","4.633333333","27.33333333","31.96666667"
