"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00001","","","","30","30","2","3","8","1","2","26","45","12","12.5","0.4","8","8","2","1","1","3","2","0","12.9","20.9","0.277777778","0.033333333","57","2.192307692","1.9","1.730769231","1.5","0.496153846","0.43","0.307692308","0.266666667","78.94736842","61.72248804","86.66666667","13.88888889","14.33333333","8.888888889","23.22222222","0.226315789","16.02564103","16.53846154","10.25641026","26.79487179"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00002","","","","30","29","3","3","8","1","2","15","65","18","11.2","0.04","5.8","8","2","3","2","3","4","0","11.24","17.04","0.172307692","0.002222222","83","5.533333333","2.766666667","4.333333333","2.166666667","0.749333333","0.374666667","0.386666667","0.193333333","78.31325301","65.96244131","50","12.44444444","12.48888889","6.444444444","18.93333333","0.135421687","24.88888889","24.97777778","12.88888889","37.86666667"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00003","","","","30","24","1","2","8","1","2","23","48","31","11.4","1.2","14.7","3","5","2","1","3","3","0","12.6","27.3","0.2375","0.038709677","79","3.434782609","2.633333333","2.086956522","1.6","0.547826087","0.42","0.639130435","0.49","60.75949367","46.15384615","76.66666667","12.66666667","14","16.33333333","30.33333333","0.159493671","16.52173913","18.26086957","21.30434783","39.56521739"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00004","","","","30","30","2","2","8","1","2","20","38","12","8.7","0.27","16.2","4","5","2","1","3","4","0","8.97","25.17","0.228947368","0.0225","50","2.5","1.666666667","1.9","1.266666667","0.4485","0.299","0.81","0.54","76","35.63766389","66.66666667","9.666666667","9.966666667","18","27.96666667","0.1794","14.5","14.95","27","41.95"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00005","","","","30","26","2","3","7","1","2","19","37","16","5","0.25","10","6","5","1","1","2","5","0","5.25","15.25","0.135135135","0.015625","53","2.789473684","1.766666667","1.947368421","1.233333333","0.276315789","0.175","0.526315789","0.333333333","69.81132075","34.42622951","63.33333333","5.555555556","5.833333333","11.11111111","16.94444444","0.099056604","8.771929825","9.210526316","17.54385965","26.75438596"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00006","","","","30","28","1","2","7","1","2","16","34","10","3","0.24","18","8","3","1","1","3","3","0.12","3.24","21.24","0.088235294","0.024","44","2.75","1.466666667","2.125","1.133333333","0.2025","0.108","1.125","0.6","77.27272727","15.25423729","53.33333333","3.333333333","3.6","20","23.6","0.073636364","6.25","6.75","37.5","44.25"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00007","","","","30","29","4","6","7","1","2","10","25","15","2","0.22","5","5","5","1","1","2","5","0","2.22","7.22","0.08","0.014666667","40","4","1.333333333","2.5","0.833333333","0.222","0.074","0.5","0.166666667","62.5","30.74792244","33.33333333","2.222222222","2.466666667","5.555555556","8.022222222","0.0555","6.666666667","7.4","16.66666667","24.06666667"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00008","","","","30","30","4","4","7","2","2","12","0","5","0","0.2","4.2","3","5","1","1","3","9","0","0.2","4.4","","0.04","5","0.416666667","0.166666667","0","0","0.016666667","0.006666667","0.35","0.14","0","4.545454545","40","0","0.222222222","4.666666667","4.888888889","0.04","0","0.555555556","11.66666667","12.22222222"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00009","","","","30","30","1","2","8","1","2","10","42","22","7","0.67","3.2","5","2","1","1","3","4","0","7.67","10.87","0.166666667","0.030454545","64","6.4","2.133333333","4.2","1.4","0.767","0.255666667","0.32","0.106666667","65.625","70.56117755","33.33333333","7.777777778","8.522222222","3.555555556","12.07777778","0.11984375","23.33333333","25.56666667","10.66666667","36.23333333"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00010","","","","30","30","2","3","7","2","2","13","35","7","6","0.2","5","8","4","1","1","2","3","0.02","6.2","11.2","0.171428571","0.028571429","42","3.230769231","1.4","2.692307692","1.166666667","0.476923077","0.206666667","0.384615385","0.166666667","83.33333333","55.35714286","43.33333333","6.666666667","6.888888889","5.555555556","12.44444444","0.147619048","15.38461538","15.8974359","12.82051282","28.71794872"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00011","","","","30","26","1","3","8","1","2","21","22","22","3.3","0.47","9.5","9","3","1","1","2","4","0.12","3.77","13.27","0.15","0.021363636","44","2.095238095","1.466666667","1.047619048","0.733333333","0.17952381","0.125666667","0.452380952","0.316666667","50","28.40994725","70","3.666666667","4.188888889","10.55555556","14.74444444","0.085681818","5.238095238","5.984126984","15.07936508","21.06349206"
