"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00001","","","","5","4","2","2","7","1","1","3","7","7","1.2","0.2","1","2","1","3","5","3","0","1.4","2.4","0.171428571","0.028571429","14","4.666666667","2.8","2.333333333","1.4","0.466666667","0.28","0.333333333","0.2","50","58.33333333","60","8","9.333333333","6.666666667","16","0.1","13.33333333","15.55555556","11.11111111","26.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00002","","","","5","5","2","2","7","2","2","2","2","2","0.9","0.04","4","2","1","1","4","3","0","0.94","4.94","0.45","0.02","4","2","0.8","1","0.4","0.47","0.188","2","0.8","50","19.02834008","40","6","6.266666667","26.66666667","32.93333333","0.235","15","15.66666667","66.66666667","82.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00003","","","","5","4","3","2","7","1","2","3","4","0","0.5","0","4.1","3","1","1","4","5","0.12","0.5","4.6","0.125","","4","1.333333333","0.8","1.333333333","0.8","0.166666667","0.1","1.366666667","0.82","100","10.86956522","60","3.333333333","3.333333333","27.33333333","30.66666667","0.125","5.555555556","5.555555556","45.55555556","51.11111111"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00004","","","","5","5","1","2","8","1","2","4","2","0","0.26","0","0.5","8","1","1","2","3","0","0.26","0.76","0.13","","2","0.5","0.4","0.5","0.4","0.065","0.052","0.125","0.1","100","34.21052632","80","1.733333333","1.733333333","3.333333333","5.066666667","0.13","2.166666667","2.166666667","4.166666667","6.333333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00005","","","","5","4","1","2","7","1","1","3","1","5","0.08","0.04","3.5","5","1","1","5","5","0","0.12","3.62","0.08","0.008","6","2","1.2","0.333333333","0.2","0.04","0.024","1.166666667","0.7","16.66666667","3.314917127","60","0.533333333","0.8","23.33333333","24.13333333","0.02","0.888888889","1.333333333","38.88888889","40.22222222"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00006","","","","5","2","4","","","3","","","0","0","0","0","0.5","","","","","","","0","0.5","","","0","","0","","0","","0","","0.1","","0","","0","0","3.333333333","3.333333333","","","","",""
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00007","","","","5","4","3","3","6","1","2","2","3","1","0.2","0.02","1.5","6","1","2","2","5","12.39","0.22","1.72","0.066666667","0.02","4","2","0.8","1.5","0.6","0.11","0.044","0.75","0.3","75","12.79069767","40","1.333333333","1.466666667","10","11.46666667","0.055","3.333333333","3.666666667","25","28.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00008","","","","5","3","2","2","7","2","2","2","2","0","0.4","0","1","2","1","","5","3","0.12","0.4","1.4","0.2","","2","1","0.4","1","0.4","0.2","0.08","0.5","0.2","100","28.57142857","40","2.666666667","2.666666667","6.666666667","9.333333333","0.2","6.666666667","6.666666667","16.66666667","23.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00009","","","","5","5","1","2","8","1","1","3","12","2","5.5","","12","5","3","1","2","1","0","","","0.458333333","","14","4.666666667","2.8","4","2.4","","","4","2.4","85.71428571","","60","36.66666667","","80","","","61.11111111","","133.3333333",""
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00010","","","","5","5","1","1","8","1","1","4","0","1","0","0.04","5","2","1","1","9","9","0.12","0.04","5.04","","0.04","1","0.25","0.2","0","0","0.01","0.008","1.25","1","0","0.793650794","80","0","0.266666667","33.33333333","33.6","0.04","0","0.333333333","41.66666667","42"
