"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01001","","","","16","5","1","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01002","","","","16","15","1","2","6","2","3","8","1","6","0.2","0.25","0.2","7","1","3","3","7","1.65","0.45","0.65","7","0.2","0.041666667","0.064285714","0.875","0.4375","0.125","0.0625","0.05625","0.028125","0.025","0.0125","14.28571429","69.23076923","50","0.416666667","0.9375","0.416666667","1.354166667","0.833333333","1.875","0.833333333","2.708333333"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01003","","","","16","12","2","2","7","2","2","4","3","0","0.35","0","1.5","6","1","2","3","6","0","0.35","1.85","3","0.116666667","","0.116666667","0.75","0.1875","0.75","0.1875","0.0875","0.021875","0.375","0.09375","100","18.91891892","25","0.729166667","0.729166667","3.125","3.854166667","2.916666667","2.916666667","12.5","15.41666667"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01004","","","","16","11","2","2","5","2","2","5","3","13","0.3","0.28","1.5","4","1","2","8","7","4.61","0.58","2.08","16","0.1","0.021538462","0.03625","3.2","1","0.6","0.1875","0.116","0.03625","0.3","0.09375","18.75","27.88461538","31.25","0.625","1.208333333","3.125","4.333333333","2","3.866666667","10","13.86666667"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01005","","","","16","9","1","2","6","2","4","4","2","1","0.2","0.05","0.1","7","1","1","7","7","0","0.25","0.35","3","0.1","0.05","0.083333333","0.75","0.1875","0.5","0.125","0.0625","0.015625","0.025","0.00625","66.66666667","71.42857143","25","0.416666667","0.520833333","0.208333333","0.729166667","1.666666667","2.083333333","0.833333333","2.916666667"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01006","","","","16","10","1","2","5","1","3","7","2","0","0.35","0","1","7","1","2","2","5","6.12","0.35","1.35","2","0.175","","0.175","0.285714286","0.125","0.285714286","0.125","0.05","0.021875","0.142857143","0.0625","100","25.92592593","43.75","0.729166667","0.729166667","2.083333333","2.8125","1.666666667","1.666666667","4.761904762","6.428571429"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01007","","","","16","9","2","","4","2","3","3","0","4","0","0.05","0.15","7","1","1","3","8","1.5","0.05","0.2","4","","0.0125","0.0125","1.333333333","0.25","0","0","0.016666667","0.003125","0.05","0.009375","0","25","18.75","0","0.104166667","0.3125","0.416666667","0","0.555555556","1.666666667","2.222222222"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01008","","","","16","7","2","2","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01009","","","","16","10","1","2","7","1","2","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01010","","","","16","9","1","2","6","1","3","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01011","","","","16","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01012","","","","16","5","2","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01013","","","","16","3","2","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01014","","","","16","5","2","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01015","","","","16","10","2","2","5","2","3","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01016","","","","16","13","2","2","5","2","2","6","1","0","0.1","0","0.01","6","1","1","3","6","0.15","0.1","0.11","1","0.1","","0.1","0.166666667","0.0625","0.166666667","0.0625","0.016666667","0.00625","0.001666667","0.000625","100","90.90909091","37.5","0.208333333","0.208333333","0.020833333","0.229166667","0.555555556","0.555555556","0.055555556","0.611111111"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01017","","","","16","3","2","1","4","2","1","2","3","2","0.25","0.1","0.3","7","1","1","4","4","10.5","0.35","0.65","5","0.083333333","0.05","0.07","2.5","0.3125","1.5","0.1875","0.175","0.021875","0.15","0.01875","60","53.84615385","12.5","0.520833333","0.729166667","0.625","1.354166667","4.166666667","5.833333333","5","10.83333333"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01018","","","","16","3","2","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01019","","","","16","7","2","2","4","2","2","2","1","0","0.5","0","0.1","6","1","1","2","6","1.38","0.5","0.6","1","0.5","","0.5","0.5","0.0625","0.5","0.0625","0.25","0.03125","0.05","0.00625","100","83.33333333","12.5","1.041666667","1.041666667","0.208333333","1.25","8.333333333","8.333333333","1.666666667","10"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01020","","","","16","8","1","","","1","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01021","","","","16","2","2","","","1","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01022","","","","16","10","2","3","6","2","2","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01023","","","","16","11","2","2","5","2","3","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01024","","","","16","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01025","","","","16","7","2","2","6","2","2","3","0","4","0","0.05","0.15","2","1","3","3","8","0.15","0.05","0.2","4","","0.0125","0.0125","1.333333333","0.25","0","0","0.016666667","0.003125","0.05","0.009375","0","25","18.75","0","0.104166667","0.3125","0.416666667","0","0.555555556","1.666666667","2.222222222"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01026","","","","16","6","2","2","4","2","3","4","1","3","0.05","0.15","0.25","7","1","1","8","7","3.03","0.2","0.45","4","0.05","0.05","0.05","1","0.25","0.25","0.0625","0.05","0.0125","0.0625","0.015625","25","44.44444444","25","0.104166667","0.416666667","0.520833333","0.9375","0.416666667","1.666666667","2.083333333","3.75"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01027","","","","16","15","2","1","","2","2","10","2","2","0.15","0.05","1","7","1","1","8","6","0.12","0.2","1.2","4","0.075","0.025","0.05","0.4","0.25","0.2","0.125","0.02","0.0125","0.1","0.0625","50","16.66666667","62.5","0.3125","0.416666667","2.083333333","2.5","0.5","0.666666667","3.333333333","4"
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01028","","","","16","7","1","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01029","","","","16","12","2","2","3","1","3","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01030","","","","16","7","2","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01031","","","","16","9","1","3","7","2","3","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017KAC-PT03","","","","","","","","","UGP2017KAC-PT03-01032","","","","16","1","1","","","1","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
