"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00001","","","","30","29","3","2","8","1","2","29","70","15","13","0.55","4","5","4","3","4","2","11.03","13.55","17.55","0.185714286","0.036666667","85","2.931034483","2.833333333","2.413793103","2.333333333","0.467241379","0.451666667","0.137931034","0.133333333","82.35294118","77.20797721","96.66666667","0.159411765","14.44444444","15.05555556","4.444444444","19.5","14.94252874","15.57471264","4.597701149","20.17241379"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00002","","","","30","28","4","3","7","1","3","28","8","12","1","0.2","4","5","2","1","2","3","11.03","1.2","5.2","0.125","0.016666667","20","0.714285714","0.666666667","0.285714286","0.266666667","0.042857143","0.04","0.142857143","0.133333333","40","23.07692308","93.33333333","0.06","1.111111111","1.333333333","4.444444444","5.777777778","1.19047619","1.428571429","4.761904762","6.19047619"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00003","","","","30","23","2","2","7","1","2","23","43","7","11","0.24","2","8","4","3","2","1","7.23","11.24","13.24","0.255813953","0.034285714","50","2.173913043","1.666666667","1.869565217","1.433333333","0.488695652","0.374666667","0.086956522","0.066666667","86","84.89425982","76.66666667","0.2248","12.22222222","12.48888889","2.222222222","14.71111111","15.94202899","16.28985507","2.898550725","19.1884058"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00004","","","","30","26","3","2","7","1","3","26","15","6","4","0.36","5.5","8","2","1","4","2","7.76","4.36","9.86","0.266666667","0.06","21","0.807692308","0.7","0.576923077","0.5","0.167692308","0.145333333","0.211538462","0.183333333","71.42857143","44.21906694","86.66666667","0.207619048","4.444444444","4.844444444","6.111111111","10.95555556","5.128205128","5.58974359","7.051282051","12.64102564"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00005","","","","30","29","2","2","9","1","2","29","20","8","3","0.4","19","3","2","1","3","3","1.76","3.4","22.4","0.15","0.05","28","0.965517241","0.933333333","0.689655172","0.666666667","0.117241379","0.113333333","0.655172414","0.633333333","71.42857143","15.17857143","96.66666667","0.121428571","3.333333333","3.777777778","21.11111111","24.88888889","3.448275862","3.908045977","21.83908046","25.74712644"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00006","","","","30","20","4","4","6","2","2","20","5","6","0.38","0.2","2","5","1","1","3","5","6.12","0.58","2.58","0.076","0.033333333","11","0.55","0.366666667","0.25","0.166666667","0.029","0.019333333","0.1","0.066666667","45.45454545","22.48062016","66.66666667","0.052727273","0.422222222","0.644444444","2.222222222","2.866666667","0.633333333","0.966666667","3.333333333","4.3"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00007","","","","30","30","2","3","9","1","2","30","71","16","14","1","9","4","2","1","3","1","10.5","15","24","0.197183099","0.0625","87","2.9","2.9","2.366666667","2.366666667","0.5","0.5","0.3","0.3","81.6091954","62.5","100","0.172413793","15.55555556","16.66666667","10","26.66666667","15.55555556","16.66666667","10","26.66666667"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00008","","","","30","28","2","2","8","1","3","28","50","20","13","0.48","6","9","2","1","5","1","7.76","13.48","19.48","0.26","0.024","70","2.5","2.333333333","1.785714286","1.666666667","0.481428571","0.449333333","0.214285714","0.2","71.42857143","69.19917864","93.33333333","0.192571429","14.44444444","14.97777778","6.666666667","21.64444444","15.47619048","16.04761905","7.142857143","23.19047619"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00009","","","","30","27","3","3","8","1","2","27","55","50","9","1.4","7","4","2","1","8","2","7.23","10.4","17.4","0.163636364","0.028","105","3.888888889","3.5","2.037037037","1.833333333","0.385185185","0.346666667","0.259259259","0.233333333","52.38095238","59.77011494","90","0.099047619","10","11.55555556","7.777777778","19.33333333","11.11111111","12.83950617","8.641975309","21.48148148"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00010","","","","30","30","2","2","9","1","2","30","48","15","10","0.6","16","6","2","1","3","2","0","10.6","26.6","0.208333333","0.04","63","2.1","2.1","1.6","1.6","0.353333333","0.353333333","0.533333333","0.533333333","76.19047619","39.84962406","100","0.168253968","11.11111111","11.77777778","17.77777778","29.55555556","11.11111111","11.77777778","17.77777778","29.55555556"
