"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00001","","","","20","10","2","2","9","2","2","9","16","0","2.5","0","14","3","2","1","4","3","0","2.5","16.5","16","0.15625","","0.15625","1.777777778","0.8","1.777777778","0.8","0.277777778","0.125","1.555555556","0.7","100","15.15151515","45","4.166666667","4.166666667","23.33333333","27.5","9.259259259","9.259259259","51.85185185","61.11111111"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00002","","","","20","3","1","3","5","1","2","3","9","0","2.5","0","1","3","5","1","5","5","0.12","2.5","3.5","9","0.277777778","","0.277777778","3","0.45","3","0.45","0.833333333","0.125","0.333333333","0.05","100","71.42857143","15","4.166666667","4.166666667","1.666666667","5.833333333","27.77777778","27.77777778","11.11111111","38.88888889"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00003","","","","20","9","1","3","8","1","2","7","9","1","2.5","0.05","5.5","7","2","3","5","3","0","2.55","8.05","10","0.277777778","0.05","0.255","1.428571429","0.5","1.285714286","0.45","0.364285714","0.1275","0.785714286","0.275","90","31.67701863","35","4.166666667","4.25","9.166666667","13.41666667","11.9047619","12.14285714","26.19047619","38.33333333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00004","","","","20","7","2","3","7","2","3","6","32","3","6.5","0.02","3","3","4","1","3","4","0","6.52","9.52","35","0.203125","0.006666667","0.186285714","5.833333333","1.75","5.333333333","1.6","1.086666667","0.326","0.5","0.15","91.42857143","68.48739496","30","10.83333333","10.86666667","5","15.86666667","36.11111111","36.22222222","16.66666667","52.88888889"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00005","","","","20","8","1","5","7","1","3","7","9","0","2","0","6","3","3","1","2","3","0.15","2","8","9","0.222222222","","0.222222222","1.285714286","0.45","1.285714286","0.45","0.285714286","0.1","0.857142857","0.3","100","25","35","3.333333333","3.333333333","10","13.33333333","9.523809524","9.523809524","28.57142857","38.0952381"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00006","","","","20","4","2","3","8","1","3","4","10","3","3","0.01","9","6","3","1","3","2","0","3.01","12.01","13","0.3","0.003333333","0.231538462","3.25","0.65","2.5","0.5","0.7525","0.1505","2.25","0.45","76.92307692","25.06244796","20","5","5.016666667","15","20.01666667","25","25.08333333","75","100.0833333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00007","","","","20","4","2","3","5","2","2","4","0","0","0","0","2","","","","","","","0","2","0","","","","0","0","0","0","0","0","0.5","0.1","","0","20","0","0","3.333333333","3.333333333","0","0","16.66666667","16.66666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00008","","","","20","9","2","2","7","1","2","7","15","0","6.5","0","11","3","3","1","3","2","0","6.5","17.5","15","0.433333333","","0.433333333","2.142857143","0.75","2.142857143","0.75","0.928571429","0.325","1.571428571","0.55","100","37.14285714","35","10.83333333","10.83333333","18.33333333","29.16666667","30.95238095","30.95238095","52.38095238","83.33333333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00009","","","","20","6","1","4","6","1","2","6","20","0","4","0","6","3","4","1","5","4","0","4","10","20","0.2","","0.2","3.333333333","1","3.333333333","1","0.666666667","0.2","1","0.3","100","40","30","6.666666667","6.666666667","10","16.66666667","22.22222222","22.22222222","33.33333333","55.55555556"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00010","","","","20","7","1","4","6","1","2","5","23","0","9","0","4","3","2","1","","1","0.12","9","13","23","0.391304348","","0.391304348","4.6","1.15","4.6","1.15","1.8","0.45","0.8","0.2","100","69.23076923","25","15","15","6.666666667","21.66666667","60","60","26.66666667","86.66666667"
