"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00001","","","","30","25","2","4","9","2","2","25","69","39","21","0.7","33","3","3","1","3","2","0","21.7","54.7","108","0.304347826","0.017948718","0.200925926","4.32","3.6","2.76","2.3","0.868","0.723333333","1.32","1.1","63.88888889","39.67093236","83.33333333","23.33333333","24.11111111","36.66666667","60.77777778","28","28.93333333","44","72.93333333"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00002","","","","30","20","2","5","7","2","2","15","29","8","8.5","0.48","15","3","5","1","4","2","0.02","8.98","23.98","37","0.293103448","0.06","0.242702703","2.466666667","1.233333333","1.933333333","0.966666667","0.598666667","0.299333333","1","0.5","78.37837838","37.44787323","50","9.444444444","9.977777778","16.66666667","26.64444444","18.88888889","19.95555556","33.33333333","53.28888889"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00004","","","","30","27","2","6","8","2","2","26","69","20","12.5","0.98","35","6","2","1","5","3","0","13.48","48.48","89","0.18115942","0.049","0.151460674","3.423076923","2.966666667","2.653846154","2.3","0.518461538","0.449333333","1.346153846","1.166666667","77.52808989","27.80528053","86.66666667","13.88888889","14.97777778","38.88888889","53.86666667","16.02564103","17.28205128","44.87179487","62.15384615"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00005","","","","30","28","3","3","8","2","2","27","10","0","3.5","0","45","8","3","1","4","2","0","3.5","48.5","10","0.35","","0.35","0.37037037","0.333333333","0.37037037","0.333333333","0.12962963","0.116666667","1.666666667","1.5","100","7.216494845","90","3.888888889","3.888888889","50","53.88888889","4.320987654","4.320987654","55.55555556","59.87654321"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00006","","","","30","28","2","3","8","2","2","28","25","17","5.9","0.9","43","8","2","1","7","3","0","6.8","49.8","42","0.236","0.052941176","0.161904762","1.5","1.4","0.892857143","0.833333333","0.242857143","0.226666667","1.535714286","1.433333333","59.52380952","13.65461847","93.33333333","6.555555556","7.555555556","47.77777778","55.33333333","7.023809524","8.095238095","51.19047619","59.28571429"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00007","","","","30","21","3","8","6","2","2","21","48","24","6.9","1","12","3","3","1","3","3","0","7.9","19.9","72","0.14375","0.041666667","0.109722222","3.428571429","2.4","2.285714286","1.6","0.376190476","0.263333333","0.571428571","0.4","66.66666667","39.69849246","70","7.666666667","8.777777778","13.33333333","22.11111111","10.95238095","12.53968254","19.04761905","31.58730159"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00008","","","","30","22","2","5","8","2","2","22","34","0","15","0","27","3","2","1","4","2","0","15","42","34","0.441176471","","0.441176471","1.545454545","1.133333333","1.545454545","1.133333333","0.681818182","0.5","1.227272727","0.9","100","35.71428571","73.33333333","16.66666667","16.66666667","30","46.66666667","22.72727273","22.72727273","40.90909091","63.63636364"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00009","","","","30","18","4","3","9","2","2","18","38","7","13","0.37","50","5","2","1","6","2","0.12","13.37","63.37","45","0.342105263","0.052857143","0.297111111","2.5","1.5","2.111111111","1.266666667","0.742777778","0.445666667","2.777777778","1.666666667","84.44444444","21.0983115","60","14.44444444","14.85555556","55.55555556","70.41111111","24.07407407","24.75925926","92.59259259","117.3518519"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00010","","","","30","12","3","8","6","2","3","12","8","7","1.1","0.2","14","5","2","1","2","6","7.76","1.3","15.3","15","0.1375","0.028571429","0.086666667","1.25","0.5","0.666666667","0.266666667","0.108333333","0.043333333","1.166666667","0.466666667","53.33333333","8.496732026","40","1.222222222","1.444444444","15.55555556","17","3.055555556","3.611111111","38.88888889","42.5"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00011","","","","30","29","3","2","9","2","2","25","21","26","3","1.1","70","8","3","1","3","5","0","4.1","74.1","47","0.142857143","0.042307692","0.087234043","1.88","1.566666667","0.84","0.7","0.164","0.136666667","2.8","2.333333333","44.68085106","5.533063428","83.33333333","3.333333333","4.555555556","77.77777778","82.33333333","4","5.466666667","93.33333333","98.8"
