"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00001","","","","16","15","2","4","5","1","2","13","44","18","11","0.54","8","6","1","1","4","7.76","11.54","19.54","62","0.25","0.03","0.186129032","4.769230769","3.875","3.384615385","2.75","0.887692308","0.72125","0.615384615","0.5","70.96774194","59.05834186","81.25","22.91666667","24.04166667","16.66666667","40.70833333","28.20512821","29.58974359","20.51282051","50.1025641"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00002","","","","16","15","3","4","6","1","1","15","37","72","4","1.5","3.5","2","6","8","3","1.32","5.5","9","109","0.108108108","0.020833333","0.050458716","7.266666667","6.8125","2.466666667","2.3125","0.366666667","0.34375","0.233333333","0.21875","33.94495413","61.11111111","93.75","8.333333333","11.45833333","7.291666667","18.75","8.888888889","12.22222222","7.777777778","20"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00003","","","","16","16","1","5","4","1","1","13","33","23","3","0.6","3.2","6","4","5","2","7.76","3.6","6.8","56","0.090909091","0.026086957","0.064285714","4.307692308","3.5","2.538461538","2.0625","0.276923077","0.225","0.246153846","0.2","58.92857143","52.94117647","81.25","6.25","7.5","6.666666667","14.16666667","7.692307692","9.230769231","8.205128205","17.43589744"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00004","","","","16","14","3","5","4","1","1","14","27","27","2.5","0.64","7","6","6","5","3","0.15","3.14","10.14","54","0.092592593","0.023703704","0.058148148","3.857142857","3.375","1.928571429","1.6875","0.224285714","0.19625","0.5","0.4375","50","30.96646943","87.5","5.208333333","6.541666667","14.58333333","21.125","5.952380952","7.476190476","16.66666667","24.14285714"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00005","","","","16","16","3","4","9","1","1","15","43","80","4","1","6","5","4","3","3","1.38","5","11","123","0.093023256","0.0125","0.040650407","8.2","7.6875","2.866666667","2.6875","0.333333333","0.3125","0.4","0.375","34.95934959","45.45454545","93.75","8.333333333","10.41666667","12.5","22.91666667","8.888888889","11.11111111","13.33333333","24.44444444"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00006","","","","16","14","4","3","8","1","1","14","33","28","3.5","0.6","5.3","3","3","2","4","0","4.1","9.4","61","0.106060606","0.021428571","0.067213115","4.357142857","3.8125","2.357142857","2.0625","0.292857143","0.25625","0.378571429","0.33125","54.09836066","43.61702128","87.5","7.291666667","8.541666667","11.04166667","19.58333333","8.333333333","9.761904762","12.61904762","22.38095238"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00007","","","","16","15","1","3","7","1","1","14","53","38","9","1.5","7.8","5","3","5","5","12.39","10.5","18.3","91","0.169811321","0.039473684","0.115384615","6.5","5.6875","3.785714286","3.3125","0.75","0.65625","0.557142857","0.4875","58.24175824","57.37704918","87.5","18.75","21.875","16.25","38.125","21.42857143","25","18.57142857","43.57142857"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00008","","","","16","15","1","3","6","1","1","13","35","20","4","0.48","6.7","7","5","3","4","1.65","4.48","11.18","55","0.114285714","0.024","0.081454545","4.230769231","3.4375","2.692307692","2.1875","0.344615385","0.28","0.515384615","0.41875","63.63636364","40.07155635","81.25","8.333333333","9.333333333","13.95833333","23.29166667","10.25641026","11.48717949","17.17948718","28.66666667"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00009","","","","16","14","1","3","9","1","1","13","26","27","5.5","0.6","8","5","1","2","4","12.39","6.1","14.1","53","0.211538462","0.022222222","0.11509434","4.076923077","3.3125","2","1.625","0.469230769","0.38125","0.615384615","0.5","49.05660377","43.26241135","81.25","11.45833333","12.70833333","16.66666667","29.375","14.1025641","15.64102564","20.51282051","36.15384615"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00010","","","","16","15","2","3","9","1","1","13","32","65","4.5","2.5","13.5","6","4","8","4","0","7","20.5","97","0.140625","0.038461538","0.072164948","7.461538462","6.0625","2.461538462","2","0.538461538","0.4375","1.038461538","0.84375","32.98969072","34.14634146","81.25","9.375","14.58333333","28.125","42.70833333","11.53846154","17.94871795","34.61538462","52.56410256"
