"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00001","","","","16","9","2","2","","2","1","9","19","25","3.9","1","13","6","4","3","2","1","0.02","4.9","17.9","44","0.205263158","0.04","0.111363636","4.888888889","2.75","2.111111111","1.1875","0.544444444","0.30625","1.444444444","0.8125","43.18181818","27.37430168","56.25","8.125","10.20833333","27.08333333","37.29166667","14.44444444","18.14814815","48.14814815","66.2962963"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00002","","","","16","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00003","","","","16","14","1","2","","1","2","9","45","17","28.4","0.9","11.2","6","1","2","2","1","1.38","29.3","40.5","62","0.631111111","0.052941176","0.472580645","6.888888889","3.875","5","2.8125","3.255555556","1.83125","1.244444444","0.7","72.58064516","72.34567901","56.25","59.16666667","61.04166667","23.33333333","84.375","105.1851852","108.5185185","41.48148148","150"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00004","","","","16","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00005","","","","16","16","2","3","","1","3","11","67","100","17.6","4.8","16","6","4","8","4","1","4.61","22.4","38.4","167","0.262686567","0.048","0.134131737","15.18181818","10.4375","6.090909091","4.1875","2.036363636","1.4","1.454545455","1","40.11976048","58.33333333","68.75","36.66666667","46.66666667","33.33333333","80","53.33333333","67.87878788","48.48484848","116.3636364"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00006","","","","16","13","3","4","7","2","2","9","30","20","8","0.9","13.8","2","4","8","2","1","0","8.9","22.7","50","0.266666667","0.045","0.178","5.555555556","3.125","3.333333333","1.875","0.988888889","0.55625","1.533333333","0.8625","60","39.20704846","56.25","16.66666667","18.54166667","28.75","47.29166667","29.62962963","32.96296296","51.11111111","84.07407407"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00007","","","","16","13","1","3","8","2","2","9","39","27","16","1.3","11.8","4","1","8","3","1","11.03","17.3","29.1","66","0.41025641","0.048148148","0.262121212","7.333333333","4.125","4.333333333","2.4375","1.922222222","1.08125","1.311111111","0.7375","59.09090909","59.45017182","56.25","33.33333333","36.04166667","24.58333333","60.625","59.25925926","64.07407407","43.7037037","107.7777778"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00008","","","","16","10","1","2","9","2","2","10","47","13","14.2","0.8","22.6","7","2","2","2","1","7.76","15","37.6","60","0.30212766","0.061538462","0.25","6","3.75","4.7","2.9375","1.5","0.9375","2.26","1.4125","78.33333333","39.89361702","62.5","29.58333333","31.25","47.08333333","78.33333333","47.33333333","50","75.33333333","125.3333333"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00009","","","","16","15","2","2","8","2","2","11","90","46","23","1.8","10.4","4","2","2","2","2","7.23","24.8","35.2","136","0.255555556","0.039130435","0.182352941","12.36363636","8.5","8.181818182","5.625","2.254545455","1.55","0.945454545","0.65","66.17647059","70.45454545","68.75","47.91666667","51.66666667","21.66666667","73.33333333","69.6969697","75.15151515","31.51515152","106.6666667"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00010","","","","16","12","3","4","8","2","2","10","39","17","9.45","0.75","16.5","7","4","2","4","1","0","10.2","26.7","56","0.242307692","0.044117647","0.182142857","5.6","3.5","3.9","2.4375","1.02","0.6375","1.65","1.03125","69.64285714","38.20224719","62.5","19.6875","21.25","34.375","55.625","31.5","34","55","89"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00011","","","","16","10","1","1","5","2","2","7","15","18","3.2","0.7","4.6","6","5","3","2","1","0.02","3.9","8.5","33","0.213333333","0.038888889","0.118181818","4.714285714","2.0625","2.142857143","0.9375","0.557142857","0.24375","0.657142857","0.2875","45.45454545","45.88235294","43.75","6.666666667","8.125","9.583333333","17.70833333","15.23809524","18.57142857","21.9047619","40.47619048"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00012","","","","16","1","1","1","3","2","2","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00013","","","","16","7","2","3","5","2","2","6","31","20","7","1","11.8","7","3","2","2","1","0","8","19.8","51","0.225806452","0.05","0.156862745","8.5","3.1875","5.166666667","1.9375","1.333333333","0.5","1.966666667","0.7375","60.78431373","40.4040404","37.5","14.58333333","16.66666667","24.58333333","41.25","38.88888889","44.44444444","65.55555556","110"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00014","","","","16","6","2","2","5","2","2","6","7","4","1.1","0.03","0.4","7","5","3","3","1","1.38","1.13","1.53","11","0.157142857","0.0075","0.102727273","1.833333333","0.6875","1.166666667","0.4375","0.188333333","0.070625","0.066666667","0.025","63.63636364","73.85620915","37.5","2.291666667","2.354166667","0.833333333","3.1875","6.111111111","6.277777778","2.222222222","8.5"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00015","","","","16","12","1","1","9","2","1","8","44","15","11.2","0.7","22","6","2","2","2","1","0.15","11.9","33.9","59","0.254545455","0.046666667","0.201694915","7.375","3.6875","5.5","2.75","1.4875","0.74375","2.75","1.375","74.57627119","35.10324484","50","23.33333333","24.79166667","45.83333333","70.625","46.66666667","49.58333333","91.66666667","141.25"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00016","","","","16","11","2","2","6","2","2","11","20","13","7.2","0.6","7.2","6","4","6","4","1","4.92","7.8","15","33","0.36","0.046153846","0.236363636","3","2.0625","1.818181818","1.25","0.709090909","0.4875","0.654545455","0.45","60.60606061","52","68.75","15","16.25","15","31.25","21.81818182","23.63636364","21.81818182","45.45454545"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00017","","","","16","6","2","4","4","2","2","4","13","18","3.4","0.5","3.2","2","5","2","3","1","1.5","3.9","7.1","31","0.261538462","0.027777778","0.125806452","7.75","1.9375","3.25","0.8125","0.975","0.24375","0.8","0.2","41.93548387","54.92957746","25","7.083333333","8.125","6.666666667","14.79166667","28.33333333","32.5","26.66666667","59.16666667"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00018","","","","16","4","2","2","5","2","2","4","4","1","1.2","0.05","0.2","7","6","1","3","1","0","1.25","1.45","5","0.3","0.05","0.25","1.25","0.3125","1","0.25","0.3125","0.078125","0.05","0.0125","80","86.20689655","25","2.5","2.604166667","0.416666667","3.020833333","10","10.41666667","1.666666667","12.08333333"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00019","","","","16","11","1","2","4","2","3","10","11","20","2.4","0.55","0.1","6","5","2","4","1","1.65","2.95","3.05","31","0.218181818","0.0275","0.09516129","3.1","1.9375","1.1","0.6875","0.295","0.184375","0.01","0.00625","35.48387097","96.72131148","62.5","5","6.145833333","0.208333333","6.354166667","8","9.833333333","0.333333333","10.16666667"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00020","","","","16","15","1","3","8","2","2","6","43","21","25.2","0.5","20.4","7","1","2","3","2","11.03","25.7","46.1","64","0.586046512","0.023809524","0.4015625","10.66666667","4","7.166666667","2.6875","4.283333333","1.60625","3.4","1.275","67.1875","55.7483731","37.5","52.5","53.54166667","42.5","96.04166667","140","142.7777778","113.3333333","256.1111111"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00021","","","","16","10","2","2","6","2","2","10","20","22","3.8","1.1","10.4","4","6","8","3","1","12.39","4.9","15.3","42","0.19","0.05","0.116666667","4.2","2.625","2","1.25","0.49","0.30625","1.04","0.65","47.61904762","32.02614379","62.5","7.916666667","10.20833333","21.66666667","31.875","12.66666667","16.33333333","34.66666667","51"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00022","","","","16","15","4","7","8","2","2","12","50","49","13.8","1.5","18.2","4","2","2","2","1","0","15.3","33.5","99","0.276","0.030612245","0.154545455","8.25","6.1875","4.166666667","3.125","1.275","0.95625","1.516666667","1.1375","50.50505051","45.67164179","75","28.75","31.875","37.91666667","69.79166667","38.33333333","42.5","50.55555556","93.05555556"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00023","","","","16","10","2","3","6","1","2","8","29","19","6","0.8","11.2","7","3","2","4","2","0","6.8","18","48","0.206896552","0.042105263","0.141666667","6","3","3.625","1.8125","0.85","0.425","1.4","0.7","60.41666667","37.77777778","50","12.5","14.16666667","23.33333333","37.5","25","28.33333333","46.66666667","75"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00024","","","","16","12","1","2","5","2","2","8","30","10","9.4","0.3","9","6","2","1","3","1","0.02","9.7","18.7","40","0.313333333","0.03","0.2425","5","2.5","3.75","1.875","1.2125","0.60625","1.125","0.5625","75","51.87165775","50","19.58333333","20.20833333","18.75","38.95833333","39.16666667","40.41666667","37.5","77.91666667"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00025","","","","16","13","2","2","8","2","3","11","11","33","4.4","0.9","8.2","7","4","3","4","3","0","5.3","13.5","44","0.4","0.027272727","0.120454545","4","2.75","1","0.6875","0.481818182","0.33125","0.745454545","0.5125","25","39.25925926","68.75","9.166666667","11.04166667","17.08333333","28.125","13.33333333","16.06060606","24.84848485","40.90909091"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00026","","","","16","9","1","2","7","2","2","5","30","34","10","2","13.8","7","3","2","3","1","1.65","12","25.8","64","0.333333333","0.058823529","0.1875","12.8","4","6","1.875","2.4","0.75","2.76","0.8625","46.875","46.51162791","31.25","20.83333333","25","28.75","53.75","66.66666667","80","92","172"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00027","","","","16","2","2","2","6","1","2","2","19","27","6.4","1.5","4.6","2","4","8","3","1","0","7.9","12.5","46","0.336842105","0.055555556","0.17173913","23","2.875","9.5","1.1875","3.95","0.49375","2.3","0.2875","41.30434783","63.2","12.5","13.33333333","16.45833333","9.583333333","26.04166667","106.6666667","131.6666667","76.66666667","208.3333333"
