"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01001","","","","30","20","21","30","5","5","2","2","4","2","4","7","2","2","2.2","0.8","0.8","10.5","3","3.8","0.11","0.038095238","41","1.366666667","1.366666667","0.666666667","0.666666667","0.1","0.1","0.026666667","0.026666667","48.7804878","78.94736842","100","0.073170732","2.444444444","3.333333333","0.888888889","4.222222222","2.444444444","3.333333333","0.888888889","4.222222222"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01006","","","","30","43","62","30","3","2","1","2","5","3","4","7","2","2","4","1.6","3","10.5","5.6","8.6","0.093023256","0.025806452","105","3.5","3.5","1.433333333","1.433333333","0.186666667","0.186666667","0.1","0.1","40.95238095","65.11627907","100","0.053333333","4.444444444","6.222222222","3.333333333","9.555555556","4.444444444","6.222222222","3.333333333","9.555555556"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01002","","","","30","17","105","30","8","3","2","2","3","6","5","8","1","2","1.8","2.45","4.5","12.39","4.25","8.75","0.105882353","0.023333333","122","4.066666667","4.066666667","0.566666667","0.566666667","0.141666667","0.141666667","0.15","0.15","13.93442623","48.57142857","100","0.034836066","2","4.722222222","5","9.722222222","2","4.722222222","5","9.722222222"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01011","","","","30","33","58","30","5","2","1","1","1","3","3","6","2","2","3.8","1.5","3.2","3.96","5.3","8.5","0.115151515","0.025862069","91","3.033333333","3.033333333","1.1","1.1","0.176666667","0.176666667","0.106666667","0.106666667","36.26373626","62.35294118","100","0.058241758","4.222222222","5.888888889","3.555555556","9.444444444","4.222222222","5.888888889","3.555555556","9.444444444"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01008","","","","30","44","19","30","9","2","1","2","3","3","5","7","1","2","4.2","0.5","1.5","14.37","4.7","6.2","0.095454545","0.026315789","63","2.1","2.1","1.466666667","1.466666667","0.156666667","0.156666667","0.05","0.05","69.84126984","75.80645161","100","0.074603175","4.666666667","5.222222222","1.666666667","6.888888889","4.666666667","5.222222222","1.666666667","6.888888889"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01005","","","","30","32","34","29","3","2","1","2","3","4","5","7","2","2","3.5","0.7","5","10.5","4.2","9.2","0.109375","0.020588235","66","2.275862069","2.2","1.103448276","1.066666667","0.144827586","0.14","0.172413793","0.166666667","48.48484848","45.65217391","96.66666667","0.063636364","3.888888889","4.666666667","5.555555556","10.22222222","4.022988506","4.827586207","5.747126437","10.57471264"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01004","","","","30","23","31","30","8","1","1","2","1","4","5","7","2","2","2.5","0.8","1.5","7.76","3.3","4.8","0.108695652","0.025806452","54","1.8","1.8","0.766666667","0.766666667","0.11","0.11","0.05","0.05","42.59259259","68.75","100","0.061111111","2.777777778","3.666666667","1.666666667","5.333333333","2.777777778","3.666666667","1.666666667","5.333333333"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01012","","","","30","36","15","30","8","2","2","2","3","4","2","8","2","3","13","0.6","11","11.03","13.6","24.6","0.361111111","0.04","51","1.7","1.7","1.2","1.2","0.453333333","0.453333333","0.366666667","0.366666667","70.58823529","55.28455285","100","0.266666667","14.44444444","15.11111111","12.22222222","27.33333333","14.44444444","15.11111111","12.22222222","27.33333333"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01007","","","","30","36","68","29","5","2","1","2","1","4","5","6","2","2","3","1.2","3","11.03","4.2","7.2","0.083333333","0.017647059","104","3.586206897","3.466666667","1.24137931","1.2","0.144827586","0.14","0.103448276","0.1","34.61538462","58.33333333","96.66666667","0.040384615","3.333333333","4.666666667","3.333333333","8","3.448275862","4.827586207","3.448275862","8.275862069"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01010","","","","30","64","38","30","9","2","1","1","3","6","2","7","2","2","15.5","1.25","6","12.39","16.75","22.75","0.2421875","0.032894737","102","3.4","3.4","2.133333333","2.133333333","0.558333333","0.558333333","0.2","0.2","62.74509804","73.62637363","100","0.164215686","17.22222222","18.61111111","6.666666667","25.27777778","17.22222222","18.61111111","6.666666667","25.27777778"
