"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00001","","","","10","2","4","1","1","2","2","2","6","14","0.75","0.45","0.35","5","1","3","2","5","4.92","1.2","1.55","20","0.125","0.032142857","0.06","10","2","3","0.6","0.6","0.12","0.175","0.035","30","77.41935484","20","2.5","4","1.166666667","5.166666667","12.5","20","5.833333333","25.83333333"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00002","","","","10","6","2","1","1","2","2","6","2","30","2.5","0.45","5","2","1","1","4","6","0.12","2.95","7.95","32","1.25","0.015","0.0921875","5.333333333","3.2","0.333333333","0.2","0.491666667","0.295","0.833333333","0.5","6.25","37.10691824","60","8.333333333","9.833333333","16.66666667","26.5","13.88888889","16.38888889","27.77777778","44.16666667"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00003","","","","10","7","6","2","3","1","2","5","7","5","0.5","0.1","0.5","3","2","5","7","6","1.38","0.6","1.1","12","0.071428571","0.02","0.05","2.4","1.2","1.4","0.7","0.12","0.06","0.1","0.05","58.33333333","54.54545455","50","1.666666667","2","1.666666667","3.666666667","3.333333333","4","3.333333333","7.333333333"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00004","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00005","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00006","","","","10","10","7","2","3","1","1","6","7","2","0.85","0.05","0.8","3","2","1","7","6","11.03","0.9","1.7","9","0.121428571","0.025","0.1","1.5","0.9","1.166666667","0.7","0.15","0.09","0.133333333","0.08","77.77777778","52.94117647","60","2.833333333","3","2.666666667","5.666666667","4.722222222","5","4.444444444","9.444444444"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00007","","","","10","10","8","2","3","1","1","6","30","24","2.8","1.3","3.5","3","1","3","7","6","11.03","4.1","7.6","54","0.093333333","0.054166667","0.075925926","9","5.4","5","3","0.683333333","0.41","0.583333333","0.35","55.55555556","53.94736842","60","9.333333333","13.66666667","11.66666667","25.33333333","15.55555556","22.77777778","19.44444444","42.22222222"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00008","","","","10","6","8","2","3","1","2","6","11","12","1.95","1.1","1.5","3","1","3","7","5","10.5","3.05","4.55","23","0.177272727","0.091666667","0.132608696","3.833333333","2.3","1.833333333","1.1","0.508333333","0.305","0.25","0.15","47.82608696","67.03296703","60","6.5","10.16666667","5","15.16666667","10.83333333","16.94444444","8.333333333","25.27777778"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00009","","","","10","8","8","2","4","2","2","7","19","39","3.1","2.4","5","3","1","3","7","4","11.03","5.5","10.5","58","0.163157895","0.061538462","0.094827586","8.285714286","5.8","2.714285714","1.9","0.785714286","0.55","0.714285714","0.5","32.75862069","52.38095238","70","10.33333333","18.33333333","16.66666667","35","14.76190476","26.19047619","23.80952381","50"
"","","UGP2018KAC-OT01","","","","","","","","","UGP2018KAC-OT01-00010","","","","10","7","5","1","3","2","2","6","10","11","1.6","0.55","1.5","3","2","3","7","5","11.03","2.15","3.65","21","0.16","0.05","0.102380952","3.5","2.1","1.666666667","1","0.358333333","0.215","0.25","0.15","47.61904762","58.90410959","60","5.333333333","7.166666667","5","12.16666667","8.888888889","11.94444444","8.333333333","20.27777778"
