"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01001","","","","10","10","2","2","8","2","3","9","7","8","1.4","0.4","3","3","3","1","7","4","3","1.8","4.8","0.2","0.05","15","1.666666667","0.777777778","0.2","0.333333333","46.66666667","37.5","0.12","4.666666667","6","10","16","1.5","0.7","0.18","0.3","90","5.185185185","6.666666667","11.11111111","17.77777778"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01002","","","","10","10","3","2","7","4","1","9","7","8","0.75","0.24","1.9","8","2","1","3","5","1","0.99","2.89","0.107142857","0.03","15","1.666666667","0.777777778","0.11","0.211111111","46.66666667","34.25605536","0.066","2.5","3.3","6.333333333","9.633333333","1.5","0.7","0.099","0.19","90","2.777777778","3.666666667","7.037037037","10.7037037"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01003","","","","10","10","2","2","5","1","2","10","18","11","0.75","0.2","3.15","3","6","1","7","7","1","0.95","4.1","0.041666667","0.018181818","29","2.9","1.8","0.095","0.315","62.06896552","23.17073171","0.032758621","2.5","3.166666667","10.5","13.66666667","2.9","1.8","0.095","0.315","100","2.5","3.166666667","10.5","13.66666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01004","","","","10","10","1","1","8","1","2","10","19","0","1.085","0","0.35","3","2","1","4","4","1","1.085","1.435","0.057105263","","19","1.9","1.9","0.1085","0.035","100","75.6097561","0.057105263","3.616666667","3.616666667","1.166666667","4.783333333","1.9","1.9","0.1085","0.035","100","3.616666667","3.616666667","1.166666667","4.783333333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01005","","","","10","10","2","1","6","2","2","10","3","9","1","0.85","1.95","3","7","2","4","3","1","1.85","3.8","0.333333333","0.094444444","12","1.2","0.3","0.185","0.195","25","48.68421053","0.154166667","3.333333333","6.166666667","6.5","12.66666667","1.2","0.3","0.185","0.195","100","3.333333333","6.166666667","6.5","12.66666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01006","","","","10","10","3","1","9","3","2","10","19","8","2.65","0.37","3.15","9","6","1","4","3","4","3.02","6.17","0.139473684","0.04625","27","2.7","1.9","0.302","0.315","70.37037037","48.9465154","0.111851852","8.833333333","10.06666667","10.5","20.56666667","2.7","1.9","0.302","0.315","100","8.833333333","10.06666667","10.5","20.56666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01007","","","","10","10","2","1","7","2","2","9","1","13","0.09","0.22","1.15","8","4","1","6","7","1","0.31","1.46","0.09","0.016923077","14","1.555555556","0.111111111","0.034444444","0.127777778","7.142857143","21.23287671","0.022142857","0.3","1.033333333","3.833333333","4.866666667","1.4","0.1","0.031","0.115","90","0.333333333","1.148148148","4.259259259","5.407407407"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01008","","","","10","10","2","2","5","3","2","9","4","8","0.29","0.29","0.55","3","7","1","7","7","1","0.58","1.13","0.0725","0.03625","12","1.333333333","0.444444444","0.064444444","0.061111111","33.33333333","51.32743363","0.048333333","0.966666667","1.933333333","1.833333333","3.766666667","1.2","0.4","0.058","0.055","90","1.074074074","2.148148148","2.037037037","4.185185185"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01009","","","","10","10","1","1","6","1","2","8","3","6","0.13","0.06","0.31","3","3","1","3","3","1","0.19","0.5","0.043333333","0.01","9","1.125","0.375","0.02375","0.03875","33.33333333","38","0.021111111","0.433333333","0.633333333","1.033333333","1.666666667","0.9","0.3","0.019","0.031","80","0.541666667","0.791666667","1.291666667","2.083333333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01010","","","","10","10","2","2","8","3","2","6","4","3","0.4","0.12","0.5","2","2","2","4","4","1","0.52","1.02","0.1","0.04","7","1.166666667","0.666666667","0.086666667","0.083333333","57.14285714","50.98039216","0.074285714","1.333333333","1.733333333","1.666666667","3.4","0.7","0.4","0.052","0.05","60","2.222222222","2.888888889","2.777777778","5.666666667"
