"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00764","","","","3","3","2","2","8","2","2","3","3","1","2.2","0.04","0.5","5","3","6","2","4","6","2.24","2.74","4","0.733333333","0.04","0.56","1.333333333","1.333333333","1","1","0.746666667","0.746666667","0.166666667","0.166666667","75","81.75182482","100","24.44444444","24.88888889","5.555555556","30.44444444","24.44444444","24.88888889","5.555555556","30.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00870","","","","3","3","4","2","8","3","2","3","4","6","3","0.4","6","3","1","6","3","1","1","3.4","9.4","10","0.75","0.066666667","0.34","3.333333333","3.333333333","1.333333333","1.333333333","1.133333333","1.133333333","2","2","40","36.17021277","100","33.33333333","37.77777778","66.66666667","104.4444444","33.33333333","37.77777778","66.66666667","104.4444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00012","","","","3","3","5","2","8","4","2","2","7","3","2","0.17","2","3","2","6","2","3","6","2.17","4.17","10","0.285714286","0.056666667","0.217","5","3.333333333","3.5","2.333333333","1.085","0.723333333","1","0.666666667","70","52.0383693","66.66666667","22.22222222","24.11111111","22.22222222","46.33333333","33.33333333","36.16666667","33.33333333","69.5"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00034","","","","3","3","2","1","8","3","2","3","14","4","3.2","0.1","1","3","2","4","3","3","6","3.3","4.3","18","0.228571429","0.025","0.183333333","6","6","4.666666667","4.666666667","1.1","1.1","0.333333333","0.333333333","77.77777778","76.74418605","100","35.55555556","36.66666667","11.11111111","47.77777778","35.55555556","36.66666667","11.11111111","47.77777778"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00056","","","","3","3","4","1","9","4","2","1","28","13","3","0.64","7","3","2","8","2","4","6","3.64","10.64","41","0.107142857","0.049230769","0.088780488","41","13.66666667","28","9.333333333","3.64","1.213333333","7","2.333333333","68.29268293","34.21052632","33.33333333","33.33333333","40.44444444","77.77777778","118.2222222","100","121.3333333","233.3333333","354.6666667"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00057","","","","3","2","2","1","7","2","2","2","15","7","5","0.3","8","3","2","3","2","3","6","5.3","13.3","22","0.333333333","0.042857143","0.240909091","11","7.333333333","7.5","5","2.65","1.766666667","4","2.666666667","68.18181818","39.84962406","66.66666667","55.55555556","58.88888889","88.88888889","147.7777778","83.33333333","88.33333333","133.3333333","221.6666667"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00079","","","","3","3","3","1","9","3","2","1","18","9","4.5","0.26","9.1","3","2","3","2","3","6","4.76","13.86","27","0.25","0.028888889","0.176296296","27","9","18","6","4.76","1.586666667","9.1","3.033333333","66.66666667","34.34343434","33.33333333","50","52.88888889","101.1111111","154","150","158.6666667","303.3333333","462"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00101","","","","3","3","1","1","8","3","2","3","11","8","3.2","0.3","1","3","2","7","3","1","6","3.5","4.5","19","0.290909091","0.0375","0.184210526","6.333333333","6.333333333","3.666666667","3.666666667","1.166666667","1.166666667","0.333333333","0.333333333","57.89473684","77.77777778","100","35.55555556","38.88888889","11.11111111","50","35.55555556","38.88888889","11.11111111","50"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00124","","","","3","3","4","2","8","4","2","3","11","1","4.4","0.01","2.5","3","2","3","3","1","6","4.41","6.91","12","0.4","0.01","0.3675","4","4","3.666666667","3.666666667","1.47","1.47","0.833333333","0.833333333","91.66666667","63.82054993","100","48.88888889","49","27.77777778","76.77777778","48.88888889","49","27.77777778","76.77777778"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00146","","","","3","3","3","1","8","4","2","3","7","2","1.4","0.02","2.9","3","2","7","2","1","8","1.42","4.32","9","0.2","0.01","0.157777778","3","3","2.333333333","2.333333333","0.473333333","0.473333333","0.966666667","0.966666667","77.77777778","32.87037037","100","15.55555556","15.77777778","32.22222222","48","15.55555556","15.77777778","32.22222222","48"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00168","","","","3","3","3","1","7","3","2","3","6","4","1.6","0.08","1","3","3","3","3","3","6","1.68","2.68","10","0.266666667","0.02","0.168","3.333333333","3.333333333","2","2","0.56","0.56","0.333333333","0.333333333","60","62.68656716","100","17.77777778","18.66666667","11.11111111","29.77777778","17.77777778","18.66666667","11.11111111","29.77777778"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00169","","","","3","3","3","1","7","3","2","3","7","4","2.5","0.08","1","3","3","4","3","3","8","2.58","3.58","11","0.357142857","0.02","0.234545455","3.666666667","3.666666667","2.333333333","2.333333333","0.86","0.86","0.333333333","0.333333333","63.63636364","72.06703911","100","27.77777778","28.66666667","11.11111111","39.77777778","27.77777778","28.66666667","11.11111111","39.77777778"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00191","","","","3","3","2","1","7","3","2","3","4","3","0.6","0.02","1.1","3","2","6","3","1","6","0.62","1.72","7","0.15","0.006666667","0.088571429","2.333333333","2.333333333","1.333333333","1.333333333","0.206666667","0.206666667","0.366666667","0.366666667","57.14285714","36.04651163","100","6.666666667","6.888888889","12.22222222","19.11111111","6.666666667","6.888888889","12.22222222","19.11111111"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00213","","","","3","3","1","1","6","3","2","3","2","1","0.35","0.01","0.9","2","1","3","4","1","6","0.36","1.26","3","0.175","0.01","0.12","1","1","0.666666667","0.666666667","0.12","0.12","0.3","0.3","66.66666667","28.57142857","100","3.888888889","4","10","14","3.888888889","4","10","14"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00236","","","","3","3","2","1","8","3","2","3","16","8","4.6","0.18","4","3","3","7","2","1","6","4.78","8.78","24","0.2875","0.0225","0.199166667","8","8","5.333333333","5.333333333","1.593333333","1.593333333","1.333333333","1.333333333","66.66666667","54.44191344","100","51.11111111","53.11111111","44.44444444","97.55555556","51.11111111","53.11111111","44.44444444","97.55555556"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00258","","","","3","3","3","1","8","2","2","3","18","9","5","0.36","3.7","3","2","6","1","1","8","5.36","9.06","27","0.277777778","0.04","0.198518519","9","9","6","6","1.786666667","1.786666667","1.233333333","1.233333333","66.66666667","59.1611479","100","55.55555556","59.55555556","41.11111111","100.6666667","55.55555556","59.55555556","41.11111111","100.6666667"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00280","","","","3","3","3","1","8","4","2","3","18","9","5.5","0.2","2.4","3","2","6","3","1","8","5.7","8.1","27","0.305555556","0.022222222","0.211111111","9","9","6","6","1.9","1.9","0.8","0.8","66.66666667","70.37037037","100","61.11111111","63.33333333","26.66666667","90","61.11111111","63.33333333","26.66666667","90"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00281","","","","3","3","1","1","8","3","2","3","11","8","4.2","0.5","1.1","3","2","6","1","1","8","4.7","5.8","19","0.381818182","0.0625","0.247368421","6.333333333","6.333333333","3.666666667","3.666666667","1.566666667","1.566666667","0.366666667","0.366666667","57.89473684","81.03448276","100","46.66666667","52.22222222","12.22222222","64.44444444","46.66666667","52.22222222","12.22222222","64.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00303","","","","3","3","1","1","9","3","2","3","17","10","6.3","0.4","9","3","2","3","3","1","8","6.7","15.7","27","0.370588235","0.04","0.248148148","9","9","5.666666667","5.666666667","2.233333333","2.233333333","3","3","62.96296296","42.67515924","100","70","74.44444444","100","174.4444444","70","74.44444444","100","174.4444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00325","","","","3","3","1","1","9","4","2","3","13","0","7.4","0","3","3","2","4","1","1","8","7.4","10.4","13","0.569230769","","0.569230769","4.333333333","4.333333333","4.333333333","4.333333333","2.466666667","2.466666667","1","1","100","71.15384615","100","82.22222222","82.22222222","33.33333333","115.5555556","82.22222222","82.22222222","33.33333333","115.5555556"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00348","","","","3","3","2","2","8","2","3","3","10","5","0.04","0.21","3.4","3","3","7","3","3","8","0.25","3.65","15","0.004","0.042","0.016666667","5","5","3.333333333","3.333333333","0.083333333","0.083333333","1.133333333","1.133333333","66.66666667","6.849315068","100","0.444444444","2.777777778","37.77777778","40.55555556","0.444444444","2.777777778","37.77777778","40.55555556"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00370","","","","3","3","1","1","7","3","2","3","13","5","2","0.01","1.5","3","3","4","2","1","6","2.01","3.51","18","0.153846154","0.002","0.111666667","6","6","4.333333333","4.333333333","0.67","0.67","0.5","0.5","72.22222222","57.26495726","100","22.22222222","22.33333333","16.66666667","39","22.22222222","22.33333333","16.66666667","39"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00392","","","","3","3","2","1","7","4","2","3","8","3","3","0.08","1.7","4","4","4","1","1","8","3.08","4.78","11","0.375","0.026666667","0.28","3.666666667","3.666666667","2.666666667","2.666666667","1.026666667","1.026666667","0.566666667","0.566666667","72.72727273","64.43514644","100","33.33333333","34.22222222","18.88888889","53.11111111","33.33333333","34.22222222","18.88888889","53.11111111"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00393","","","","3","3","1","1","8","4","2","3","14","9","2.7","0.3","1","3","2","6","3","1","8","3","4","23","0.192857143","0.033333333","0.130434783","7.666666667","7.666666667","4.666666667","4.666666667","1","1","0.333333333","0.333333333","60.86956522","75","100","30","33.33333333","11.11111111","44.44444444","30","33.33333333","11.11111111","44.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00415","","","","3","3","1","1","8","3","2","3","21","11","5","1.1","3","3","3","7","1","3","8","6.1","9.1","32","0.238095238","0.1","0.190625","10.66666667","10.66666667","7","7","2.033333333","2.033333333","1","1","65.625","67.03296703","100","55.55555556","67.77777778","33.33333333","101.1111111","55.55555556","67.77777778","33.33333333","101.1111111"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00437","","","","3","3","3","1","8","3","2","3","17","5","5.3","0.12","2","3","2","6","2","4","8","5.42","7.42","22","0.311764706","0.024","0.246363636","7.333333333","7.333333333","5.666666667","5.666666667","1.806666667","1.806666667","0.666666667","0.666666667","77.27272727","73.0458221","100","58.88888889","60.22222222","22.22222222","82.44444444","58.88888889","60.22222222","22.22222222","82.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00460","","","","3","3","3","1","7","3","2","3","5","1","1.6","0.1","0.6","3","1","2","3","1","8","1.7","2.3","6","0.32","0.1","0.283333333","2","2","1.666666667","1.666666667","0.566666667","0.566666667","0.2","0.2","83.33333333","73.91304348","100","17.77777778","18.88888889","6.666666667","25.55555556","17.77777778","18.88888889","6.666666667","25.55555556"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00482","","","","3","3","1","1","9","3","2","3","22","10","7","1","3","3","3","7","1","3","8","8","11","32","0.318181818","0.1","0.25","10.66666667","10.66666667","7.333333333","7.333333333","2.666666667","2.666666667","1","1","68.75","72.72727273","100","77.77777778","88.88888889","33.33333333","122.2222222","77.77777778","88.88888889","33.33333333","122.2222222"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00504","","","","3","3","4","1","7","4","2","3","8","2","1","0.02","1","3","3","4","3","1","6","1.02","2.02","10","0.125","0.01","0.102","3.333333333","3.333333333","2.666666667","2.666666667","0.34","0.34","0.333333333","0.333333333","80","50.4950495","100","11.11111111","11.33333333","11.11111111","22.44444444","11.11111111","11.33333333","11.11111111","22.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00505","","","","3","3","1","2","8","6","3","3","15","10","2.2","0.9","4","2","1","3","4","1","8","3.1","7.1","25","0.146666667","0.09","0.124","8.333333333","8.333333333","5","5","1.033333333","1.033333333","1.333333333","1.333333333","60","43.66197183","100","24.44444444","34.44444444","44.44444444","78.88888889","24.44444444","34.44444444","44.44444444","78.88888889"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00527","","","","3","3","1","1","8","3","2","3","7","0","3","0","2","3","4","4","2","3","8","3","5","7","0.428571429","","0.428571429","2.333333333","2.333333333","2.333333333","2.333333333","1","1","0.666666667","0.666666667","100","60","100","33.33333333","33.33333333","22.22222222","55.55555556","33.33333333","33.33333333","22.22222222","55.55555556"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00549","","","","3","3","1","2","8","6","3","3","13","12","2","0.8","2","3","4","7","3","3","6","2.8","4.8","25","0.153846154","0.066666667","0.112","8.333333333","8.333333333","4.333333333","4.333333333","0.933333333","0.933333333","0.666666667","0.666666667","52","58.33333333","100","22.22222222","31.11111111","22.22222222","53.33333333","22.22222222","31.11111111","22.22222222","53.33333333"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00572","","","","3","3","3","1","8","5","2","3","6","3","2.9","0.1","1.7","4","4","4","1","1","8","3","4.7","9","0.483333333","0.033333333","0.333333333","3","3","2","2","1","1","0.566666667","0.566666667","66.66666667","63.82978723","100","32.22222222","33.33333333","18.88888889","52.22222222","32.22222222","33.33333333","18.88888889","52.22222222"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00594","","","","3","3","3","1","7","3","2","3","15","4","4.4","0.05","4","3","4","6","2","3","8","4.45","8.45","19","0.293333333","0.0125","0.234210526","6.333333333","6.333333333","5","5","1.483333333","1.483333333","1.333333333","1.333333333","78.94736842","52.66272189","100","48.88888889","49.44444444","44.44444444","93.88888889","48.88888889","49.44444444","44.44444444","93.88888889"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00616","","","","3","3","3","1","6","3","2","3","8","4","1.9","0.16","0.9","4","2","3","3","3","8","2.06","2.96","12","0.2375","0.04","0.171666667","4","4","2.666666667","2.666666667","0.686666667","0.686666667","0.3","0.3","66.66666667","69.59459459","100","21.11111111","22.88888889","10","32.88888889","21.11111111","22.88888889","10","32.88888889"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00617","","","","3","3","3","1","8","4","2","3","25","14","4.7","0.6","4","4","2","7","3","3","8","5.3","9.3","39","0.188","0.042857143","0.135897436","13","13","8.333333333","8.333333333","1.766666667","1.766666667","1.333333333","1.333333333","64.1025641","56.98924731","100","52.22222222","58.88888889","44.44444444","103.3333333","52.22222222","58.88888889","44.44444444","103.3333333"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00639","","","","3","3","3","1","8","4","2","3","17","4","3","0.1","3.2","4","2","4","1","3","8","3.1","6.3","21","0.176470588","0.025","0.147619048","7","7","5.666666667","5.666666667","1.033333333","1.033333333","1.066666667","1.066666667","80.95238095","49.20634921","100","33.33333333","34.44444444","35.55555556","70","33.33333333","34.44444444","35.55555556","70"
