"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00001","","","","3","3","2","1","8","4","2","2","4","0","2.6","0","7.1","6","6","1","2","2","1","2.6","9.7","0.65","","4","2","1.333333333","2","1.333333333","1.3","0.866666667","3.55","2.366666667","100","26.80412371","66.66666667","28.88888889","28.88888889","78.88888889","107.7777778","0.65","43.33333333","43.33333333","118.3333333","161.6666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00002","","","","3","2","3","2","4","4","2","2","0","0","0","0","0.7","","","","","","","0","0.7","","","0","0","0","0","0","0","0","0.35","0.233333333","","0","66.66666667","0","0","7.777777778","7.777777778","","0","0","11.66666667","11.66666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00003","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00004","","","","3","3","5","2","3","6","2","3","0","3","0","0.08","3.7","2","3","1","3","7","1","0.08","3.78","","0.026666667","3","1","1","0","0","0.026666667","0.026666667","1.233333333","1.233333333","0","2.116402116","100","0","0.888888889","41.11111111","42","0.026666667","0","0.888888889","41.11111111","42"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00005","","","","3","2","4","2","6","5","2","2","0","0","0","0","1.2","","","","","","","0","1.2","","","0","0","0","0","0","0","0","0.6","0.4","","0","66.66666667","0","0","13.33333333","13.33333333","","0","0","20","20"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00006","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00007","","","","3","2","6","2","6","7","2","2","0","0","0","0","3.1","","","","","","","0","3.1","","","0","0","0","0","0","0","0","1.55","1.033333333","","0","66.66666667","0","0","34.44444444","34.44444444","","0","0","51.66666667","51.66666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00008","","","","3","2","5","2","5","6","2","2","3","0","1","0","0.65","6","4","1","7","4","1","1","1.65","0.333333333","","3","1.5","1","1.5","1","0.5","0.333333333","0.325","0.216666667","100","60.60606061","66.66666667","11.11111111","11.11111111","7.222222222","18.33333333","0.333333333","16.66666667","16.66666667","10.83333333","27.5"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00009","","","","3","1","2","2","5","2","3","1","1","0","0.95","0","0.95","2","5","2","2","3","1","0.95","1.9","0.95","","1","1","0.333333333","1","0.333333333","0.95","0.316666667","0.95","0.316666667","100","50","33.33333333","10.55555556","10.55555556","10.55555556","21.11111111","0.95","31.66666667","31.66666667","31.66666667","63.33333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00010","","","","3","3","6","5","6","7","5","3","2","1","0.85","0.04","2.2","6","2","2","8","4","1","0.89","3.09","0.425","0.04","3","1","1","0.666666667","0.666666667","0.296666667","0.296666667","0.733333333","0.733333333","66.66666667","28.802589","100","9.444444444","9.888888889","24.44444444","34.33333333","0.296666667","9.444444444","9.888888889","24.44444444","34.33333333"
