"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00459","","","","10","7","3","1","3","2","2","7","11","9","2","0.2","4.1","1.38","2.2","6.3","20","0.181818182","0.022222222","0.11","2.857142857","2","1.571428571","1.1","0.314285714","0.22","0.585714286","0.41","55","34.92063492","70","6.666666667","7.333333333","13.66666667","21","9.523809524","10.47619048","19.52380952","30"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00806","","","","10","6","2","1","1","","2","5","2","9","0.28","0.12","16.4","0.12","0.4","16.8","11","0.14","0.013333333","0.036363636","2.2","1.1","0.4","0.2","0.08","0.04","3.28","1.64","18.18181818","2.380952381","50","0.933333333","1.333333333","54.66666667","56","1.866666667","2.666666667","109.3333333","112"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00012","","","","10","6","1","1","2","1","1","5","6","14","2.8","0.48","12.19","5.46","3.28","15.47","20","0.466666667","0.034285714","0.164","4","2","1.2","0.6","0.656","0.328","2.438","1.219","30","21.20232708","50","9.333333333","10.93333333","40.63333333","51.56666667","18.66666667","21.86666667","81.26666667","103.1333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00034","","","","10","7","3","1","2","2","2","6","3","10","0.3","0.5","7.96","3.03","0.8","8.76","13","0.1","0.05","0.061538462","2.166666667","1.3","0.5","0.3","0.133333333","0.08","1.326666667","0.796","23.07692308","9.132420091","60","1","2.666666667","26.53333333","29.2","1.666666667","4.444444444","44.22222222","48.66666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00056","","","","10","5","3","1","1","3","2","5","19","21","4.4","0.7","17.12","4.92","5.1","22.22","40","0.231578947","0.033333333","0.1275","8","4","3.8","1.9","1.02","0.51","3.424","1.712","47.5","22.95229523","50","14.66666667","17","57.06666667","74.06666667","29.33333333","34","114.1333333","148.1333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00057","","","","10","3","2","1","2","2","2","3","6","9","2","0.32","12.25","1.32","2.32","14.57","15","0.333333333","0.035555556","0.154666667","5","1.5","2","0.6","0.773333333","0.232","4.083333333","1.225","40","15.92312972","30","6.666666667","7.733333333","40.83333333","48.56666667","22.22222222","25.77777778","136.1111111","161.8888889"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00079","","","","10","5","3","1","2","2","2","5","0","11","0","0.68","10.19","4.92","0.68","10.87","11","","0.061818182","0.061818182","2.2","1.1","0","0","0.136","0.068","2.038","1.019","0","6.25574977","50","0","2.266666667","33.96666667","36.23333333","0","4.533333333","67.93333333","72.46666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00101","","","","10","5","2","1","2","1","1","4","19","13","3.6","0.6","17.13","3.96","4.2","21.33","32","0.189473684","0.046153846","0.13125","8","3.2","4.75","1.9","1.05","0.42","4.2825","1.713","59.375","19.69057665","40","12","14","57.1","71.1","30","35","142.75","177.75"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00124","","","","10","5","2","1","2","1","1","5","5","7","1.6","0.28","6.14","3.76","1.88","8.02","12","0.32","0.04","0.156666667","2.4","1.2","1","0.5","0.376","0.188","1.228","0.614","41.66666667","23.44139651","50","5.333333333","6.266666667","20.46666667","26.73333333","10.66666667","12.53333333","40.93333333","53.46666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00146","","","","10","8","3","1","1","2","2","7","4","13","1.1","0.48","9.58","3.03","1.58","11.16","17","0.275","0.036923077","0.092941176","2.428571429","1.7","0.571428571","0.4","0.225714286","0.158","1.368571429","0.958","23.52941176","14.15770609","70","3.666666667","5.266666667","31.93333333","37.2","5.238095238","7.523809524","45.61904762","53.14285714"
