"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00001","","","","20","20","2","1","2","9","1","19","20","5","2.2","0.05","6.75","8","2","2","7","3","1","2.25","9","25","0.11","0.01","0.09","1.315789474","1.25","1.052631579","1","0.118421053","0.1125","0.355263158","0.3375","80","25","95","3.666666667","3.75","11.25","15","3.859649123","3.947368421","11.84210526","15.78947368"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00002","","","","20","20","2","1","2","8","1","17","24","0","7","0","5.2","2","2","4","3","2","3","7","12.2","24","0.291666667","","0.291666667","1.411764706","1.2","1.411764706","1.2","0.411764706","0.35","0.305882353","0.26","100","57.37704918","85","11.66666667","11.66666667","8.666666667","20.33333333","13.7254902","13.7254902","10.19607843","23.92156863"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00003","","","","20","20","2","1","2","8","1","19","13","5","0.4","0.05","8.8","5","8","5","3","4","3","0.45","9.25","18","0.030769231","0.01","0.025","0.947368421","0.9","0.684210526","0.65","0.023684211","0.0225","0.463157895","0.44","72.22222222","4.864864865","95","0.666666667","0.75","14.66666667","15.41666667","0.701754386","0.789473684","15.43859649","16.22807018"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00004","","","","20","16","1","1","1","8","1","16","40","10","4.8","0.11","11.05","3","7","3","2","3","3","4.91","15.96","50","0.12","0.011","0.0982","3.125","2.5","2.5","2","0.306875","0.2455","0.690625","0.5525","80","30.76441103","80","8","8.183333333","18.41666667","26.6","10","10.22916667","23.02083333","33.25"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00005","","","","20","4","2","1","2","4","1","4","0","2","0","0.03","1","2","3","1","3","8","1","0.03","1.03","2","","0.015","0.015","0.5","0.1","0","0","0.0075","0.0015","0.25","0.05","0","2.912621359","20","0","0.05","1.666666667","1.716666667","0","0.25","8.333333333","8.583333333"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00006","","","","20","16","2","1","2","7","1","16","14","0","2.25","0","5.2","5","2","2","3","3","1","2.25","7.45","14","0.160714286","","0.160714286","0.875","0.7","0.875","0.7","0.140625","0.1125","0.325","0.26","100","30.20134228","80","3.75","3.75","8.666666667","12.41666667","4.6875","4.6875","10.83333333","15.52083333"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00007","","","","20","20","2","1","2","9","1","19","18","11","2.01","0.15","7.15","8","2","2","6","3","4","2.16","9.31","29","0.111666667","0.013636364","0.074482759","1.526315789","1.45","0.947368421","0.9","0.113684211","0.108","0.376315789","0.3575","62.06896552","23.20085929","95","3.35","3.6","11.91666667","15.51666667","3.526315789","3.789473684","12.54385965","16.33333333"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00008","","","","20","20","1","1","1","9","1","16","9","7","1.4","0.08","9","3","5","3","3","4","3","1.48","10.48","16","0.155555556","0.011428571","0.0925","1","0.8","0.5625","0.45","0.0925","0.074","0.5625","0.45","56.25","14.1221374","80","2.333333333","2.466666667","15","17.46666667","2.916666667","3.083333333","18.75","21.83333333"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00009","","","","20","15","2","1","2","8","1","15","17","4","1.55","0.04","1","3","2","3","3","3","3","1.59","2.59","21","0.091176471","0.01","0.075714286","1.4","1.05","1.133333333","0.85","0.106","0.0795","0.066666667","0.05","80.95238095","61.38996139","75","2.583333333","2.65","1.666666667","4.316666667","3.444444444","3.533333333","2.222222222","5.755555556"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00010","","","","20","20","2","2","2","8","2","17","22","5","2.1","0.04","0.55","6","3","5","7","4","3","2.14","2.69","27","0.095454545","0.008","0.079259259","1.588235294","1.35","1.294117647","1.1","0.125882353","0.107","0.032352941","0.0275","81.48148148","79.55390335","85","3.5","3.566666667","0.916666667","4.483333333","4.117647059","4.196078431","1.078431373","5.274509804"
