LABEL	NAME	UNIQUENAME	GENOTYPE	SYNONYM1	SYNONYM2	PLOIDY	INSTITUTE	GERMPLASM_GROUP	CURATOR	PROJECT_NAME	CATEGORY	PROJECT_TYPE	YEAR	PROJECT_DESCRIPTION	LOCATION	LOCATION_CODE
1	PG17001-N1					6	Ghana-CIP		bdeboeck							
2	PG17001-N2					6	Ghana-CIP		bdeboeck							
3	PG17001-N3					6	Ghana-CIP		bdeboeck							
4	PG17002-N2					6	Ghana-CIP		bdeboeck							
5	PG17004-A1					6	Ghana-CIP		bdeboeck							
6	PG17004-A2					6	Ghana-CIP		bdeboeck							
7	PG17006-N1					6	Ghana-CIP		bdeboeck							
8	PG17009-N1					6	Ghana-CIP		bdeboeck							
9	PG17009-N3					6	Ghana-CIP		bdeboeck							
10	PG17009-N4					6	Ghana-CIP		bdeboeck							
11	PG17009-N5					6	Ghana-CIP		bdeboeck							
12	PG17010-N1					6	Ghana-CIP		bdeboeck							
13	PG17010-N2					6	Ghana-CIP		bdeboeck							
14	PG17018-A1					6	Ghana-CIP		bdeboeck							
15	PG17018-A10					6	Ghana-CIP		bdeboeck							
16	PG17018-A15					6	Ghana-CIP		bdeboeck							
17	PG17018-A2					6	Ghana-CIP		bdeboeck							
18	PG17018-A6					6	Ghana-CIP		bdeboeck							
19	PG17018-A7					6	Ghana-CIP		bdeboeck							
20	PG17018-A8					6	Ghana-CIP		bdeboeck							
21	PG17018-A9					6	Ghana-CIP		bdeboeck							
22	PG17018-N1					6	Ghana-CIP		bdeboeck							
23	PG17021-N1					6	Ghana-CIP		bdeboeck							
24	PG17026-A1					6	Ghana-CIP		bdeboeck							
25	PG17026-A2					6	Ghana-CIP		bdeboeck							
26	PG17030-A1					6	Ghana-CIP		bdeboeck							
27	PG17030-A11					6	Ghana-CIP		bdeboeck							
28	PG17030-A12					6	Ghana-CIP		bdeboeck							
29	PG17030-A13					6	Ghana-CIP		bdeboeck							
30	PG17030-A15					6	Ghana-CIP		bdeboeck							
31	PG17030-A2					6	Ghana-CIP		bdeboeck							
32	PG17030-A3					6	Ghana-CIP		bdeboeck							
33	PG17030-A4					6	Ghana-CIP		bdeboeck							
34	PG17030-A5					6	Ghana-CIP		bdeboeck							
35	PG17030-N1					6	Ghana-CIP		bdeboeck							
36	PG17030-N2					6	Ghana-CIP		bdeboeck							
37	PG17032-A1					6	Ghana-CIP		bdeboeck							
38	PG17032-A11					6	Ghana-CIP		bdeboeck							
39	PG17032-A13					6	Ghana-CIP		bdeboeck							
40	PG17032-A14					6	Ghana-CIP		bdeboeck							
41	PG17032-A15					6	Ghana-CIP		bdeboeck							
42	PG17032-A2					6	Ghana-CIP		bdeboeck							
43	PG17032-A3					6	Ghana-CIP		bdeboeck							
44	PG17032-A4					6	Ghana-CIP		bdeboeck							
45	PG17032-A5					6	Ghana-CIP		bdeboeck							
46	PG17032-A8					6	Ghana-CIP		bdeboeck							
47	PG17034-A1					6	Ghana-CIP		bdeboeck							
48	PG17034-A10					6	Ghana-CIP		bdeboeck							
49	PG17034-A2					6	Ghana-CIP		bdeboeck							
50	PG17034-A3					6	Ghana-CIP		bdeboeck							
51	PG17034-A4					6	Ghana-CIP		bdeboeck							
52	PG17034-A5					6	Ghana-CIP		bdeboeck							
53	PG17034-A6					6	Ghana-CIP		bdeboeck							
54	PG17034-A7					6	Ghana-CIP		bdeboeck							
55	PG17034-A8					6	Ghana-CIP		bdeboeck							
56	PG17034-A9					6	Ghana-CIP		bdeboeck							
57	PG17035-A1					6	Ghana-CIP		bdeboeck							
58	PG17035-A10					6	Ghana-CIP		bdeboeck							
59	PG17035-A11					6	Ghana-CIP		bdeboeck							
60	PG17035-A2					6	Ghana-CIP		bdeboeck							
61	PG17035-A3					6	Ghana-CIP		bdeboeck							
62	PG17035-A5					6	Ghana-CIP		bdeboeck							
63	PG17035-A6					6	Ghana-CIP		bdeboeck							
64	PG17035-A7					6	Ghana-CIP		bdeboeck							
65	PG17035-A8					6	Ghana-CIP		bdeboeck							
66	PG17035-A9					6	Ghana-CIP		bdeboeck							
67	PG17035-N1					6	Ghana-CIP		bdeboeck							
68	PG17037-A12					6	Ghana-CIP		bdeboeck							
69	PG17037-A13					6	Ghana-CIP		bdeboeck							
70	PG17037-A14					6	Ghana-CIP		bdeboeck							
71	PG17037-A15					6	Ghana-CIP		bdeboeck							
72	PG17037-A3					6	Ghana-CIP		bdeboeck							
73	PG17037-A4					6	Ghana-CIP		bdeboeck							
74	PG17037-A5					6	Ghana-CIP		bdeboeck							
75	PG17042-A1					6	Ghana-CIP		bdeboeck							
76	PG17042-A10					6	Ghana-CIP		bdeboeck							
77	PG17042-A2					6	Ghana-CIP		bdeboeck							
78	PG17042-A3					6	Ghana-CIP		bdeboeck							
79	PG17042-A4					6	Ghana-CIP		bdeboeck							
80	PG17042-A5					6	Ghana-CIP		bdeboeck							
81	PG17042-A6					6	Ghana-CIP		bdeboeck							
82	PG17042-A7					6	Ghana-CIP		bdeboeck							
83	PG17042-A8					6	Ghana-CIP		bdeboeck							
84	PG17042-A9					6	Ghana-CIP		bdeboeck							
85	PG17043-A1					6	Ghana-CIP		bdeboeck							
86	PG17043-A11					6	Ghana-CIP		bdeboeck							
87	PG17043-A12					6	Ghana-CIP		bdeboeck							
88	PG17043-A13					6	Ghana-CIP		bdeboeck							
89	PG17043-A14					6	Ghana-CIP		bdeboeck							
90	PG17043-A2					6	Ghana-CIP		bdeboeck							
91	PG17043-A3					6	Ghana-CIP		bdeboeck							
92	PG17043-A4					6	Ghana-CIP		bdeboeck							
93	PG17043-A5					6	Ghana-CIP		bdeboeck							
94	PG17043-A6					6	Ghana-CIP		bdeboeck							
95	PG17045-A1					6	Ghana-CIP		bdeboeck							
96	PG17045-A10					6	Ghana-CIP		bdeboeck							
97	PG17045-A12					6	Ghana-CIP		bdeboeck							
98	PG17045-A2					6	Ghana-CIP		bdeboeck							
99	PG17045-A4					6	Ghana-CIP		bdeboeck							
100	PG17045-A5					6	Ghana-CIP		bdeboeck							
101	PG17045-A6					6	Ghana-CIP		bdeboeck							
102	PG17045-A7					6	Ghana-CIP		bdeboeck							
103	PG17045-A8					6	Ghana-CIP		bdeboeck							
104	PG17045-A9					6	Ghana-CIP		bdeboeck							
105	PG17046-A1					6	Ghana-CIP		bdeboeck							
106	PG17046-A11					6	Ghana-CIP		bdeboeck							
107	PG17046-A12					6	Ghana-CIP		bdeboeck							
108	PG17046-A13					6	Ghana-CIP		bdeboeck							
109	PG17046-A14					6	Ghana-CIP		bdeboeck							
110	PG17046-A15					6	Ghana-CIP		bdeboeck							
111	PG17046-A2					6	Ghana-CIP		bdeboeck							
112	PG17046-A3					6	Ghana-CIP		bdeboeck							
113	PG17046-A4					6	Ghana-CIP		bdeboeck							
114	PG17046-A5					6	Ghana-CIP		bdeboeck							
115	PG17048-A10					6	Ghana-CIP		bdeboeck							
116	PG17048-A11					6	Ghana-CIP		bdeboeck							
117	PG17048-A14					6	Ghana-CIP		bdeboeck							
118	PG17048-A15					6	Ghana-CIP		bdeboeck							
119	PG17048-A2					6	Ghana-CIP		bdeboeck							
120	PG17048-A3					6	Ghana-CIP		bdeboeck							
121	PG17048-A4					6	Ghana-CIP		bdeboeck							
122	PG17048-A5					6	Ghana-CIP		bdeboeck							
123	PG17048-A6					6	Ghana-CIP		bdeboeck							
124	PG17048-A8					6	Ghana-CIP		bdeboeck							
125	PG17051-A1					6	Ghana-CIP		bdeboeck							
126	PG17051-A11					6	Ghana-CIP		bdeboeck							
127	PG17051-A12					6	Ghana-CIP		bdeboeck							
128	PG17051-A13					6	Ghana-CIP		bdeboeck							
129	PG17051-A14					6	Ghana-CIP		bdeboeck							
130	PG17051-A15					6	Ghana-CIP		bdeboeck							
131	PG17051-A2					6	Ghana-CIP		bdeboeck							
132	PG17051-A3					6	Ghana-CIP		bdeboeck							
133	PG17051-A4					6	Ghana-CIP		bdeboeck							
134	PG17051-A5					6	Ghana-CIP		bdeboeck							
135	PG17054-A1					6	Ghana-CIP		bdeboeck							
136	PG17054-A10					6	Ghana-CIP		bdeboeck							
137	PG17054-A2					6	Ghana-CIP		bdeboeck							
138	PG17054-A3					6	Ghana-CIP		bdeboeck							
139	PG17054-A4					6	Ghana-CIP		bdeboeck							
140	PG17054-A5					6	Ghana-CIP		bdeboeck							
141	PG17054-A6					6	Ghana-CIP		bdeboeck							
142	PG17054-A7					6	Ghana-CIP		bdeboeck							
143	PG17054-A8					6	Ghana-CIP		bdeboeck							
144	PG17054-A9					6	Ghana-CIP		bdeboeck							
145	PG17058-A1					6	Ghana-CIP		bdeboeck							
146	PG17058-A11					6	Ghana-CIP		bdeboeck							
147	PG17058-A12					6	Ghana-CIP		bdeboeck							
148	PG17058-A13					6	Ghana-CIP		bdeboeck							
149	PG17058-A14					6	Ghana-CIP		bdeboeck							
150	PG17058-A15					6	Ghana-CIP		bdeboeck							
151	PG17058-A2					6	Ghana-CIP		bdeboeck							
152	PG17058-A3					6	Ghana-CIP		bdeboeck							
153	PG17058-A4					6	Ghana-CIP		bdeboeck							
154	PG17058-A5					6	Ghana-CIP		bdeboeck							
155	PG17062-A1					6	Ghana-CIP		bdeboeck							
156	PG17062-A10					6	Ghana-CIP		bdeboeck							
157	PG17062-A11					6	Ghana-CIP		bdeboeck							
158	PG17062-A13					6	Ghana-CIP		bdeboeck							
159	PG17062-A2					6	Ghana-CIP		bdeboeck							
160	PG17062-A3					6	Ghana-CIP		bdeboeck							
161	PG17062-A4					6	Ghana-CIP		bdeboeck							
162	PG17062-A5					6	Ghana-CIP		bdeboeck							
163	PG17062-A6					6	Ghana-CIP		bdeboeck							
164	PG17062-A7					6	Ghana-CIP		bdeboeck							
165	PG17063-A1					6	Ghana-CIP		bdeboeck							
166	PG17063-A2					6	Ghana-CIP		bdeboeck							
167	PG17066-N1					6	Ghana-CIP		bdeboeck							
168	PG17067-N1					6	Ghana-CIP		bdeboeck							
169	PG17067-N2					6	Ghana-CIP		bdeboeck							
170	PG17070-A1					6	Ghana-CIP		bdeboeck							
171	PG17070-A10					6	Ghana-CIP		bdeboeck							
172	PG17070-A11					6	Ghana-CIP		bdeboeck							
173	PG17070-A13					6	Ghana-CIP		bdeboeck							
174	PG17070-A2					6	Ghana-CIP		bdeboeck							
175	PG17070-A4					6	Ghana-CIP		bdeboeck							
176	PG17070-A5					6	Ghana-CIP		bdeboeck							
177	PG17070-A6					6	Ghana-CIP		bdeboeck							
178	PG17070-A7					6	Ghana-CIP		bdeboeck							
179	PG17070-A8					6	Ghana-CIP		bdeboeck							
180	PG17073-A1					6	Ghana-CIP		bdeboeck							
181	PG17073-A11					6	Ghana-CIP		bdeboeck							
182	PG17073-A13					6	Ghana-CIP		bdeboeck							
183	PG17073-A14					6	Ghana-CIP		bdeboeck							
184	PG17073-A15					6	Ghana-CIP		bdeboeck							
185	PG17073-A2					6	Ghana-CIP		bdeboeck							
186	PG17073-A3					6	Ghana-CIP		bdeboeck							
187	PG17073-A4					6	Ghana-CIP		bdeboeck							
188	PG17073-A5					6	Ghana-CIP		bdeboeck							
189	PG17073-A6					6	Ghana-CIP		bdeboeck							
190	PG17077-A1					6	Ghana-CIP		bdeboeck							
191	PG17077-A14					6	Ghana-CIP		bdeboeck							
192	PG17077-A2					6	Ghana-CIP		bdeboeck							
193	PG17077-A3					6	Ghana-CIP		bdeboeck							
194	PG17077-A4					6	Ghana-CIP		bdeboeck							
195	PG17077-A5					6	Ghana-CIP		bdeboeck							
196	PG17077-A6					6	Ghana-CIP		bdeboeck							
197	PG17077-A7					6	Ghana-CIP		bdeboeck							
198	PG17077-A8					6	Ghana-CIP		bdeboeck							
199	PG17077-A9					6	Ghana-CIP		bdeboeck							
200	PG17079-N1					6	Ghana-CIP		bdeboeck							
201	PG17079-N2					6	Ghana-CIP		bdeboeck							
202	PG17085-N1					6	Ghana-CIP		bdeboeck							
203	PG17086-A1					6	Ghana-CIP		bdeboeck							
204	PG17105-N1					6	Ghana-CIP		bdeboeck							
205	PG17113-N1					6	Ghana-CIP		bdeboeck							
206	PG17118-A1					6	Ghana-CIP		bdeboeck							
207	PG17122-N1					6	Ghana-CIP		bdeboeck							
208	PG17122-N2					6	Ghana-CIP		bdeboeck							
209	PG17123-N1					6	Ghana-CIP		bdeboeck							
210	PG17123-N2					6	Ghana-CIP		bdeboeck							
211	PG17125-A10					6	Ghana-CIP		bdeboeck							
212	PG17125-A11					6	Ghana-CIP		bdeboeck							
213	PG17125-A14					6	Ghana-CIP		bdeboeck							
214	PG17125-A15					6	Ghana-CIP		bdeboeck							
215	PG17125-A4					6	Ghana-CIP		bdeboeck							
216	PG17125-A5					6	Ghana-CIP		bdeboeck							
217	PG17125-A6					6	Ghana-CIP		bdeboeck							
218	PG17125-A7					6	Ghana-CIP		bdeboeck							
219	PG17125-A8					6	Ghana-CIP		bdeboeck							
220	PG17125-A9					6	Ghana-CIP		bdeboeck							
221	PG17126-N1					6	Ghana-CIP		bdeboeck							
222	PG17129-A1					6	Ghana-CIP		bdeboeck							
223	PG17129-A11					6	Ghana-CIP		bdeboeck							
224	PG17129-A12					6	Ghana-CIP		bdeboeck							
225	PG17129-A2					6	Ghana-CIP		bdeboeck							
226	PG17129-A3					6	Ghana-CIP		bdeboeck							
227	PG17129-A4					6	Ghana-CIP		bdeboeck							
228	PG17129-A6					6	Ghana-CIP		bdeboeck							
229	PG17129-A7					6	Ghana-CIP		bdeboeck							
230	PG17129-A8					6	Ghana-CIP		bdeboeck							
231	PG17129-A9					6	Ghana-CIP		bdeboeck							
232	PG17129-N1					6	Ghana-CIP		bdeboeck							
233	PG17130-N1					6	Ghana-CIP		bdeboeck							
234	PG17131-A1					6	Ghana-CIP		bdeboeck							
235	PG17131-A11					6	Ghana-CIP		bdeboeck							
236	PG17131-A12					6	Ghana-CIP		bdeboeck							
237	PG17131-A13					6	Ghana-CIP		bdeboeck							
238	PG17131-A14					6	Ghana-CIP		bdeboeck							
239	PG17131-A15					6	Ghana-CIP		bdeboeck							
240	PG17131-A2					6	Ghana-CIP		bdeboeck							
241	PG17131-A3					6	Ghana-CIP		bdeboeck							
242	PG17131-A4					6	Ghana-CIP		bdeboeck							
243	PG17131-A5					6	Ghana-CIP		bdeboeck							
244	PG17131-N1					6	Ghana-CIP		bdeboeck							
245	PG17131-N2					6	Ghana-CIP		bdeboeck							
246	PG17132-A1					6	Ghana-CIP		bdeboeck							
247	PG17132-A11					6	Ghana-CIP		bdeboeck							
248	PG17132-A12					6	Ghana-CIP		bdeboeck							
249	PG17132-A13					6	Ghana-CIP		bdeboeck							
250	PG17132-A14					6	Ghana-CIP		bdeboeck							
251	PG17132-A15					6	Ghana-CIP		bdeboeck							
